 	le	hanneton	se	nourrit	d'	herbes	</S>
e	0.33176	0.38733	0.27275	0.000364898	0.00700495	0.000223078	0.000567433
k	0.0183714	0.952464	0.0141583	0.00962591	0.00270326	0.00211873	0.000558753
ω	0.0439756	0.735219	0.0763447	0.0809541	0.00767835	0.0446338	0.0111943
r	0.0198125	0.78107	0.149438	0.0181228	0.0107693	0.0145596	0.0062275
ω	0.108575	0.797931	0.0271453	0.0274324	0.0115316	0.00482592	0.022558
ω	0.260509	0.314459	0.38459	0.010168	0.0158884	0.00104269	0.0133435
y	0.252173	0.0477548	0.574038	0.0323255	0.0642481	0.00353637	0.0259247
é	0.625924	0.0738633	0.207139	0.0476159	0.0259222	0.00250011	0.0170357
e	0.476599	0.0456423	0.29255	0.0503753	0.0344438	0.00620546	0.0941847
d	0.0108927	0.00466872	0.0109056	0.905612	0.0245625	0.0252236	0.0181349
z	0.00154167	0.000836267	0.00119136	0.966679	0.0075781	0.0103731	0.011801
á	0.00984052	0.00145769	0.00391479	0.962843	0.00798209	0.00395226	0.0100096
á	0.00614429	0.00449167	0.0973341	0.332289	0.283006	0.0697632	0.206971
m	0.0347926	0.00700017	0.126327	0.107313	0.573527	0.107797	0.0432449
ó	0.0479247	0.00159961	0.0264038	0.0935514	0.107874	0.128391	0.594255
p	0.0851851	0.03234	0.0666232	0.0562884	0.119716	0.613093	0.0267547
f	0.00120481	0.0016338	0.00277583	0.0537102	0.0406426	0.868246	0.0317868
ú	0.00240452	0.00125818	0.0011934	0.0177909	0.0627777	0.827085	0.08749
l	0.00476339	0.00268696	0.00453252	0.0184995	0.057625	0.514109	0.397784
u	0.0100718	0.021335	0.00631306	0.0133983	0.193084	0.509827	0.245971
</S>	0.00585695	0.00496421	0.0108729	0.00562157	0.368184	0.111038	0.493463
