 	il	invoque	les	âmes	de	ces	ancêtres	</S>
w	0.850634	0.0365226	0.0513832	0.0121756	0.0137658	0.0348818	0.00055337	8.33448e-05
a	0.759324	0.0532916	0.110912	0.00377955	0.00974788	0.0592281	0.00367471	4.25372e-05
l	0.53114	0.241174	0.0837131	0.0177831	0.0471152	0.0299872	0.00791409	0.0411728
á	0.250523	0.131503	0.105801	0.0474294	0.0797508	0.0520159	0.0321305	0.300846
a	0.311588	0.0599323	0.110111	0.0219679	0.0597764	0.0960736	0.0984022	0.242149
s	0.0581564	0.883608	0.0245494	0.0162572	0.00581872	0.00152668	0.000924983	0.00915833
a	0.0117277	0.976033	0.00710619	0.00147301	0.000759976	0.000245498	0.00014502	0.00250937
n	0.237786	0.660886	0.0883225	0.00200494	0.00261151	0.00101516	0.000200161	0.00717414
g	0.0541556	0.633957	0.267143	0.0144708	0.0150476	0.00551016	0.000549942	0.00916653
á	0.05684	0.356703	0.37926	0.0558712	0.0336829	0.0146036	0.00179522	0.101244
i	0.040145	0.100054	0.719707	0.0668166	0.027904	0.0372869	0.00584448	0.00224232
k	0.00679405	0.0256302	0.324607	0.570897	0.0446172	0.0109441	0.00865954	0.00785067
w	0.00176152	0.00671007	0.144701	0.820398	0.0201452	0.00160352	0.0015758	0.00310446
é	0.00297617	0.0318914	0.121131	0.770427	0.0488552	0.00877269	0.0109614	0.00498525
m	0.00940449	0.0239966	0.128311	0.593459	0.0763665	0.00866215	0.0227421	0.137059
á	0.0115048	0.00550493	0.0839324	0.459345	0.166394	0.0667448	0.176157	0.0304174
a	0.0181942	0.00993009	0.111324	0.320474	0.318877	0.114135	0.035846	0.0712198
k	0.010489	0.0269831	0.0656198	0.245213	0.415056	0.125909	0.0342878	0.0764423
a	0.00233015	0.0243376	0.135634	0.342099	0.364995	0.0492311	0.0148032	0.0665692
a	0.00152328	0.0112664	0.0726149	0.278215	0.223828	0.0427576	0.0565881	0.313206
g	0.00261548	0.00399573	0.0448057	0.0588562	0.304371	0.405896	0.0640035	0.115456
h	0.00693446	0.0536505	0.0957992	0.0465503	0.221002	0.17725	0.0620189	0.336795
á	0.00162752	0.0165822	0.0485018	0.00995744	0.241613	0.322961	0.109073	0.249684
b	0.0017241	0.0022295	0.0159017	0.0200196	0.160852	0.213317	0.154659	0.431297
á	0.0110781	0.00783281	0.0609565	0.0743752	0.167165	0.208729	0.408395	0.0614676
w	0.0041703	0.0044218	0.0426283	0.0143858	0.0577861	0.112882	0.657675	0.10605
a	0.0120265	0.00734332	0.0203138	0.040604	0.110642	0.22121	0.361169	0.226691
</S>	0.00134018	0.000965664	0.019528	0.012045	0.0816768	0.29243	0.186207	0.405807
