 	la	lune	apparaît	à	l'	horizon	</S>
s	0.693176	0.229649	0.0468126	0.0124253	0.0126813	0.00472919	0.000526458
w	0.356418	0.59213	0.00278415	0.0107097	0.0341603	0.00119526	0.00260216
é	0.254856	0.728893	0.00217342	0.00726641	0.00260087	0.00112647	0.00308386
n	0.288072	0.109033	0.17712	0.0657889	0.0208058	0.0154108	0.32377
g	0.321889	0.538077	0.0161046	0.011114	0.00529273	0.000903209	0.106619
é	0.385363	0.477886	0.0899188	0.0138941	0.00648772	0.00110515	0.0253448
a	0.140793	0.0814555	0.52746	0.0864335	0.0259993	0.002744	0.135115
p	0.0200312	0.00730514	0.850279	0.0841741	0.0190481	0.00476532	0.0143966
f	0.00705338	0.0021978	0.767055	0.145927	0.020518	0.0208672	0.0363816
o	0.0339063	0.00598775	0.659425	0.228937	0.0272388	0.0168546	0.0276509
o	0.0536163	0.0300312	0.295487	0.395112	0.141091	0.0610749	0.0235881
n	0.00805105	0.00341862	0.0771271	0.413031	0.400354	0.0612075	0.0368111
í	0.0673204	0.0522085	0.071896	0.266898	0.437689	0.0315089	0.0724788
m	0.00582351	0.00290447	0.101533	0.360348	0.345603	0.0854983	0.0982892
ó	0.0878406	0.0058459	0.00209078	0.145039	0.254807	0.0202443	0.484132
i	0.00719535	0.000870725	0.0176364	0.13514	0.177629	0.504038	0.157491
k	0.00124336	0.000404072	0.0219492	0.0967738	0.0773506	0.543304	0.258975
o	0.000276122	5.3477e-05	0.0903427	0.0635133	0.0170497	0.767069	0.0616952
ó	0.000377593	2.90015e-05	0.0803419	0.0561727	0.0165887	0.761598	0.0848921
</S>	0.00907939	0.00036207	0.0139474	0.105234	0.310873	0.0670124	0.493491
