 	sa	mère	lui	a	donné	un	morceau	de	viande	</S>
n	0.962273	0.0298793	0.00357485	0.00046656	0.000857021	0.000941503	0.000967623	0.00097879	3.76383e-05	2.35295e-05
g	0.0626648	0.934128	0.00238424	0.000240934	6.9468e-05	7.60045e-05	2.41615e-05	0.000114608	0.000295793	1.74934e-06
ó	0.0613593	0.925772	0.00268846	0.000729953	0.000247262	0.000274204	6.76166e-05	0.000203697	0.00859274	6.48137e-05
o	0.0114297	0.985851	0.000172232	0.00013526	7.87129e-05	4.34379e-05	1.80538e-05	3.46567e-05	0.00207527	0.000162211
á	0.09846	0.0270677	0.623263	0.206678	0.0257148	0.00346919	0.00172631	0.00298181	0.00227678	0.00836315
p	0.00660062	0.0210924	0.0765965	0.566352	0.282675	0.0216811	0.00947777	0.00213684	0.00155146	0.0118362
έ	0.002828	0.00070348	0.012032	0.429538	0.411421	0.112133	0.0194702	0.00324838	0.000352029	0.00827493
ε	0.0605587	0.00249995	0.049106	0.189265	0.423737	0.180583	0.0429533	0.0262445	0.00752012	0.0175316
w	0.00844425	0.0029851	0.356665	0.281197	0.138067	0.147621	0.0234972	0.0210236	0.00865443	0.0118444
a	0.0262888	0.00303178	0.0774933	0.13621	0.241512	0.279205	0.0611845	0.100106	0.0543632	0.020606
e	0.0114951	0.00302923	0.23366	0.193063	0.17531	0.214046	0.0708235	0.0508517	0.0245915	0.0231302
l	0.0014655	0.000234486	0.0116541	0.0391234	0.322937	0.409737	0.158342	0.0156832	0.00723767	0.0335857
ε	0.00139164	6.74355e-05	0.00315223	0.0289399	0.108817	0.55151	0.208904	0.0504316	0.00880201	0.0379845
n	0.00138379	0.000206735	0.0122038	0.0210475	0.0403296	0.556822	0.180892	0.0600281	0.0126413	0.114445
g	0.000934277	0.000151829	0.00461684	0.0424912	0.0756342	0.602361	0.0867196	0.0252348	0.107838	0.0540179
í	0.0602103	0.00625142	0.0157979	0.0182271	0.0110969	0.233051	0.0797125	0.0547941	0.437364	0.0834951
y	0.00272709	1.20873e-05	0.0100837	0.017856	0.0321982	0.151504	0.320457	0.388475	0.0255233	0.0511635
á	0.00302694	6.15503e-05	0.000446677	0.00579877	0.0110416	0.203644	0.15206	0.302335	0.199205	0.122381
n	0.00656561	0.00127736	0.008189	0.00411791	0.00147902	0.0168481	0.0400922	0.512117	0.38875	0.0205636
y	0.000648921	8.74579e-05	4.75121e-05	0.000113256	5.72975e-05	0.000862825	0.00264883	0.00885627	0.983259	0.00341825
a	0.00036	0.000528512	2.04145e-05	0.000121993	0.000104805	0.000929557	0.00138744	0.00216807	0.986907	0.007472
m	0.000103421	9.85346e-05	0.00105262	0.00636893	0.00326534	0.0465574	0.0645246	0.0775974	0.355264	0.445168
a	0.000798412	5.51933e-05	0.00107299	0.00209821	0.00429531	0.0527982	0.121572	0.178559	0.154779	0.483972
</S>	0.00157645	8.29979e-05	0.00648999	0.013388	0.00696992	0.0106171	0.0341814	0.0897894	0.064625	0.77228
