 	qui	est-ce	qui	a	pété	</S>
m	0.921551	0.0217364	0.0381856	0.016006	0.0009425	0.00157805
o	0.762073	0.0466462	0.112877	0.0501231	0.00616054	0.0221207
r	0.450807	0.123555	0.0706068	0.352828	0.00120933	0.000993874
o	0.278577	0.113086	0.240733	0.152352	0.0187081	0.196544
y	0.49398	0.274568	0.188006	0.0386374	0.000169864	0.00463832
e	0.417893	0.320877	0.151756	0.0937382	0.00133457	0.0144001
e	0.415648	0.149009	0.232936	0.166053	0.00920632	0.0271475
n	0.0119724	0.0403011	0.0952007	0.644624	0.0893659	0.118536
y	0.0292129	0.0641658	0.377061	0.350043	0.0118312	0.167686
ε	0.0169575	0.0368852	0.413703	0.402133	0.0258216	0.1045
í	0.0156302	0.159988	0.612519	0.0883204	0.00419203	0.11935
o	0.0559757	0.115614	0.372964	0.198019	0.0555296	0.201897
k	0.000894083	0.00844216	0.0231315	0.160888	0.637022	0.169622
u	0.000309543	0.00013286	0.000922025	0.020572	0.802088	0.175975
s	1.65116e-05	3.07615e-05	0.000130804	0.0021099	0.98028	0.0174322
u	0.0244619	0.00118324	0.00543377	0.109331	0.651763	0.207827
n	0.00113792	0.00102568	0.00870666	0.0183226	0.0700153	0.900792
d	0.000860523	0.000799037	0.00448478	0.00979485	0.00307212	0.980989
a	0.00115971	0.00102096	0.0021116	0.00427354	0.00312256	0.988312
</S>	0.00154852	0.0014916	0.00460732	0.00389696	0.000396673	0.988059
