 	la	manière	dont	il	a	laissé	cette	affaire	montre	qu'	il	garde	encore	rancune	</S>
e	0.720162	0.25125	0.0123038	0.00301934	0.00219456	0.0016739	0.00223409	0.00137572	0.000571646	0.000596126	0.00071467	0.00188839	9.84439e-05	0.000642532	0.00127411
k	0.000411602	0.000310877	0.00384674	0.00109651	0.0287228	0.131747	0.293953	0.352321	0.00828743	0.0308249	0.0345705	0.0998699	0.00641356	0.0068084	0.000815727
l	0.00535252	0.00319433	0.0167589	0.00237297	0.0307276	0.0638395	0.163002	0.322152	0.00762072	0.0276223	0.0332967	0.208686	0.00135333	0.109189	0.00483309
í	0.00139961	0.0147759	0.155117	0.00885059	0.0407006	0.0477276	0.181147	0.350187	0.0151442	0.0379003	0.0367407	0.0892266	0.00232802	0.0155619	0.00319318
l	0.00837826	0.0250347	0.0916947	0.0150917	0.0864808	0.0488901	0.214235	0.380478	0.0186343	0.0197137	0.0200233	0.0574009	0.00138256	0.00440759	0.00815494
ú	0.0015472	0.00149787	0.00842765	0.0239281	0.110388	0.142845	0.129572	0.120675	0.0594069	0.0658287	0.0677081	0.0607194	0.00642723	0.0153784	0.18565
l	0.0082637	0.000524208	0.00186154	0.0136592	0.0535921	0.132529	0.277803	0.15306	0.0393293	0.034078	0.0520158	0.093458	0.0188716	0.00616804	0.114787
ú	0.0109754	0.0280125	0.046201	0.0211387	0.0813984	0.150732	0.110231	0.0546845	0.0646942	0.0703858	0.0900116	0.077951	0.0231295	0.0250547	0.145401
y	0.168144	0.197404	0.360702	0.0565874	0.0675583	0.0497116	0.0270613	0.00642229	0.0109987	0.0137121	0.0118344	0.00380017	0.00591374	0.000918646	0.0192317
é	0.536637	0.117655	0.21687	0.00629403	0.0153163	0.0295884	0.012357	0.00381458	0.00962569	0.00825315	0.00802875	0.00477045	0.0120496	0.00225016	0.0164906
é	0.242433	0.0742363	0.297436	0.0825841	0.090432	0.0780402	0.0393501	0.0124796	0.0183905	0.0175395	0.0181324	0.00546965	0.0113125	0.00273882	0.00942486
k	0.013354	0.00242069	0.00406711	0.0257246	0.106263	0.484762	0.175681	0.0608711	0.00981627	0.0141767	0.0192245	0.0263235	0.0217069	0.0188642	0.0167433
ú	0.0010652	0.000460122	0.00148357	0.00942247	0.0567138	0.0910715	0.252126	0.381231	0.0293579	0.0268346	0.0331682	0.0653756	0.00759512	0.0122739	0.0318205
l	0.00374067	0.000356234	0.00507223	0.00403599	0.0352279	0.101979	0.279896	0.362206	0.0210307	0.0120267	0.018658	0.0331443	0.00399586	0.0427112	0.0759193
ú	0.00135693	0.00160872	0.0243963	0.110219	0.118331	0.105873	0.268627	0.07453	0.0797357	0.0654586	0.0471701	0.0187466	0.00801652	0.0174838	0.0584471
w	0.00325537	0.00488601	0.0286422	0.460989	0.0911633	0.0593796	0.146378	0.05927	0.0685774	0.0438333	0.0134903	0.00555709	0.00549742	0.000949083	0.00813249
a	0.00129846	0.00168091	0.00632428	0.368417	0.133163	0.015046	0.0652284	0.0908376	0.128514	0.106805	0.0517241	0.0202082	0.00294653	0.000349315	0.00745712
i	0.000412643	0.00101033	0.00889873	0.197852	0.074324	0.0627076	0.195653	0.172593	0.123561	0.0971579	0.0388362	0.0128407	0.00690444	0.00156921	0.00568026
b	0.00244213	0.00212122	0.00170613	0.0360808	0.108523	0.134748	0.147392	0.217273	0.0737631	0.094715	0.0775507	0.0412204	0.0230958	0.0135434	0.0258255
h	0.000380498	0.00014956	0.000247639	0.00882375	0.0225736	0.0196898	0.095794	0.56266	0.0351609	0.0761299	0.0515543	0.114492	0.00847324	0.00121613	0.00265535
ώ	9.32842e-05	2.60381e-05	8.16391e-05	0.000972188	0.00624105	0.00965048	0.0802542	0.830116	0.010909	0.015874	0.0105575	0.0300386	0.00131055	0.000453459	0.0034221
ω	0.000458854	0.00159526	0.0195388	0.0375558	0.0226484	0.0306369	0.210969	0.377602	0.135643	0.0854252	0.0384715	0.0209336	0.002899	0.00156903	0.0140537
d	0.000410676	0.000408179	0.00195916	0.0178674	0.0289916	0.0296778	0.148714	0.11641	0.262669	0.242096	0.108828	0.0297084	0.00936782	0.00117971	0.00171213
í	0.0034504	0.0095726	0.00416022	0.00187203	0.0325589	0.335322	0.274668	0.0475086	0.135393	0.0591963	0.0571735	0.0162618	0.00495038	0.00264843	0.0152639
i	0.00174293	0.00276505	0.00437151	0.0200834	0.0416297	0.137606	0.141501	0.0314844	0.188346	0.191801	0.136036	0.0394074	0.0465525	0.0054814	0.0111912
a	0.000444581	0.000663598	0.00222322	0.0126784	0.0220704	0.0510253	0.0737359	0.0392289	0.151442	0.227686	0.219739	0.102856	0.0618986	0.0128409	0.0214675
s	0.000573943	0.000722221	0.000679889	0.0034423	0.018643	0.207311	0.0824801	0.0237448	0.0452664	0.0769828	0.1284	0.168552	0.211302	0.0172068	0.0146928
á	0.000190952	0.000700342	0.000339858	0.00132283	0.0268544	0.553829	0.0759668	0.00360305	0.0515979	0.045762	0.0585898	0.0394328	0.0831559	0.00512111	0.0535332
a	0.00110247	0.00502982	0.00436089	0.0198694	0.0163087	0.0951321	0.0702225	0.0068634	0.0968819	0.149824	0.169107	0.0962012	0.142616	0.0420762	0.0844047
l	0.0012057	0.00128591	0.00257607	0.00769696	0.00684975	0.0178881	0.0190978	0.00598126	0.0507877	0.0923932	0.140462	0.202298	0.281138	0.088313	0.0820275
a	0.00128165	0.00371966	0.0034136	0.00905466	0.0115195	0.0546012	0.0235955	0.00718646	0.0209002	0.0335439	0.0653318	0.114964	0.139236	0.101939	0.409712
k	0.000344481	0.00116949	0.00118296	0.00337059	0.00168487	0.0058304	0.025982	0.00599647	0.0341938	0.0578133	0.116551	0.302539	0.0939688	0.156528	0.192844
y	5.01995e-05	0.000132638	0.000170338	0.000274748	0.000980586	0.00445762	0.032223	0.0170716	0.00780988	0.0263507	0.0861611	0.206409	0.0130515	0.563047	0.0418107
έ	5.54928e-05	0.000212233	0.000316118	0.000389788	0.00033794	0.000803695	0.0128473	0.00991238	0.00684058	0.0199241	0.0390748	0.130596	0.00692418	0.679591	0.0921738
r	0.000111108	0.000172156	0.00169452	0.000689878	0.000329139	0.00160716	0.0273751	0.0145058	0.0123992	0.0207665	0.0297326	0.117581	0.0116043	0.634085	0.127347
ε	0.00262317	0.00251807	0.0037801	0.00646025	0.00328201	0.00872613	0.148002	0.105368	0.07123	0.10433	0.0897679	0.328715	0.0212194	0.0577677	0.0462102
s	0.000485234	0.000631217	0.00269819	0.00174011	0.00118961	0.00129309	0.0114881	0.00522292	0.0427691	0.0625681	0.0796269	0.0797713	0.0539307	0.113932	0.542653
ó	0.0137435	0.0154676	0.00970772	0.00520373	0.00313238	0.011943	0.058484	0.0115985	0.114511	0.116296	0.13007	0.100527	0.0319971	0.122515	0.254802
t	0.0116231	0.0172818	0.0152829	0.0265546	0.00440956	0.0108033	0.0303766	0.0108612	0.0878597	0.0843082	0.0827169	0.108815	0.10801	0.233193	0.167904
é	0.00151001	0.00594159	0.00567839	0.00924618	0.0046987	0.00834222	0.0451583	0.0211934	0.0284416	0.0584998	0.140058	0.126177	0.0159043	0.452022	0.0771287
m	0.000128684	0.000318853	0.000857219	0.000883823	0.000533778	0.00176766	0.00878306	0.00780632	0.00627516	0.0182964	0.0388636	0.0561197	0.0138005	0.520802	0.324763
a	0.00154899	0.000638215	0.00025487	0.000532274	0.00160929	0.00201533	0.0173779	0.0191458	0.0121012	0.0213654	0.064581	0.199618	0.029108	0.26705	0.363055
</S>	0.00150387	0.00260554	0.00454865	0.00572378	0.00362561	0.00738137	0.0139768	0.00789475	0.023262	0.0308454	0.0410335	0.0430186	0.0839293	0.14268	0.587971
