 	l'	air	est	froid	</S>
o	0.940643	0.0457895	0.0111518	0.00191274	0.000503314
p	0.030512	0.961125	0.00601436	0.00136436	0.000984553
ε	0.00307038	0.978119	0.00108037	0.0158729	0.00185718
p	0.00749598	0.986585	0.00329872	0.00108074	0.00153944
ε	0.512631	0.42685	0.00633402	0.0256292	0.0285562
ó	0.547988	0.0818901	0.321548	0.0162547	0.0323194
d	0.0984405	0.0356745	0.548965	0.149307	0.167613
í	0.00649094	0.00242903	0.0203728	0.00393421	0.966773
l	0.0529823	0.0163646	0.26116	0.255956	0.413537
a	0.0175187	0.0108335	0.166787	0.438458	0.366403
m	0.0601875	0.0235366	0.262003	0.170254	0.484019
ω	0.0146071	0.00380818	0.0623019	0.0631358	0.856147
m	0.0068333	0.0227602	0.133724	0.396179	0.440504
b	0.0040449	0.00442379	0.0536075	0.20947	0.728453
i	0.00702429	0.00177026	0.0854179	0.0841429	0.821645
</S>	0.00821781	0.00318652	0.0585731	0.143384	0.786639
