 	itoua	ajoute	les	piquets	pour	consolider	sa	maison	</S>
i	0.958397	0.0115792	0.0127196	0.00457987	0.00578607	0.00575943	0.00108103	7.79096e-05	1.95892e-05
t	0.878381	0.0980385	0.0112155	0.00735697	0.000710977	0.00318693	0.000353338	8.53586e-05	0.000671044
u	0.940114	0.0441506	0.00650855	0.00394666	0.00116925	0.0023691	0.000404041	0.000871697	0.000465597
a	0.960561	0.0151434	0.00719749	0.00179069	0.00147498	0.00222281	0.000580912	0.000597998	0.0104304
l	0.440559	0.220387	0.203986	0.0201161	0.0232266	0.0057338	0.00959862	0.000818388	0.0755752
á	0.0780394	0.246343	0.159169	0.0365119	0.0328819	0.0144803	0.0502347	0.00922662	0.373113
a	0.0229873	0.125359	0.586113	0.0977001	0.0498405	0.0114724	0.0258151	0.050925	0.0297877
n	0.0161111	0.890711	0.0680393	0.0164912	0.00224641	0.00277782	0.000908784	0.000313294	0.00240135
y	0.00257627	0.966377	0.0107102	0.0121798	0.00118626	0.00250525	0.000406126	0.00222086	0.00183826
á	0.00126733	0.95543	0.0255066	0.013498	0.00086144	0.000744859	0.000217283	0.00144198	0.00103266
á	0.0233078	0.228081	0.455243	0.150668	0.0596153	0.0468609	0.00942069	0.00583283	0.0209695
s	0.00331699	0.0262266	0.706579	0.118375	0.106679	0.011998	0.013737	0.00437782	0.00871008
á	0.00116672	0.13044	0.340963	0.324307	0.0774254	0.020363	0.018246	0.041301	0.045788
i	0.00155917	0.00673768	0.286318	0.317107	0.226285	0.0759779	0.0211061	0.0610752	0.00383384
s	0.00490346	0.0493539	0.0928332	0.417886	0.288685	0.12113	0.0106495	0.00748846	0.00707042
u	0.000101959	0.00201296	0.0225869	0.636683	0.167302	0.142537	0.0117923	0.00811912	0.00886557
m	0.000105506	0.00152273	0.0251752	0.734053	0.122533	0.101699	0.00553363	0.00255252	0.00682478
ú	0.00035081	0.00276418	0.11874	0.301793	0.38052	0.0904779	0.0646015	0.0151298	0.0256236
m	0.000166002	0.00141278	0.0826368	0.0396359	0.507529	0.186586	0.0954882	0.00678611	0.0797591
í	0.00038788	0.000216907	0.0169568	0.0455091	0.255795	0.211105	0.309232	0.0241056	0.136692
b	0.00112444	0.0010136	0.023287	0.0260538	0.1827	0.568929	0.129991	0.0433963	0.0235045
h	0.00248586	0.00242336	0.0188486	0.0125728	0.191107	0.587016	0.129238	0.0184553	0.0378533
á	0.000120673	0.000955309	0.00483421	0.0113483	0.10361	0.744462	0.0489575	0.0413883	0.044324
m	7.46476e-05	0.00016111	0.00784265	0.0145323	0.18271	0.444128	0.228372	0.0118553	0.110325
b	0.000210099	0.000120467	0.00312611	0.0257138	0.115704	0.364481	0.339433	0.043918	0.107294
i	0.000549989	0.000457773	0.00150033	0.0356395	0.0636734	0.811699	0.0432265	0.0275788	0.0156747
s	0.000293674	0.000337512	0.00555666	0.00660437	0.0960394	0.33554	0.296821	0.033063	0.225744
a	6.13416e-05	0.000882125	0.00458385	0.00901176	0.0598056	0.295652	0.284691	0.235782	0.109531
l	6.09292e-05	0.000102331	0.00558318	0.00558618	0.0354024	0.0695551	0.48265	0.066788	0.334272
á	0.000948249	0.0130457	0.0211175	0.0105665	0.0491569	0.0529952	0.263142	0.281324	0.307705
n	0.000329886	0.00145235	0.0216468	0.0039786	0.0250746	0.039091	0.210131	0.55065	0.147646
d	9.29424e-06	0.00273775	0.00200249	0.00396793	0.00284712	0.00303521	0.0129408	0.965356	0.00710354
é	2.47304e-05	0.00183874	0.0011149	0.00127062	0.00146505	0.00278487	0.0157029	0.946389	0.0294096
e	1.88701e-06	0.000211759	0.000689686	0.00151843	0.00558901	0.0152164	0.0421968	0.723935	0.210641
</S>	9.90517e-05	0.000628383	0.00679736	0.00236498	0.0136228	0.0107317	0.211245	0.106006	0.648505
