 	ii	m'	a	offert	une	grosse	asperge	</S>
w	0.96608	0.0217266	0.00824604	0.00140563	0.000843472	0.000490231	0.000916314	0.000291168
a	0.866359	0.092134	0.0303924	0.00101951	0.00159437	0.00117069	0.00727686	5.30477e-05
á	0.251485	0.241	0.407028	0.0502859	0.0248461	0.010838	0.00146094	0.0130552
k	0.0249401	0.145693	0.39362	0.297962	0.05589	0.0229212	0.00575027	0.0532234
a	0.00567009	0.00727094	0.0915849	0.860092	0.0171578	0.00173292	0.00128775	0.0152039
b	0.000222811	0.000520158	0.0328683	0.95269	0.0100735	0.00132272	0.000566085	0.00173638
h	0.00532551	0.086719	0.4188	0.357068	0.0917794	0.0200784	0.00695676	0.0132729
i	0.00980845	0.0362095	0.129735	0.424764	0.127975	0.045612	0.0274962	0.198399
n	0.00319716	0.723807	0.108515	0.0213731	0.0678129	0.0455812	0.00789978	0.021814
g	0.00886062	0.675543	0.0614422	0.0126738	0.0758459	0.0515529	0.0277053	0.0863759
á	0.00414455	0.830045	0.0397989	0.00530946	0.039229	0.0329969	0.0125833	0.0358926
e	0.00804259	0.0167832	0.0571116	0.0166742	0.478491	0.281539	0.055768	0.0855904
p	0.000314814	0.000241615	0.00271306	0.00365696	0.247747	0.667576	0.0698881	0.00786212
ώ	0.000156435	8.29079e-05	0.00266089	0.00387578	0.245309	0.595792	0.140606	0.0115178
ω	0.000152623	0.0007632	0.00589037	0.011072	0.258049	0.621009	0.0638883	0.0391755
y	9.49063e-05	0.00222159	0.0185395	0.00511134	0.243839	0.235336	0.193623	0.301234
ó	0.00145622	0.0145438	0.0141996	0.000611766	0.0677626	0.164697	0.47051	0.266219
k	0.00161971	0.00596465	0.00573045	0.000478737	0.0100723	0.044081	0.873829	0.0582237
a	5.14728e-05	1.67894e-05	0.000210279	0.000260073	0.00915301	0.0546873	0.895902	0.0397193
n	0.000290085	0.00018198	0.00251864	0.00672756	0.0558	0.196837	0.555065	0.18258
d	0.000113147	6.03479e-05	0.00129643	0.00926653	0.0425457	0.0613914	0.607239	0.278088
á	0.000145079	0.00010053	0.000309899	0.00140848	0.0128594	0.0910674	0.470799	0.42331
</S>	0.00635583	0.0256774	0.0360914	0.00831726	0.0384273	0.0217488	0.272448	0.590934
