 	la	manière	de	rugir	du	lion	me	fait	peur	</S>
e	0.318899	0.244634	0.0761324	0.273433	0.0586524	0.0122933	0.00376455	0.0101621	0.00161163	0.0004179
f	0.00220237	0.00302368	0.0145591	0.852007	0.0366525	0.00967249	0.0249205	0.0238692	0.0326892	0.000404177
ú	0.00339745	0.00434144	0.0265427	0.765572	0.0562017	0.00816568	0.030038	0.0478655	0.0540232	0.00385196
n	0.00109374	0.00217557	0.0107113	0.74423	0.0667062	0.022168	0.0129937	0.0703786	0.0246797	0.0448633
g	0.0642127	0.0166901	0.0272154	0.71562	0.117154	0.012291	0.00147176	0.0250134	0.00925176	0.0110795
ú	0.27664	0.101397	0.0359645	0.39291	0.0889779	0.0338613	0.00301516	0.00656663	0.018432	0.0422348
l	0.0921645	0.0262318	0.521915	0.112003	0.122461	0.0225293	0.0232274	0.0414515	0.00950738	0.0285094
ú	0.198323	0.0480558	0.259307	0.129272	0.0555254	0.0342663	0.0324711	0.0510379	0.00458754	0.187154
y	0.0851186	0.0479618	0.463287	0.119245	0.128921	0.0402475	0.0166156	0.0233236	0.00296524	0.0723143
á	0.164226	0.0576095	0.27047	0.143617	0.2043	0.0888822	0.0160745	0.0160878	0.00350441	0.0352285
n	0.0236717	0.0687233	0.151426	0.172215	0.382655	0.129889	0.0235839	0.025997	0.00585855	0.0159809
g	0.0236664	0.0779251	0.0631119	0.241541	0.229778	0.322963	0.0293202	0.00453374	0.00388886	0.00327247
u	0.00500716	0.103785	0.113222	0.13583	0.282996	0.26593	0.0653961	0.0096133	0.00738924	0.0108315
ú	0.00347453	0.00279467	0.178295	0.0310774	0.459964	0.0852972	0.132369	0.083362	0.0133763	0.00998975
n	0.0135159	0.000891818	0.0988768	0.0495578	0.405137	0.201122	0.147636	0.0714337	0.00465254	0.00717612
g	0.0379674	0.00778107	0.0996817	0.134124	0.206339	0.458638	0.0355195	0.00789076	0.00280294	0.00925496
u	0.00179519	0.0156599	0.0696659	0.0975822	0.336993	0.324051	0.122701	0.0203832	0.00427925	0.00688999
ú	0.00396229	0.00445539	0.165813	0.015504	0.253906	0.153	0.265308	0.114879	0.0132909	0.00988182
y	0.00643755	0.000504889	0.0739431	0.0174302	0.0870291	0.125099	0.353479	0.307979	0.0141833	0.0139148
é	0.0370403	0.00455999	0.0831018	0.0451891	0.225932	0.184998	0.221732	0.132047	0.0515695	0.0138296
e	0.0157073	0.010967	0.120893	0.0107939	0.0877641	0.0461029	0.249325	0.343098	0.0426751	0.0726735
p	0.00105491	0.000354446	0.0100904	0.0064346	0.0134507	0.0726205	0.353272	0.378818	0.0468199	0.117084
έ	0.000218686	0.000127995	0.0057474	0.00621885	0.0113729	0.0423046	0.257162	0.395354	0.0862993	0.195193
n	0.00385613	0.00157703	0.0565377	0.0314279	0.208612	0.0873421	0.222742	0.161603	0.0728882	0.153415
g	0.0125247	0.00438336	0.0395441	0.0458449	0.223545	0.126244	0.171616	0.140593	0.179952	0.0557536
á	0.0142937	0.0143398	0.0337618	0.101973	0.292766	0.138827	0.0919943	0.0771127	0.181892	0.0530404
b	0.00189946	0.000490042	0.0152802	0.0109375	0.0478143	0.0180188	0.0416407	0.330061	0.252749	0.28111
ώ	0.00267663	0.00364602	0.00426325	0.000787036	0.0153668	0.00414029	0.110883	0.236669	0.540612	0.0809559
m	0.000134229	0.000152483	0.000873004	0.000392096	0.00801478	0.00266078	0.0218848	0.0598443	0.831138	0.0749052
ώ	0.00142895	0.000109556	0.00183308	0.000911529	0.00339126	0.00203842	0.0214934	0.206889	0.175301	0.586604
</S>	0.00380217	0.000970964	0.0105328	0.00222186	0.0107991	0.00517121	0.0644178	0.34981	0.13733	0.414943
