 	nous	avons	tué	le	petit	de	la	vipère	avec	la	machette	</S>
b	0.85692	0.114471	0.00412223	0.00825246	0.0040426	0.00489609	0.00340699	0.00203239	0.000811954	0.000640218	0.000387666	1.68335e-05
í	0.464251	0.389093	0.123823	0.00881936	0.0034142	0.0046808	0.00214489	0.000327122	0.0012051	0.00202434	8.5346e-05	0.000131551
s	0.830908	0.144662	0.0202322	0.00106872	0.000605811	0.000785424	0.000465236	5.81527e-05	0.000369551	0.000396694	0.000278746	0.000169698
í	0.748334	0.230188	0.00967963	0.0021174	0.00278996	0.00295309	0.00171514	4.16535e-05	0.000893533	0.000693268	7.87499e-05	0.000514763
l	0.133339	0.460285	0.131723	0.0181909	0.00942152	0.00698486	0.00977242	0.0118972	0.0106357	0.00897344	0.0269042	0.171873
é	0.0606685	0.096098	0.0605317	0.105042	0.0715064	0.0559645	0.0524236	0.00766147	0.0562064	0.0359785	0.0189928	0.378926
b	0.0660533	0.256232	0.619931	0.0255244	0.00795989	0.00671431	0.00448632	0.000176395	0.00120898	0.00280371	0.000220724	0.00868828
o	0.0122235	0.0508197	0.785061	0.0477099	0.0170443	0.0152555	0.0109394	0.0370285	0.00720414	0.00701813	0.00641299	0.00328295
m	0.00608027	0.0176674	0.626761	0.151867	0.0633407	0.0296647	0.0329098	0.0149228	0.0124791	0.0120317	0.0130184	0.0192571
i	0.00101654	0.00366874	0.039572	0.3831	0.269658	0.132632	0.0851907	0.0128703	0.0281068	0.026334	0.00486618	0.0129847
p	0.00275307	0.00872011	0.00288469	0.145341	0.240639	0.310587	0.176524	0.0485994	0.0236224	0.018119	0.00307046	0.0191399
é	0.00081734	0.000712176	0.00331131	0.114371	0.485631	0.123685	0.140113	0.0626109	0.0195476	0.00948682	0.0243515	0.0153631
l	0.000345723	0.000512635	0.000991643	0.101234	0.293264	0.232595	0.173588	0.0773914	0.0248669	0.0143943	0.0198371	0.0609788
i	0.000699563	0.000983226	0.00431191	0.0819628	0.248257	0.235273	0.242227	0.0623055	0.0391299	0.0240363	0.0155429	0.0452715
m	0.000136297	0.00055984	0.000386562	0.0453313	0.0766092	0.271144	0.317881	0.0561973	0.102244	0.0978727	0.00438949	0.0272486
ó	0.000489919	0.000330662	0.000323172	0.0156699	0.0811706	0.116705	0.150042	0.0137874	0.163849	0.110345	0.00957147	0.337717
k	0.000673598	0.000312033	0.000966035	0.0154989	0.0341148	0.046386	0.151409	0.23943	0.15202	0.158468	0.157803	0.0429194
w	0.000202598	3.01357e-05	0.000184804	0.00273489	0.0111926	0.00669177	0.0402572	0.259256	0.0434784	0.0277662	0.57693	0.031275
á	0.002098	0.000262583	0.000625752	0.00309687	0.0104238	0.0101402	0.0305763	0.12163	0.105957	0.0577937	0.575237	0.0821581
í	0.000640083	0.000503377	0.000352	0.00225788	0.00572452	0.0125651	0.0327062	0.0882553	0.146067	0.090224	0.327969	0.292736
</S>	0.000359895	0.00071766	0.000279509	0.00879778	0.00653958	0.0165073	0.0211286	0.00923455	0.196917	0.349649	0.107783	0.282087
