 	as-tu	déjà	trempé	les	tubercules	de	manioc	</S>
n	0.974733	0.0115361	0.00127762	0.00784275	0.00147879	0.00203623	0.0010185	7.69411e-05
ω	0.997866	0.00106564	0.000175155	0.000482662	0.000145635	0.000231479	3.07376e-05	2.58164e-06
o	0.608068	0.316957	0.024445	0.00619004	0.0364752	0.0019376	0.00287264	0.00305501
m	0.00910225	0.658536	0.252193	0.0234471	0.0174277	0.00398273	0.00611321	0.0291976
i	0.0380971	0.861712	0.0867832	0.00603065	0.00231696	0.00104588	0.000303108	0.00371148
s	0.0119393	0.837709	0.114935	0.00879697	0.00155617	0.000992133	0.00108204	0.0229892
á	0.0102742	0.617571	0.327941	0.0113325	0.00603704	0.00169412	0.000959024	0.0241913
á	0.0136607	0.0280621	0.706969	0.0718834	0.0165367	0.0223706	0.00450566	0.136012
o	0.0985401	0.038168	0.37684	0.401562	0.043788	0.0323549	0.00307976	0.00566783
d	0.00154785	0.0592171	0.696069	0.103304	0.124465	0.00102709	0.0127186	0.00165076
u	0.000166371	0.0160321	0.792983	0.0516754	0.117659	0.00238911	0.00449959	0.0145957
b	0.0128546	0.0470819	0.433117	0.31022	0.161536	0.0208728	0.00475148	0.00956587
h	0.00673146	0.00454189	0.15997	0.348946	0.283857	0.122053	0.0300223	0.0438794
á	0.0223571	0.00952589	0.0675063	0.356243	0.148597	0.208683	0.0585048	0.128583
i	0.00838705	0.0050795	0.0618563	0.230133	0.304574	0.267845	0.0783485	0.0437766
n	0.00104875	0.00536372	0.0241907	0.0851987	0.41416	0.0654963	0.276377	0.128165
g	0.00262562	0.00425346	0.00609496	0.0377681	0.399208	0.207834	0.153361	0.188856
o	0.0150797	0.00295728	0.00551643	0.0560447	0.430905	0.283494	0.110823	0.0951795
r	0.000138641	0.000195408	0.00399105	0.0225697	0.390386	0.136531	0.154324	0.291865
a	0.000177819	0.000475467	0.00180042	0.015376	0.321476	0.178624	0.127664	0.354406
</S>	0.000486427	0.000515349	0.00104416	0.0465246	0.138816	0.249261	0.148771	0.414581
