 	il	a	mis	du	temps	au	village	</S>
w	0.735846	0.0820722	0.0587044	0.0401141	0.0180702	0.0571739	0.0073178	0.00070137
a	0.788804	0.0546274	0.0172353	0.0443968	0.040986	0.0505536	0.00321102	0.000186331
á	0.150405	0.608543	0.116993	0.0357653	0.0227801	0.0371031	0.00323629	0.0251743
m	0.0651634	0.426484	0.304416	0.0521583	0.0280156	0.0784636	0.00457933	0.0407202
i	0.0230893	0.382937	0.230159	0.183965	0.115175	0.0262645	0.00279074	0.035619
b	0.0138215	0.171277	0.501145	0.148383	0.0843261	0.0231734	0.0185901	0.0392843
í	0.0140219	0.080328	0.603087	0.207831	0.0654795	0.00815622	0.00194814	0.0191489
á	0.00230143	0.0663131	0.728223	0.107271	0.047635	0.00766298	0.00207709	0.038516
ó	0.0266995	0.0446947	0.200623	0.292004	0.145384	0.168684	0.111129	0.010782
p	0.004631	0.0244288	0.140872	0.257804	0.373427	0.130348	0.0527179	0.0157719
o	0.000599209	0.00513763	0.126047	0.173057	0.180116	0.042099	0.428048	0.0448959
o	0.000200725	0.00250872	0.0663893	0.0770827	0.0340775	0.0387835	0.764548	0.0164094
</S>	0.00530122	0.0148038	0.0310762	0.0599181	0.193765	0.365887	0.0608329	0.268415
