 	la	mouche	est	prise	dans	la	toile	d'	araignée	</S>
i	0.578269	0.300875	0.102221	0.00120038	0.00550711	0.00867122	0.000927712	0.00210822	0.000176288	4.33355e-05
k	0.0188836	0.970649	0.00343925	0.00387947	0.000808263	0.000324359	0.00101559	0.0002208	0.000274189	0.0005053
i	0.00366811	0.99181	0.00145622	0.000711689	0.000138144	0.000119707	0.00131909	0.000111011	0.000236972	0.000429639
n	0.0470233	0.91126	0.0258231	0.00632516	0.00175187	0.00130901	0.00385685	0.000772481	0.000335816	0.00154279
y	0.115353	0.791276	0.0174157	0.00854799	0.012478	0.00585416	0.0266987	0.00222683	0.00101654	0.0191324
i	0.140866	0.744246	0.0517284	0.00609722	0.00519346	0.00394754	0.0111273	0.0015884	0.00111975	0.0340865
í	0.1935	0.0792265	0.61931	0.0541616	0.0214168	0.00736807	0.00291928	0.00317148	0.000322534	0.0186036
m	0.335146	0.0115235	0.178283	0.369683	0.0553212	0.0155531	0.00426792	0.00798268	0.00292485	0.0193148
i	0.0785026	0.00841003	0.13058	0.43593	0.216891	0.0859943	0.00933497	0.0115376	0.00051538	0.0223052
p	0.00827936	0.0130591	0.0134617	0.832218	0.0879772	0.0194386	0.0173152	0.00219132	0.000791619	0.00526758
i	0.000912819	0.00451743	0.00378377	0.859236	0.0373801	0.00915828	0.0683555	0.00191829	0.00515916	0.00957823
i	0.0048754	0.00836499	0.0338575	0.648305	0.174109	0.0514692	0.054658	0.00843945	0.00505871	0.0108632
m	0.00636683	0.000887996	0.029833	0.0285144	0.476118	0.382032	0.0220132	0.0465368	0.00274253	0.00495613
á	0.0195392	0.00195426	0.0474016	0.018024	0.387126	0.424747	0.0227561	0.0251494	0.00054653	0.0527563
m	0.0109431	0.00191025	0.0153217	0.0111451	0.196389	0.555089	0.0747438	0.115355	0.00762945	0.0114739
ó	0.0161229	0.0026968	0.0126583	0.0139451	0.182992	0.292673	0.107383	0.0358633	0.00273198	0.332933
o	0.0317298	0.0115232	0.0228227	0.0122383	0.0640418	0.221694	0.441621	0.128731	0.0306777	0.0349204
k	0.00143306	0.00282224	0.0022094	0.0120537	0.02482	0.0518798	0.68129	0.0778859	0.123179	0.0224267
i	0.00026283	0.00737898	0.000467279	0.00443616	0.0030009	0.0055641	0.76667	0.0107513	0.191566	0.00990259
a	0.000524017	0.00408683	0.000786203	0.00692121	0.0177348	0.0260091	0.614684	0.0881797	0.219819	0.021255
m	0.0044218	0.00179974	0.00757241	0.00205329	0.0383016	0.104504	0.0921047	0.515218	0.0624971	0.171527
á	0.0373284	0.00861984	0.0451765	0.0053901	0.0688883	0.0861195	0.0264946	0.0832568	0.0140417	0.624684
k	0.0318708	0.00388721	0.0270384	0.0056827	0.0269527	0.0833596	0.0377528	0.235186	0.361483	0.186787
a	0.000211211	0.000955946	0.000477242	0.000378457	0.00105415	0.00264869	0.0439776	0.0167112	0.927943	0.00564306
k	0.000142784	0.000140457	0.00013606	0.00113849	0.0019636	0.00283199	0.046257	0.0228061	0.84321	0.0813735
á	0.00107962	0.00185459	0.000807336	0.00166892	0.00394176	0.00419934	0.060134	0.0474332	0.698702	0.180179
l	0.00196932	0.000195664	0.00239063	0.00290569	0.0107871	0.00994014	0.0145702	0.0501153	0.0893342	0.817792
á	0.00422036	0.0108799	0.00499585	0.029053	0.0312679	0.0287362	0.0979095	0.0881938	0.198355	0.506389
</S>	0.0421726	0.0055816	0.0503815	0.00582902	0.029119	0.0652218	0.0203805	0.131724	0.0840939	0.565496
