 	c'	est	un	homme	très	bienfaisant	envers	les	gens	</S>
a	0.603216	0.26949	0.0872039	0.0249393	0.00848703	0.00287201	0.00221814	0.00117044	0.000336196	6.65402e-05
d	0.183129	0.568172	0.112629	0.0355658	0.01967	0.0501056	0.0254369	0.00389146	0.00101291	0.000387556
í	0.409245	0.49065	0.0746982	0.01137	0.00311321	0.00166105	0.00717625	0.00049538	3.81981e-05	0.00155274
m	0.0772661	0.259987	0.349151	0.121885	0.0203455	0.00265578	0.0375283	0.0176774	0.00264705	0.110857
o	0.0761181	0.290599	0.524474	0.0781757	0.00497187	0.00026464	0.00204608	0.00526324	0.000493332	0.0175939
r	0.141765	0.0612891	0.631624	0.0301494	0.0185908	0.0033338	0.0380769	0.00885001	0.00164009	0.0646814
o	0.0736304	0.0501202	0.56387	0.0397719	0.089979	0.00428735	0.0818557	0.0141539	0.000931997	0.0814
y	0.0713305	0.059652	0.324114	0.128005	0.256421	0.0040487	0.0287461	0.0104737	0.00247159	0.114737
ε	0.178003	0.145269	0.316188	0.0378399	0.192309	0.0106575	0.0405328	0.0214141	0.00421406	0.0535734
ε	0.0952924	0.032781	0.206176	0.0137877	0.335985	0.0880086	0.0797769	0.0392904	0.0197813	0.0891207
k	0.00924356	0.0190568	0.0444575	0.137786	0.0840696	0.216076	0.403942	0.0308977	0.0163719	0.0380997
y	0.00157949	0.00391358	0.0214404	0.14464	0.106842	0.172108	0.464336	0.0281337	0.0274654	0.0295427
á	0.0116487	0.0143091	0.0529217	0.0427787	0.397621	0.180163	0.223162	0.0221848	0.0132722	0.0419392
ω	0.0121695	0.00464919	0.0111214	0.0306745	0.355208	0.196945	0.104754	0.0476553	0.0480348	0.188789
b	0.00150493	0.00335101	0.00534642	0.0102973	0.0435826	0.306339	0.516863	0.0711373	0.0161813	0.0253979
v	0.00179555	0.00729229	0.0188786	0.0217841	0.0726705	0.274821	0.382561	0.102941	0.0811699	0.0360854
έ	0.00305734	0.00212409	0.00806258	0.0506761	0.0502518	0.330224	0.343491	0.09432	0.0885854	0.0292075
l	0.000715508	0.00067756	0.00575783	0.00953964	0.0799781	0.0227993	0.1382	0.157862	0.0438211	0.540649
a	0.00217623	0.00156699	0.00474747	0.00711088	0.1415	0.114503	0.225395	0.174406	0.0699468	0.258647
b	0.00934622	0.00377072	0.012967	0.00329577	0.0345149	0.0504113	0.151709	0.250753	0.301511	0.181721
a	0.00226582	0.00618365	0.00384482	0.00341345	0.0124571	0.196429	0.0613578	0.117074	0.575033	0.0219412
r	0.000115908	0.000220588	0.000893066	0.00182321	0.0101593	0.0368905	0.0386205	0.170469	0.636466	0.104342
e	0.0020336	0.00108743	0.00728278	0.00116043	0.0104949	0.0154122	0.0982605	0.298203	0.211344	0.354721
</S>	0.00143694	0.00106973	0.00779133	0.00231561	0.0402864	0.0195917	0.0496489	0.304911	0.159061	0.413887
