 	il	n'	y	a	plus	de	forêts	dans	le	secteur	de	tombo	à	cause	des	feux	de	brousse	</S>
e	0.156392	0.0835721	0.101843	0.11341	0.127188	0.175088	0.0774958	0.0731358	0.0447097	0.0106918	0.0306365	0.000970996	0.00271191	0.000662237	0.000778131	2.7721e-05	0.000526107	0.000131521	2.9447e-05
k	0.0095501	0.110755	0.0158582	0.0959318	0.10402	0.0609309	0.258967	0.0806186	0.0734596	0.161465	0.00712836	0.00973819	0.00119249	0.00158417	0.000809598	0.00470793	0.000657094	0.00234109	0.000284232
y	0.0015595	0.0167938	0.00547549	0.0367864	0.041056	0.0239308	0.625963	0.0137618	0.0231608	0.124363	0.00664269	0.0579861	0.00520474	0.0083884	0.00129539	0.00189495	0.000952438	0.00367075	0.00111359
é	0.00865004	0.0733203	0.0600823	0.105236	0.111641	0.0640135	0.260064	0.0361665	0.0398582	0.0805771	0.0272937	0.0631435	0.0180131	0.0201853	0.00710176	0.00489456	0.00581155	0.00950565	0.00444287
n	0.064803	0.0901047	0.0740657	0.120386	0.154865	0.177319	0.140843	0.0427165	0.0534876	0.0178368	0.013106	0.0133268	0.00666322	0.00700059	0.00305156	0.00244135	0.00328474	0.00218438	0.0125138
á	0.0906736	0.140026	0.0576264	0.0665845	0.0856098	0.0877092	0.0608132	0.0298171	0.0422768	0.0325236	0.0456821	0.0409981	0.0206054	0.0161019	0.00906408	0.0169822	0.0139864	0.00481776	0.138102
á	0.247566	0.082566	0.184486	0.0646924	0.0774212	0.0960026	0.0512361	0.0672451	0.0266123	0.0108847	0.0231574	0.00343239	0.0133188	0.007277	0.00905473	0.00236157	0.0116071	0.000878285	0.0202008
y	0.060308	0.0501162	0.222892	0.139686	0.115137	0.114012	0.0430546	0.144177	0.043369	0.00981898	0.0106957	0.00366705	0.00565303	0.00654453	0.00852314	0.00339616	0.0080498	0.00186383	0.00903613
á	0.0428654	0.133161	0.136196	0.132955	0.0728298	0.0488526	0.0399461	0.0872886	0.0565507	0.0319329	0.0170262	0.0294802	0.0103199	0.0130379	0.0161359	0.00774032	0.0170917	0.00237016	0.104219
t	0.0951528	0.0283742	0.157854	0.148185	0.0985417	0.103451	0.0214201	0.106208	0.0629385	0.0177911	0.031817	0.0292467	0.0101309	0.00758417	0.0155972	0.00624312	0.014284	0.00483978	0.040342
o	0.015127	0.0304408	0.0335965	0.117989	0.124778	0.0604727	0.256466	0.0215222	0.0408554	0.0614922	0.0146406	0.159132	0.00726129	0.0198771	0.00780648	0.00685848	0.00465368	0.00820598	0.00882389
m	0.0036701	0.0158282	0.0362917	0.0709535	0.105851	0.0810578	0.322509	0.053929	0.0776547	0.0947179	0.0165769	0.0620841	0.0156984	0.0221293	0.00532178	0.00400947	0.00255381	0.00107131	0.00809188
b	0.0434064	0.0123816	0.0306265	0.0435842	0.0713676	0.0794672	0.0419125	0.107222	0.195344	0.161146	0.0979156	0.0260816	0.0320254	0.0157642	0.0201652	0.00122945	0.0113058	0.000261224	0.00879363
o	0.0161354	0.0129736	0.0263711	0.0467755	0.0776234	0.0939604	0.0451684	0.132767	0.154696	0.150669	0.0700807	0.0845112	0.0221459	0.00554793	0.003218	0.00426985	0.00979907	0.00200408	0.0412826
á	0.00398958	0.0104527	0.0496461	0.0506673	0.0651681	0.090992	0.0319263	0.224945	0.213302	0.132362	0.0742905	0.0235631	0.0121335	0.00477308	0.00545605	0.00184414	0.00204755	0.000295342	0.00214624
b	0.00203279	0.0131177	0.0307424	0.0302536	0.026436	0.0415557	0.0184946	0.193212	0.175905	0.188556	0.119295	0.0641592	0.0237344	0.0227632	0.019666	0.00686799	0.0110062	0.00215843	0.0100432
h	0.000743095	0.00605708	0.0261325	0.0301498	0.0276291	0.044618	0.0331965	0.0671507	0.120129	0.237373	0.144367	0.0423733	0.108134	0.0589723	0.026645	0.00718339	0.00967148	0.00102916	0.00844534
i	0.000475089	0.00411749	0.0336379	0.0575805	0.0590545	0.0702396	0.0595656	0.0980675	0.083382	0.147736	0.12737	0.0860099	0.0665519	0.0417666	0.016727	0.00973065	0.0126971	0.00448353	0.0208073
á	0.0013738	0.00397852	0.0287885	0.0236766	0.0308902	0.04687	0.030087	0.0873651	0.0895145	0.215265	0.181593	0.0855841	0.0680431	0.0304995	0.0259022	0.00769856	0.0160888	0.00520332	0.0215786
a	0.00594217	0.00555434	0.0235901	0.0173447	0.0163985	0.0195495	0.00747709	0.0510993	0.0609113	0.0811118	0.23825	0.111476	0.133142	0.0810948	0.0833079	0.0239456	0.0165835	0.0108559	0.0123651
k	0.000605945	0.00559603	0.0114471	0.00797765	0.00577793	0.0109671	0.0121925	0.0381344	0.0536907	0.199037	0.0692093	0.271722	0.104113	0.0750027	0.0213791	0.0756058	0.01006	0.0120508	0.0154309
ώ	0.000115695	0.00252976	0.0045282	0.00918264	0.00758701	0.00575493	0.0155506	0.00838905	0.0170816	0.158176	0.0388984	0.449031	0.0603044	0.122521	0.0173168	0.0538868	0.00538794	0.0116926	0.0120654
k	2.24567e-05	0.000359058	0.00120409	0.00263372	0.00425307	0.00649728	0.0302668	0.00914216	0.0386149	0.124215	0.0497468	0.536076	0.0550251	0.038814	0.0136528	0.0166744	0.0170489	0.023772	0.0319812
a	0.00110745	0.00140561	0.00282989	0.00423308	0.00876305	0.00865602	0.0137249	0.00490663	0.0163113	0.0608226	0.0699408	0.583893	0.0439653	0.0527744	0.0116408	0.0150227	0.0111097	0.0208129	0.0680801
á	0.000970108	0.00154805	0.00585144	0.00494566	0.00820818	0.00824397	0.00728376	0.0135265	0.0229188	0.0578847	0.144508	0.102486	0.256385	0.230179	0.0651845	0.0154263	0.0121249	0.00371657	0.0386085
e	0.00170162	0.00306708	0.0127825	0.00616705	0.00429889	0.00694778	0.00153277	0.0360925	0.0154718	0.00864087	0.0750453	0.00323769	0.191571	0.175427	0.311954	0.0335253	0.0551621	0.00596377	0.0514114
k	0.000845912	0.00723396	0.0172499	0.0100562	0.00672762	0.00813442	0.00614762	0.0156924	0.0144578	0.0220862	0.0177201	0.0225543	0.0625138	0.281689	0.150814	0.232768	0.0533742	0.0346904	0.0352441
í	2.47932e-05	0.000764628	0.00151119	0.00403494	0.00388269	0.00280692	0.0124969	0.00367121	0.00673111	0.0444511	0.0111068	0.0590977	0.051074	0.352651	0.0439329	0.322994	0.0144036	0.0412878	0.0230758
i	0.000159176	0.000683379	0.00240561	0.00187928	0.00163831	0.00134882	0.00321395	0.00570676	0.00495065	0.0471299	0.0241498	0.0453289	0.0839657	0.406969	0.0655299	0.146916	0.0231279	0.0457658	0.0891318
d	0.000271342	0.000537122	0.00274873	0.00196764	0.00206397	0.0017349	0.000919365	0.00149989	0.00249821	0.00562318	0.0135328	0.0037624	0.0975277	0.2482	0.342524	0.0902001	0.103892	0.0255521	0.0549446
z	5.92286e-05	0.000775062	0.00149758	0.00147367	0.00117486	0.00110322	0.00045249	0.00780237	0.00489692	0.0100153	0.00949985	0.0069814	0.0446625	0.0762591	0.073573	0.11685	0.0712123	0.0379276	0.533784
a	0.000289291	0.00125969	0.000949151	0.00182183	0.00126259	0.000602076	0.00021893	0.00348663	0.00411157	0.0125575	0.00735103	0.0495635	0.0459971	0.242193	0.206613	0.242287	0.0593555	0.0281235	0.0919572
a	0.000159387	0.000152604	0.000552808	0.000656473	0.000707294	0.000587433	0.000222389	0.00302648	0.00364831	0.0167489	0.0126094	0.019652	0.0583335	0.204187	0.142609	0.283628	0.0761647	0.0456282	0.130726
i	8.01954e-05	0.000388991	0.0028894	0.00225778	0.00222828	0.00345547	0.000543383	0.008791	0.0074638	0.00574942	0.0216698	0.000382926	0.0477685	0.0808208	0.270557	0.0910171	0.335212	0.0301984	0.0885252
b	0.000681022	0.00252286	0.00859555	0.00421462	0.00404467	0.00545746	0.00235985	0.0094603	0.00642749	0.00589649	0.0067654	0.00292491	0.0140133	0.0441642	0.0622425	0.183823	0.256808	0.0874118	0.292186
o	0.000247625	0.00138043	0.00440595	0.00382543	0.00410393	0.00400362	0.00424807	0.00978267	0.00701003	0.0179514	0.0161685	0.00189132	0.0221989	0.0910402	0.0294286	0.404449	0.0952674	0.137258	0.145339
n	2.40111e-05	0.000371535	0.000946625	0.00205516	0.00206269	0.00215049	0.00392715	0.00414524	0.00686358	0.0240554	0.00659455	0.0110466	0.031288	0.10676	0.0136033	0.614901	0.0266647	0.0779914	0.064549
g	0.000264207	0.000666752	0.00204261	0.00423377	0.00473729	0.00704673	0.00675753	0.0104017	0.0190658	0.0379557	0.017993	0.0316861	0.035943	0.082172	0.0534948	0.555284	0.0506644	0.0302116	0.0493784
í	0.00125073	0.0012929	0.00242913	0.00383357	0.00462856	0.00889573	0.00265962	0.0108412	0.0220525	0.0210725	0.0286955	0.056446	0.0215986	0.0164854	0.0241011	0.500719	0.0709765	0.0951958	0.106826
</S>	0.00047609	0.000581577	0.00203189	0.00213309	0.00240451	0.00377277	0.00193099	0.00477468	0.00788668	0.00498377	0.0076569	0.00185822	0.0103083	0.0123143	0.0359757	0.0455016	0.42063	0.172532	0.262247
