 	même	s'	il	pleut	j'	irai	en	forêt	aujourd'	hui	</S>
m	0.781132	0.193406	0.0091284	0.00324707	0.00523934	0.000234974	0.00295835	0.00210184	0.00213239	0.000339724	7.97025e-05
v	0.110814	0.320887	0.207191	0.0526881	0.0443033	0.0360008	0.0819957	0.00957828	0.0104679	0.000282657	0.125791
ú	0.109955	0.586558	0.0951199	0.169717	0.0132459	0.0150378	0.00851397	0.000593056	0.000618056	0.000296568	0.000344389
á	0.223284	0.465806	0.0980212	0.0271888	0.0117167	0.0675589	0.0595604	0.00381086	0.00591203	0.000113807	0.0370278
á	0.151146	0.37251	0.406495	0.0170219	0.0170682	0.00263666	0.00600658	0.00147873	0.00286569	0.00100489	0.0217666
n	0.0683054	0.146902	0.308771	0.322244	0.0985893	0.0177986	0.0160909	0.00610714	0.00296304	0.000970461	0.0112576
ώ	0.0521916	0.15808	0.186236	0.346783	0.24328	0.00338371	0.00730349	0.00072629	0.000314059	3.38531e-05	0.00166713
ω	0.0710527	0.12352	0.139091	0.312392	0.254928	0.0391702	0.0377801	0.00793421	0.00251317	0.000116653	0.0115032
s	0.0674521	0.0437601	0.238779	0.308391	0.267824	0.0103418	0.0285965	0.00902629	0.0106287	0.00207516	0.0131268
i	0.114428	0.124971	0.232392	0.266505	0.108226	0.0274906	0.0415833	0.0329322	0.0117033	0.000804722	0.0389641
o	0.0368911	0.0278319	0.25246	0.230858	0.394475	0.0122983	0.0146478	0.00513085	0.00672029	0.000922491	0.017764
n	0.001551	0.00180855	0.0112425	0.190186	0.24016	0.536754	0.00992034	0.00434911	0.000939918	0.000362993	0.0027259
ώ	0.00246192	0.00917047	0.0681604	0.595556	0.266922	0.0387214	0.0129447	0.00248967	0.000510262	4.12508e-05	0.00302229
ω	0.00568324	0.0168502	0.0598843	0.418777	0.326932	0.0689842	0.0590346	0.0302394	0.00394801	3.29363e-05	0.00963415
n	0.00995592	0.00551531	0.0839203	0.105441	0.408525	0.0678248	0.161084	0.0717664	0.0589672	0.00315643	0.0238435
g	0.00430931	0.00660604	0.0265912	0.265515	0.454777	0.0475332	0.0772137	0.0407004	0.0102047	0.00065679	0.0658934
á	0.00161949	0.00865774	0.069303	0.225677	0.583918	0.042001	0.0449609	0.0125265	0.00233345	0.00011704	0.00888573
l	0.00502596	0.00460844	0.0325917	0.0453877	0.20319	0.0730474	0.280682	0.147781	0.140962	0.0201672	0.0465565
í	0.00805412	0.00587033	0.0175561	0.0288587	0.338452	0.215755	0.135916	0.0917293	0.0311673	0.0024369	0.124204
i	0.00875914	0.00504027	0.0223395	0.0225044	0.192264	0.31061	0.166549	0.163241	0.0547645	0.00823058	0.0456975
d	0.00142282	0.0017291	0.00344315	0.00486326	0.0400966	0.667108	0.119682	0.104186	0.0228042	0.0155547	0.0191108
z	0.000501185	0.000966847	0.0031958	0.0034792	0.0375164	0.824832	0.0725532	0.0270411	0.00838367	0.00295876	0.0185723
w	0.000956523	0.00117889	0.0022261	0.00179477	0.0115154	0.953264	0.0154272	0.00396504	0.00255189	0.000970506	0.00614959
a	0.0016274	0.00132878	0.0117287	0.0102205	0.0387657	0.530287	0.115885	0.0471104	0.125719	0.00462286	0.112705
k	0.000725233	0.000448071	0.00552284	0.0153499	0.0463818	0.0358099	0.328231	0.115945	0.226137	0.0293871	0.196062
ώ	0.000896883	0.000679442	0.000587093	0.00261236	0.0058833	0.0529573	0.0837621	0.625493	0.0362748	0.14128	0.0495738
p	0.000247461	5.90896e-05	7.71507e-05	0.00235491	0.00339108	0.00552922	0.0720445	0.563209	0.141799	0.17773	0.033558
á	0.00165718	0.000268068	0.00017147	0.000899665	0.00133596	0.00643398	0.0342297	0.443732	0.215042	0.233953	0.0622772
b	0.00246871	0.000787484	0.00443215	0.00239692	0.0193013	0.00982998	0.0748436	0.0701359	0.29141	0.152627	0.371766
h	0.00145148	0.000809253	0.00103686	0.00149858	0.00596702	0.00275152	0.026576	0.0454765	0.0781599	0.73246	0.103813
a	0.00303813	0.000772989	0.0017481	0.00674244	0.00408725	0.00322918	0.0633	0.0896487	0.0975908	0.314848	0.414994
</S>	0.000508048	0.000189781	0.000585982	0.00205542	0.00474792	0.00338648	0.0503309	0.0908538	0.119191	0.148992	0.579159
