 	la	liane	otsu	est	facile	à	déchirer	</S>
o	0.679029	0.255673	0.0164236	0.0192227	0.0156807	0.0125941	0.000617325	0.000759284
t	0.094422	0.407274	0.410569	0.0175291	0.0332891	0.00476077	0.0268586	0.00529749
s	0.0276776	0.0606318	0.781995	0.0140218	0.0937006	0.00423472	0.0142975	0.00344137
u	0.312876	0.230554	0.260543	0.0733007	0.0894166	0.0241028	0.00280292	0.00640485
ó	0.573251	0.230877	0.149581	0.0101722	0.0191974	0.00794253	0.00168876	0.00729018
d	0.227574	0.116019	0.472095	0.0986517	0.0117533	0.0237159	0.00237143	0.0478205
í	0.172909	0.093911	0.35691	0.0694365	0.00558651	0.0204107	0.000706702	0.28013
o	0.0782464	0.0424193	0.349085	0.256552	0.0341887	0.0503013	0.0214369	0.16777
d	0.0142749	0.00662876	0.257959	0.50133	0.176074	0.0209435	0.00776954	0.0150199
z	0.00644676	0.00114454	0.259978	0.511622	0.0679883	0.0273453	0.0205383	0.104937
á	0.0631569	0.0134704	0.638493	0.175223	0.0727416	0.0156878	0.00475819	0.016469
l	0.00357037	0.00289583	0.0869461	0.235521	0.189231	0.0858216	0.119446	0.276568
a	0.00750877	0.00742856	0.021429	0.250656	0.268881	0.138366	0.0385292	0.267201
k	0.0191754	0.0124118	0.021648	0.122959	0.479222	0.163608	0.0621512	0.118825
y	0.00148451	0.000377067	0.0167055	0.0276794	0.886584	0.00887785	0.0515934	0.00669823
έ	0.000274398	6.29464e-05	0.00195572	0.00716605	0.942511	0.00601468	0.0348687	0.00714677
r	0.000683544	0.000403419	0.003559	0.0632378	0.713796	0.037124	0.0303418	0.150855
ε	0.00213939	0.00132679	0.00379338	0.0353991	0.724814	0.0454025	0.0196643	0.16746
m	0.00869206	0.00167056	0.00266542	0.1491	0.228912	0.358757	0.0683959	0.181808
í	0.0425828	0.0199295	0.00191386	0.0418027	0.0693479	0.394886	0.0337476	0.395789
p	0.00949648	0.009092	0.00257141	0.0478813	0.0581361	0.343667	0.417888	0.111267
a	0.00259068	0.00165193	0.0088347	0.0133025	0.0694615	0.0484509	0.83308	0.0226279
s	0.000245136	0.000211419	0.00257184	0.00585449	0.0361302	0.0444049	0.782473	0.128109
a	0.00256926	0.00183048	0.00356865	0.00882538	0.0701977	0.0601047	0.747566	0.105338
a	0.00136072	0.000363036	0.00318892	0.0318653	0.0251144	0.139995	0.264528	0.533584
k	0.0155729	0.0031153	0.0161512	0.16975	0.0359708	0.293351	0.077379	0.38871
a	0.00289107	0.00129152	0.0155847	0.076947	0.114843	0.0700916	0.603445	0.114907
á	0.00244169	0.000623754	0.00647857	0.0111004	0.0364941	0.0237227	0.351164	0.567975
</S>	0.00458007	0.0011108	0.00541382	0.0563728	0.0121297	0.14628	0.0702752	0.703838
