 	je	conduis	ce	malade	à	l'	hôpital	</S>
n	0.725648	0.107969	0.0808946	0.055622	0.0175201	0.0116481	0.000533884	0.000163532
g	0.681972	0.290273	0.0168439	0.00461387	0.00209694	0.00411685	2.6735e-05	5.74947e-05
á	0.821479	0.149498	0.0146616	0.00515531	0.00401172	0.00512507	1.22968e-05	5.71435e-05
l	0.149585	0.413092	0.143689	0.107002	0.0596427	0.0790186	0.00170388	0.0462667
í	0.493672	0.127538	0.056328	0.0345264	0.0947637	0.0771486	0.000766187	0.115257
i	0.0936876	0.122538	0.175487	0.188308	0.114192	0.1286	0.00250109	0.174687
y	0.00903088	0.588886	0.118773	0.125735	0.0535913	0.00754618	0.0224702	0.0739677
ε	0.00400758	0.838401	0.111153	0.0151371	0.00743928	0.000466358	0.00732901	0.0160674
ε	0.00368931	0.79839	0.0843311	0.043306	0.0130449	0.00894548	0.00436113	0.0439324
s	0.0054622	0.176018	0.534432	0.128729	0.0544608	0.0448984	0.000686096	0.0553134
έ	0.00564804	0.233253	0.56612	0.0812929	0.0438327	0.0480083	3.86734e-05	0.0218066
o	0.00802907	0.0455433	0.768694	0.0494312	0.0731634	0.0360858	0.00346364	0.0155894
k	0.000801294	0.0168605	0.163671	0.736779	0.0684145	0.00228506	0.00650191	0.00468667
ω	2.40029e-05	0.00397222	0.0216925	0.941658	0.016343	0.000329356	0.011611	0.00436989
n	6.51399e-05	0.0611229	0.0465274	0.862799	0.0191798	0.00148509	0.00042422	0.00839661
í	0.0164242	0.0902262	0.068672	0.758984	0.0255794	0.00568011	0.00198478	0.0324492
m	0.000329087	0.0177768	0.218864	0.222688	0.333629	0.124583	0.00936387	0.072766
ú	0.000845828	0.0109344	0.0951789	0.0606796	0.247317	0.199599	0.0068034	0.378642
m	0.000146164	0.00422827	0.0985266	0.0888681	0.472994	0.150697	0.0584602	0.12608
í	0.00102634	0.00650063	0.137165	0.0303537	0.273719	0.162587	0.00794148	0.380707
d	0.000453874	0.00367594	0.126549	0.0757567	0.357754	0.309953	0.0696281	0.0562305
z	0.00110758	0.00806345	0.0565768	0.00834608	0.338801	0.145148	0.0487219	0.393234
w	0.00131832	0.00691967	0.0418335	0.00880131	0.25332	0.0687019	0.405759	0.213346
a	0.0032287	0.00840446	0.0605962	0.012211	0.282448	0.154467	0.324357	0.154287
l	0.000586557	0.00240247	0.0234013	0.00969602	0.114359	0.199515	0.0828418	0.567198
o	0.00192259	0.00241474	0.00794978	0.00825419	0.0628635	0.0996081	0.254309	0.562678
p	0.000226537	0.00916858	0.00979537	0.0142457	0.0320648	0.0695169	0.615046	0.249936
i	8.33147e-05	0.00572635	0.0179673	0.0119429	0.0184835	0.021688	0.856927	0.0671817
t	6.19866e-05	0.00166859	0.00262317	0.00708075	0.0107466	0.0147471	0.796439	0.166633
á	0.00043135	0.00126245	0.00338555	0.00534855	0.00650932	0.0224348	0.852372	0.108256
á	0.00419422	0.00247565	0.0132539	0.00395288	0.0236934	0.0944745	0.214219	0.643737
l	0.0240281	0.0112006	0.0850019	0.023003	0.106505	0.399282	0.0133126	0.337666
ε	0.00290172	0.0539408	0.0889897	0.0188597	0.0815747	0.204864	0.0270116	0.521858
</S>	0.00137204	0.00907726	0.0337576	0.0145378	0.040991	0.235548	0.166904	0.497812
