 	onduma	découpe	les	feuilles	sauvages	koko	</S>
o	0.965983	0.0289622	0.00229385	0.00119045	0.00118432	0.000340565	4.54292e-05
n	0.886734	0.104716	0.00348492	0.00118971	0.0020132	0.000868612	0.000993644
d	0.624834	0.341206	0.011364	0.00437059	0.00222595	0.00117692	0.0148229
ú	0.905742	0.084859	0.00217721	0.000270725	0.000148447	0.00218121	0.00462123
m	0.800885	0.0625061	0.023829	0.00919291	0.0158728	0.050371	0.0373437
a	0.702981	0.166244	0.039014	0.00528679	0.00196565	0.0131186	0.0713905
l	0.0144301	0.0718992	0.776669	0.11564	0.00936669	0.000717051	0.0112773
á	0.0165715	0.0334469	0.343342	0.113164	0.0418755	0.0164137	0.435187
a	0.253962	0.0195728	0.314433	0.246844	0.122226	0.0273105	0.0156512
s	0.00484286	0.0276253	0.168958	0.694692	0.0851767	0.00753643	0.0111684
í	0.0380005	0.0239482	0.085802	0.747914	0.0602201	0.0231633	0.020952
έ	0.00868802	0.00244399	0.080227	0.582528	0.196124	0.0327519	0.0972365
k	0.000716594	0.00141051	0.0378855	0.120809	0.60719	0.119015	0.112973
u	0.00165222	0.00414284	0.0464999	0.0664938	0.253764	0.555517	0.0719302
u	0.000517371	0.000817367	0.014191	0.0335768	0.139242	0.573395	0.238261
m	0.000309757	0.00126077	0.0111008	0.0458332	0.429183	0.231085	0.281227
ú	0.00187829	0.000378829	0.00329317	0.0073546	0.115634	0.809797	0.0616639
</S>	0.00501284	0.00310533	0.00994342	0.0554004	0.337893	0.292776	0.295868
