 	la	piste	est	bourbeuse	</S>
k	0.811165	0.171979	0.0160023	0.000680668	0.00017374
ó	0.0400519	0.959009	0.000457304	0.000414464	6.7482e-05
ó	0.0130801	0.982795	0.00267557	0.000335762	0.00111338
a	0.175654	0.0799637	0.688776	0.00406186	0.051544
d	0.041578	0.0412365	0.873673	0.0169114	0.0266013
í	0.0189615	0.00149053	0.239563	0.012748	0.727237
l	0.0458805	0.0106696	0.478116	0.0973425	0.367991
o	0.00940576	0.00255865	0.177752	0.153586	0.656697
m	0.0363552	0.0128798	0.147711	0.531393	0.271662
b	0.000272611	3.29282e-05	0.00234279	0.989388	0.00796371
i	0.000152844	2.30592e-05	0.00126483	0.978746	0.0198133
n	0.00432424	0.00135617	0.0198271	0.583061	0.391431
g	0.0194785	0.00163327	0.0660391	0.691089	0.22176
a	0.0364352	0.00186507	0.00853718	0.606283	0.346879
</S>	0.0138987	0.000986194	0.279943	0.0533187	0.651854
