 	ne	faites	pas	pleurer	mon	enfant	</S>
o	0.773469	0.0767372	0.111449	0.00469055	0.0231411	0.00554127	0.00497178
l	0.0040375	0.0117939	0.103181	0.869936	0.00187088	0.00160897	0.00757234
e	0.000111385	0.00100205	0.026449	0.957927	0.00178537	0.000187971	0.0125371
e	2.22486e-05	4.14788e-05	0.0114126	0.985632	0.000160356	7.02026e-05	0.00266126
s	0.0859557	0.0749366	0.237998	0.173665	0.141753	0.138645	0.147047
á	0.00910121	0.00550291	0.0639622	0.0913347	0.294559	0.130045	0.405495
m	0.0155525	0.208897	0.0545499	0.00326888	0.560902	0.110606	0.0462242
w	0.000340468	5.19642e-05	3.94992e-05	0.000137326	0.00116638	0.988796	0.00946811
á	7.06191e-05	3.22906e-05	2.78101e-05	0.000284807	0.000457905	0.997792	0.00133436
n	0.00182994	0.00030044	0.000848652	0.00252563	0.0317556	0.93611	0.0266298
a	0.01684	0.00481779	0.00519824	0.000440458	0.0311808	0.927217	0.014306
n	0.0163721	0.0307985	0.185689	0.0207272	0.594779	0.0290694	0.122565
g	0.00521494	0.027134	0.0178652	0.000790938	0.629618	0.0907371	0.22864
á	0.0035151	0.0788184	0.0309575	0.00358215	0.526282	0.0569143	0.299931
k	0.0121474	0.00806104	0.0667559	0.0369655	0.249452	0.116412	0.510207
a	0.0069877	0.00804183	0.0112837	0.0211301	0.0872822	0.0272742	0.838
á	0.000238745	0.003102	0.0277901	0.0169944	0.095962	0.0351828	0.82073
</S>	0.00772694	0.0173177	0.0707653	0.0120275	0.349977	0.0823082	0.459877
