 	ils	se	sont	anuités	dans	la	forêt	ils	n'	ont	pas	pu	rentrer	</S>
b	0.905499	0.00821188	0.0110196	0.011402	0.00477185	0.00825034	0.0320204	0.00728162	0.000703467	0.000624795	0.00102302	0.00572454	0.00325437	0.000213532
á	0.963578	0.00927674	0.00507001	0.00186153	0.00256049	0.00319641	0.00301097	0.00662799	0.00121207	0.00144661	0.000597885	0.00133845	0.000183812	3.90737e-05
a	0.987623	0.00326362	0.00100689	9.4963e-05	0.000155534	0.000960908	0.000779811	0.00404914	0.000545806	0.000774023	0.000261304	0.000224844	0.000148697	0.000111265
á	0.0932547	0.555365	0.27015	0.00137247	0.0045312	0.0036804	0.000901883	0.00531122	0.00634752	0.0118178	0.00869523	0.00699049	0.00194402	0.0296382
b	0.0171329	0.365641	0.387722	0.119122	0.0241482	0.00420598	0.00413269	0.000591805	0.00375819	0.0104554	0.0191242	0.016518	0.00349028	0.0239569
v	0.0422706	0.355561	0.267447	0.132309	0.0636035	0.0272275	0.00524009	0.0180724	0.0242015	0.0209994	0.0103978	0.00847512	0.0021919	0.022002
e	0.129688	0.403338	0.16159	0.10956	0.0923486	0.0392916	0.0177629	0.0106668	0.00707588	0.010116	0.00716551	0.0036933	0.000504196	0.00719844
f	0.00535288	0.0970624	0.189851	0.360678	0.1541	0.0705331	0.00737415	0.00161469	0.00536259	0.00615091	0.0148023	0.00917241	0.00996416	0.0679814
u	0.00143986	0.0336325	0.127508	0.283017	0.0390323	0.127248	0.150078	0.0520451	0.0387537	0.0182441	0.0305598	0.0219932	0.0168309	0.0596166
l	0.000598455	0.0227746	0.0726302	0.110488	0.266107	0.163679	0.0315962	0.0112259	0.0193648	0.0177178	0.0313735	0.0167183	0.0310947	0.204632
ú	0.000369204	0.0283316	0.160905	0.198188	0.145074	0.182023	0.101058	0.0239625	0.0202835	0.0206302	0.0357044	0.0299866	0.00903015	0.0444531
s	5.23351e-05	0.00816682	0.0490289	0.093456	0.505647	0.21864	0.0318979	0.00300388	0.0126765	0.0104444	0.00813928	0.0073218	0.00345382	0.048071
á	6.71405e-05	0.00291054	0.0362928	0.245927	0.403244	0.238014	0.0134608	0.00143116	0.0170279	0.0105946	0.00813985	0.00421142	0.0028123	0.0158667
k	0.000109536	0.00129978	0.0134449	0.0369845	0.219431	0.392522	0.221839	0.0319614	0.0330814	0.0110676	0.00473755	0.00689804	0.004698	0.0219258
ώ	0.000234155	0.000305976	0.0016241	0.0164026	0.0168953	0.0515331	0.856931	0.0218981	0.00661915	0.00198051	0.00353069	0.00325223	0.00834129	0.0104515
á	0.000165398	0.000662789	0.00198425	0.0042696	0.0108031	0.0444996	0.663668	0.105863	0.0217887	0.01054	0.0132498	0.0262392	0.0491564	0.0471108
k	3.79204e-05	0.00658731	0.00912634	0.00508996	0.0588996	0.248952	0.0916713	0.1241	0.238237	0.107672	0.0418649	0.0238727	0.0073475	0.0365404
ω	0.000235023	0.00127193	0.00405054	0.0104749	0.0112049	0.0554405	0.609177	0.0309186	0.0389549	0.0215628	0.059783	0.0509238	0.0582173	0.047785
n	3.57466e-05	0.00111942	0.00353539	0.00603911	0.0267544	0.0499675	0.32238	0.07993	0.0688744	0.0458761	0.0680704	0.141184	0.0695806	0.116653
d	9.71257e-05	0.0037046	0.0139028	0.0151672	0.0199904	0.094671	0.251253	0.0473143	0.0967155	0.0827828	0.141849	0.11131	0.0331234	0.0881189
i	3.58996e-05	0.00181131	0.0066985	0.0111877	0.0240718	0.147875	0.377737	0.0350698	0.0920457	0.0522155	0.066872	0.0651694	0.0169341	0.102276
o	7.30906e-05	0.00404163	0.00685561	0.000566534	0.0222039	0.146322	0.0464528	0.222514	0.183622	0.161947	0.0920333	0.0666105	0.0057837	0.0409734
b	0.000110477	0.0151677	0.0288051	0.0321648	0.0582825	0.0227556	0.0226314	0.00446509	0.101797	0.199019	0.190388	0.166254	0.0996177	0.0585421
v	0.00011891	0.0113464	0.023932	0.074518	0.0608341	0.0290636	0.0328702	0.00372404	0.0428922	0.0670512	0.104349	0.100413	0.38331	0.0655774
ú	0.000101376	0.00480246	0.00543755	0.0120521	0.0147976	0.023279	0.0390757	0.0164915	0.0714466	0.0744599	0.0953659	0.10958	0.464716	0.0683944
l	0.000186678	0.00033484	0.00208516	0.00231041	0.00849971	0.0778766	0.0370458	0.0340989	0.0604189	0.076777	0.310957	0.215167	0.10108	0.0731616
á	0.000316731	0.00181446	0.0039704	0.000527377	0.00394423	0.0353535	0.0388345	0.125254	0.113648	0.142177	0.207415	0.153849	0.0889162	0.0839799
p	0.00220493	0.00425363	0.00822047	0.00289763	0.0145618	0.0409037	0.0436462	0.0929236	0.086655	0.118726	0.0958182	0.21338	0.154073	0.121736
o	0.000322732	0.00184205	0.00467657	0.00262515	0.00330968	0.012909	0.0220508	0.0395256	0.103191	0.0966705	0.146299	0.119137	0.370799	0.0766416
o	0.000186717	0.000370611	0.00131953	0.000924685	0.00122181	0.00652869	0.0152873	0.0252037	0.0478039	0.0680866	0.124635	0.145221	0.419436	0.143774
</S>	1.28926e-05	0.00371874	0.0127715	0.00262187	0.0151605	0.0185717	0.00210921	0.00195301	0.0251599	0.0819135	0.136422	0.173075	0.15505	0.37146
