 	le	sculpteur	est	en	train	de	tailler	la	pirogue	</S>
o	0.706216	0.277091	0.014645	0.00112572	0.000406086	0.000417206	4.22764e-05	4.17704e-05	1.00517e-05	5.35364e-06
k	0.0711859	0.892032	0.0258079	0.00499206	0.00308908	0.000539463	0.00120434	0.000223507	0.000393807	0.000531652
a	0.0286262	0.956807	0.00469184	0.00171375	0.0010502	0.0002613	0.00117841	0.00055336	0.000236834	0.00488099
m	0.0286145	0.713247	0.168251	0.0564426	0.0214458	0.00614186	0.00162476	0.00117957	0.000313532	0.00273915
b	0.587551	0.276964	0.0965167	0.0149666	0.00976268	0.00948015	0.00127895	0.00112318	0.000119133	0.0022374
a	0.352201	0.455109	0.118034	0.0232497	0.0030981	0.0141924	0.022604	0.00286523	0.00135358	0.00729233
b	0.0681725	0.0160694	0.455681	0.234914	0.0231977	0.180472	0.00248429	0.00684526	0.000122634	0.0120409
ó	0.0390742	0.0014582	0.119874	0.416508	0.216547	0.123788	0.0223774	0.0367819	0.0161159	0.00747619
l	0.0486985	0.00663175	0.16459	0.324498	0.17133	0.253208	0.00741998	0.0188915	0.00134029	0.00339238
á	0.0182057	0.00513244	0.0817804	0.174549	0.00895519	0.21016	0.133664	0.062185	0.0343734	0.270995
a	0.059279	0.0123456	0.13757	0.246135	0.0249046	0.250581	0.129629	0.0812311	0.0358163	0.0225084
b	0.0112392	0.0116243	0.0164517	0.0178716	0.00631587	0.18493	0.596398	0.106505	0.00620504	0.0424594
h	0.00167326	0.00252966	0.00447523	0.004756	0.00643921	0.0358915	0.818066	0.111362	0.00413114	0.0106757
ε	0.00112709	0.000687819	0.000489796	0.000523011	0.000901842	0.00274431	0.972329	0.0133981	0.00259721	0.00520201
n	0.00743211	0.000982723	0.0193195	0.0219076	0.0106764	0.097395	0.383618	0.386032	0.0271288	0.0455078
g	0.0331737	0.000739544	0.0118234	0.0299874	0.000749677	0.0602291	0.501532	0.258075	0.00847513	0.0952153
έ	0.152122	0.00109976	0.0203906	0.0660349	0.00290866	0.0329348	0.353744	0.230888	0.0393273	0.10055
b	0.00417104	0.000782132	0.00251449	0.00342101	0.000315171	0.00783674	0.0868077	0.399251	0.439054	0.0558458
v	0.0092022	0.00424471	0.0110776	0.0176182	0.00385751	0.00963793	0.0440893	0.103119	0.78957	0.00758272
á	0.000306426	7.33112e-05	0.000172257	0.000806439	0.000314541	0.000287286	0.05496	0.021838	0.920257	0.000985224
r	0.00776441	0.000430614	0.00363466	0.0112903	0.00197749	0.00312642	0.0385256	0.104207	0.776766	0.0522783
e	0.00329446	0.00175063	0.00662553	0.0127156	0.000288543	0.00259804	0.0846426	0.291086	0.396127	0.200871
</S>	0.00157576	0.000151975	0.00207234	0.00210349	0.000165557	0.00526568	0.00509041	0.130127	0.125579	0.727868
