 	que	cherches-tu	en	faisant	des	tours	de	la	sorte	</S>
n	0.860745	0.0323393	0.0333169	0.0302207	0.0156709	0.00546549	0.00673671	0.0135827	0.00103554	0.000886641
ω	0.680482	0.26512	0.00526175	0.0293742	0.0157447	0.000314913	0.000512499	0.00191778	0.000967758	0.000303881
l	0.461038	0.217741	0.0658563	0.131354	0.00895878	0.0104014	0.0113674	0.00935152	0.027856	0.0560761
ó	0.0294069	0.0664203	0.0894745	0.0120673	0.018623	0.00353253	0.0344247	0.026381	0.0275411	0.692129
o	0.168122	0.149306	0.376845	0.0457056	0.0438901	0.0150394	0.0257601	0.0271258	0.0342219	0.113984
d	0.0169667	0.241815	0.576292	0.126799	0.00192699	0.00807042	0.00875933	0.00199819	0.00117248	0.0161997
z	0.0234724	0.0398748	0.84066	0.0451396	0.00317271	0.00349297	0.0114088	0.00192584	0.000405431	0.0304473
έ	0.102719	0.10673	0.563105	0.131009	0.0198384	0.00615412	0.0318151	0.00584023	0.00105512	0.0317327
n	0.00984513	0.0272316	0.417307	0.197991	0.0574044	0.0104542	0.0723465	0.068889	0.00386602	0.134665
g	0.0263868	0.0686295	0.224625	0.325236	0.168829	0.0209087	0.040781	0.0586477	0.0175952	0.0483612
ε	0.0460885	0.0599835	0.0795638	0.498992	0.196221	0.0359194	0.0109524	0.0133318	0.0143267	0.0446207
b	0.0167472	0.0303482	0.0722662	0.11802	0.522402	0.181177	0.0270946	0.0200873	0.00764845	0.0042087
ó	0.0125635	0.000839598	0.0304082	0.0183487	0.275264	0.544149	0.0519222	0.0266702	0.00906742	0.0307665
n	0.00687373	0.00480982	0.0472453	0.0164138	0.286105	0.529541	0.0550588	0.015867	0.0105885	0.0274973
ω	0.0135469	0.0360496	0.0404791	0.0474027	0.274256	0.435378	0.0439421	0.035054	0.0198406	0.0540504
l	0.00800285	0.0546987	0.0630694	0.0334455	0.218457	0.294386	0.229467	0.0281725	0.0211283	0.049173
ó	0.00612551	0.00906488	0.0606922	0.057945	0.103069	0.075874	0.260049	0.0959124	0.113398	0.21787
o	0.0070125	0.0033263	0.0385011	0.0279124	0.0742917	0.109834	0.298219	0.132998	0.221492	0.0864122
y	0.00122927	0.00547297	0.0731035	0.0173504	0.00505241	0.0110702	0.494008	0.198126	0.134659	0.0599289
é	0.00190103	0.02669	0.0514465	0.0578944	0.0453923	0.00632779	0.25113	0.264459	0.160272	0.134487
n	0.000717841	0.00315227	0.0287799	0.0089236	0.0271907	0.00878239	0.227473	0.21502	0.0815752	0.398384
g	0.000355613	0.00293892	0.00970402	0.0100477	0.00894301	0.00838406	0.144541	0.27309	0.275604	0.266391
á	0.000712419	0.00358663	0.00869031	0.083548	0.012987	0.0309698	0.0988937	0.0957964	0.493446	0.171369
n	0.00148895	0.00344832	0.00962815	0.00421409	0.0138929	0.00863853	0.137851	0.325851	0.186209	0.308778
d	0.00275558	0.00879093	0.00627595	0.0110115	0.0255208	0.00985628	0.0568224	0.17664	0.416771	0.285556
é	0.000570787	0.00722815	0.00064992	0.0188707	0.0147679	0.00302613	0.0135495	0.0348204	0.70764	0.198877
</S>	0.000109018	0.00148363	0.00183927	0.0130755	0.0227207	0.0209557	0.0437212	0.0376575	0.475145	0.383292
