 	ma	femme	a	porté	un	foulard	bleu-clair	</S>
m	0.745897	0.22521	0.00411208	0.00051118	0.0048148	0.0138326	0.00553753	8.38892e-05
w	0.00471235	0.984919	0.00563134	0.00249866	0.00104136	0.000750008	0.000186575	0.000260311
á	0.00735527	0.992034	0.000100776	2.30937e-05	0.000181211	0.000166812	0.000129306	9.16933e-06
s	0.848345	0.143504	0.00276458	0.000512969	0.00132829	0.00082342	0.000763912	0.00195776
í	0.523703	0.206874	0.069777	0.0945292	0.0217523	0.00574003	0.0232737	0.0543512
y	0.475166	0.108997	0.341089	0.0264187	0.0086196	0.00333018	0.00250838	0.0338713
a	0.310383	0.214932	0.377708	0.0280029	0.0311859	0.00377645	0.0101135	0.023898
n	0.91299	0.025286	0.0552212	0.0023478	0.0012261	0.000130904	0.000254016	0.00254354
g	0.983753	0.00445814	0.00805804	0.00196614	0.000513058	0.000161309	0.000253103	0.000837582
á	0.202516	0.115818	0.381799	0.231653	0.0178645	0.00407679	0.0118056	0.0344672
á	0.0298646	0.00939903	0.828345	0.0470525	0.0431377	0.0135256	0.00371731	0.0249588
l	0.000936286	0.000922507	0.0772925	0.851028	0.0521373	0.00772127	0.00185384	0.00810876
á	0.000497455	0.00030677	0.0724005	0.908734	0.010662	0.00106982	0.000652463	0.00567702
r	0.0323543	0.00132284	0.023509	0.853609	0.0752687	0.00497632	0.00333002	0.00562956
i	0.305875	0.00114209	0.159654	0.437581	0.0821077	0.00467505	0.00301597	0.00594893
e	0.0240962	0.00420075	0.185138	0.0300499	0.46195	0.137027	0.0539598	0.103577
b	0.00390871	0.00331875	0.0120002	0.0154249	0.44236	0.376346	0.108864	0.0377773
v	0.00247002	0.000502914	0.00181209	0.00232927	0.0494879	0.854163	0.0765501	0.0126844
u	0.000267127	3.68511e-05	0.000562951	0.00265169	0.0732624	0.866479	0.0469068	0.0098334
l	0.0045182	6.64334e-05	0.00649423	0.00396382	0.30869	0.444368	0.129225	0.102674
ú	0.00874434	5.2876e-05	0.00852295	0.00550987	0.164615	0.261985	0.230982	0.319588
y	0.000726352	0.0001621	0.00153068	0.00126138	0.0896004	0.193091	0.258648	0.45498
á	0.00506063	0.000425703	0.0037279	0.00312383	0.0432938	0.0618109	0.544454	0.338104
p	0.00812546	0.000439745	0.00746186	0.00125874	0.0254711	0.0592335	0.499088	0.398922
i	0.000808618	4.44583e-05	0.000723566	9.40376e-05	0.00702623	0.0398762	0.569249	0.382178
b	0.00024542	2.36759e-05	0.000334579	0.0003666	0.00883825	0.0519277	0.32493	0.613334
h	6.82288e-05	6.21959e-06	0.000147625	0.000825682	0.0112454	0.173262	0.461882	0.352562
y	5.69518e-05	1.39855e-05	0.000165654	0.0013772	0.0117332	0.112935	0.77942	0.0942979
ω	0.00320626	5.88265e-05	0.000154369	0.000331508	0.0119049	0.0180316	0.927917	0.0383956
r	8.18013e-05	1.49784e-05	0.000134594	0.000307994	0.006232	0.0196018	0.387664	0.585963
ω	0.00248487	0.000258984	0.00155848	0.00218808	0.0145883	0.0132867	0.495398	0.470236
r	0.00831283	0.000110545	0.000915329	0.000387232	0.00789721	0.00784188	0.221131	0.753404
ω	0.00441292	0.000381789	0.00268857	0.00554068	0.0184513	0.00735416	0.3152	0.64597
</S>	0.0114362	0.000151044	0.00203877	0.000850084	0.00333063	0.00182722	0.075493	0.904873
