 	prends	le	cornet	pour	transvaser	le	vin	</S>
k	0.699543	0.16497	0.0689002	0.0122392	0.0180795	0.0339035	0.00220945	0.000155041
o	0.956996	0.0374031	0.00330601	0.000971082	0.000449079	0.000397082	0.000341383	0.00013647
b	0.454719	0.116222	0.0242413	0.0497444	0.0877998	0.216366	0.0245112	0.0263967
h	0.162184	0.536126	0.145878	0.0841742	0.0271882	0.0280903	0.00448395	0.0118756
á	0.0882533	0.33191	0.0584905	0.1509	0.12475	0.105615	0.00876721	0.131315
e	0.163409	0.74684	0.0454107	0.0188745	0.0066654	0.00759236	0.0020806	0.00912757
k	0.0554918	0.394789	0.45517	0.0456425	0.0157089	0.0069239	0.00815594	0.0181183
y	0.0213356	0.0114789	0.95861	0.00503719	0.00135796	0.000513769	0.0011114	0.000554909
ε	0.0682211	0.0932626	0.779481	0.0486785	0.00457923	0.00141044	0.00131383	0.0030535
l	0.0426986	0.0858045	0.614916	0.118183	0.0331241	0.0169885	0.00714819	0.0811374
i	0.0356876	0.166462	0.356638	0.256266	0.0684292	0.0233502	0.00262895	0.0905378
b	0.00994412	0.169421	0.179113	0.494689	0.0680801	0.0322856	0.00453349	0.0419333
a	0.00391395	0.184029	0.18557	0.441233	0.11267	0.037281	0.00504287	0.0302598
á	0.000754804	0.0534537	0.0434673	0.459843	0.142869	0.0817478	0.0656981	0.152166
n	0.00517015	0.0510568	0.0272664	0.258192	0.32963	0.158459	0.01519	0.155035
ω	0.000348096	0.0349711	0.00447401	0.346853	0.285059	0.16069	0.0654425	0.102163
ó	0.000334599	0.0179601	0.0280096	0.180791	0.513332	0.178306	0.0602341	0.0210319
k	0.00461922	0.0260467	0.0148087	0.228372	0.343107	0.272163	0.0412892	0.0695941
a	0.010303	0.0236042	0.26154	0.221153	0.331031	0.100534	0.0200323	0.0318024
s	0.00239844	0.0180878	0.0542549	0.17797	0.241096	0.0892659	0.0712846	0.345642
a	0.00142999	0.00709598	0.0275963	0.288427	0.370406	0.156402	0.0271165	0.121527
l	0.000225098	0.00564179	0.00202698	0.0716633	0.284888	0.490113	0.0710531	0.0743884
a	0.000913708	0.00836222	0.00830151	0.0634296	0.299198	0.18563	0.0641064	0.370058
a	7.68543e-05	0.00174192	0.00125923	0.0421096	0.183163	0.445876	0.241541	0.0842324
l	0.00116583	0.0127269	0.00790293	0.0448203	0.177468	0.318441	0.273665	0.16381
ω	0.000962965	0.029349	0.00254097	0.0327762	0.169967	0.391264	0.109463	0.263677
i	8.01086e-05	0.00217288	0.001947	0.0255932	0.196899	0.349791	0.341968	0.081549
s	0.000211712	0.0038515	0.00306152	0.044466	0.175522	0.369992	0.136152	0.266743
á	0.000351075	0.0127134	0.00223559	0.0691771	0.158878	0.392948	0.142524	0.221174
t	0.00297625	0.0106284	0.00303021	0.0426455	0.0475699	0.585002	0.261187	0.0469614
s	0.0073432	0.0077812	0.0156453	0.0433376	0.155208	0.45288	0.148321	0.169484
ó	0.000685604	0.00141571	0.0185441	0.036614	0.144106	0.386293	0.313387	0.0989554
o	0.00195697	0.00398849	0.0178376	0.0404715	0.178682	0.31745	0.159206	0.280407
y	0.000153364	0.00511653	0.00114317	0.0191127	0.0571497	0.192642	0.0634553	0.661227
é	0.00560793	0.0358807	0.0052551	0.0796447	0.163824	0.501556	0.139776	0.0684559
n	0.000650069	0.00494548	0.0017649	0.0166431	0.0708888	0.313108	0.137618	0.454381
έ	0.000225142	0.00685411	0.000567862	0.0275202	0.098025	0.253264	0.158685	0.454859
</S>	8.9849e-06	0.000278675	0.000171918	0.00340012	0.0558788	0.150451	0.0310871	0.758723
