 	il	confectionne	une	brosse	</S>
w	0.982502	0.00395747	0.0128678	0.00055553	0.000117108
a	0.948497	0.00572246	0.0388413	0.00588637	0.00105253
l	0.503242	0.129311	0.323114	0.0140824	0.0302502
á	0.185885	0.151183	0.13142	0.053074	0.478439
a	0.33404	0.0915505	0.275632	0.0918634	0.206914
b	0.0470203	0.864388	0.0531224	0.0136806	0.0217887
ω	0.034775	0.936526	0.0210607	0.00552805	0.00210979
n	0.0158326	0.912947	0.0209883	0.0311263	0.0191058
g	0.0866707	0.520303	0.276562	0.0191818	0.097283
ώ	0.302285	0.285093	0.235976	0.0651596	0.111487
e	0.0189979	0.0105197	0.840011	0.122056	0.00841547
w	0.00851938	0.0360452	0.0846348	0.849715	0.0210859
ώ	0.00745635	0.103686	0.0214178	0.853395	0.014045
m	0.00255295	0.0701235	0.0509774	0.839573	0.0367733
b	0.0104991	0.00879617	0.0469759	0.668179	0.26555
ω	0.0356241	0.0861281	0.0249329	0.701265	0.15205
</S>	0.0146598	0.00756753	0.121334	0.144906	0.711532
