 	son	père	a	besoin	de	lui	pour	aller	à	la	chasse	</S>
t	0.379595	0.605574	0.00622882	0.00186259	0.00441783	0.000863419	0.00123146	1.09214e-05	6.97995e-05	8.77711e-05	4.9996e-05	7.58205e-06
á	0.016603	0.980011	0.00119976	0.000806766	0.000534734	0.000199412	0.000245053	5.62487e-05	0.000107541	9.1524e-05	0.00012962	1.50743e-05
á	0.0127671	0.843945	0.022784	0.0510711	0.0113455	0.0155777	0.00887198	0.0146341	0.0082984	0.00382247	0.000918716	0.0059635
a	0.331291	0.210195	0.298228	0.0135509	0.0221468	0.0204833	0.0258504	0.00620285	0.0215222	0.0176891	0.00152958	0.0313111
d	0.0340634	0.0686666	0.748942	0.0527844	0.0118514	0.00980034	0.00863709	0.0143615	0.0218021	0.00845042	0.00214212	0.018499
í	0.0729581	0.00873567	0.458925	0.0809451	0.0223787	0.0175455	0.0123723	0.0437209	0.0518494	0.0200817	0.00137843	0.20911
l	0.126803	0.00617579	0.181874	0.120822	0.103564	0.0618485	0.0431026	0.0196507	0.0561161	0.0431316	0.00757018	0.229341
a	0.0527535	0.0347762	0.195881	0.158014	0.105629	0.0539238	0.0394496	0.0424518	0.0668522	0.029823	0.00305095	0.217394
i	0.156778	0.0250063	0.117669	0.374284	0.0955173	0.0416088	0.0293467	0.0420304	0.0256289	0.0124698	0.00625276	0.0734078
k	0.00392875	0.000802459	0.0839319	0.751133	0.0497216	0.0183344	0.0159304	0.036837	0.00989575	0.00192744	0.00642961	0.0211277
á	0.00158998	0.000271653	0.0558445	0.80588	0.039981	0.0108696	0.0117974	0.0192347	0.00892572	0.00176172	0.0251793	0.0186646
m	0.00098973	0.000947479	0.0319041	0.787672	0.0426427	0.016505	0.0163892	0.0121158	0.0165387	0.00571502	0.0128649	0.055715
b	0.00920418	0.000968297	0.0708125	0.539733	0.131626	0.0798368	0.033616	0.00884998	0.0237859	0.00793073	0.0116247	0.0820119
í	0.032744	0.00226119	0.0815095	0.372668	0.189579	0.0675393	0.0384632	0.0209824	0.0140936	0.00695885	0.00396691	0.169234
m	0.0277891	0.000310914	0.0512045	0.0688252	0.395063	0.189875	0.196263	0.00699314	0.0142693	0.00576441	0.00247025	0.0411726
ó	0.0562564	0.00247766	0.0425639	0.0641212	0.13574	0.295919	0.27212	0.0327227	0.036129	0.00760329	0.0049863	0.0493611
w	0.0886418	0.00877943	0.0199271	0.0303525	0.162443	0.141977	0.244208	0.183652	0.0317783	0.0143425	0.036586	0.0373124
a	0.0487893	0.0130598	0.0387112	0.0527295	0.135963	0.205169	0.230975	0.0713934	0.0726376	0.0538314	0.025295	0.0514464
m	0.00596795	0.000643519	0.00532764	0.0124095	0.111511	0.212103	0.439191	0.109387	0.0434055	0.0219345	0.00734329	0.030776
ó	0.00107486	0.000135974	0.00879472	0.01037	0.0576145	0.0786193	0.343974	0.0388891	0.124035	0.114326	0.010441	0.211726
i	0.00342531	0.000109907	0.0204392	0.0200249	0.0562375	0.057133	0.302251	0.29391	0.104535	0.0337568	0.0983433	0.00983417
d	0.000663077	8.82042e-05	0.0080121	0.027832	0.0109629	0.0177175	0.0969206	0.455396	0.198749	0.0275607	0.0718457	0.0842527
z	4.14343e-05	1.84768e-05	0.00377975	0.0342803	0.00514749	0.00800161	0.0491999	0.682469	0.107803	0.014196	0.0154707	0.0795922
w	0.000190057	0.00205601	0.00115783	0.0107519	0.00199355	0.00413654	0.0138942	0.911504	0.0326687	0.00323225	0.00140842	0.0170063
a	0.00719082	0.000372804	0.00227446	0.0138995	0.0176669	0.0410634	0.0768505	0.562132	0.13422	0.0387508	0.00729924	0.0982799
l	0.00118667	2.59704e-05	0.000856192	0.00570848	0.0171089	0.0361689	0.099703	0.16068	0.280696	0.0912468	0.0206686	0.28595
á	0.00107304	0.000264989	0.00575004	0.0243686	0.0121625	0.0255404	0.0337703	0.225362	0.273965	0.0856006	0.0328315	0.279311
o	0.00855169	0.000615414	0.011074	0.0062098	0.0192475	0.0226605	0.0408697	0.0594855	0.216923	0.248113	0.227346	0.138903
k	0.000561067	4.80461e-05	0.011472	0.0141073	0.00465036	0.00275519	0.00986991	0.09241	0.110505	0.0625567	0.64788	0.043184
i	8.96751e-06	1.08972e-05	0.0023064	0.0144788	0.00283213	0.00181617	0.0067265	0.0219051	0.0815726	0.0452831	0.771379	0.0516802
a	0.000120306	8.56278e-06	0.000621699	0.00385459	0.00449759	0.00613834	0.0151928	0.0572157	0.127824	0.0605805	0.56023	0.163716
</S>	0.00415665	1.89312e-05	0.00270645	0.00242266	0.0151338	0.0170033	0.0156239	0.00694211	0.105573	0.412703	0.163116	0.254601
