 	ils	ont	tenu	le	conseil	de	famille	toute	la	journée	</S>
b	0.970178	0.00808001	0.00104905	0.00186671	0.000544253	0.00229688	0.000961687	0.00162658	0.0036735	0.00931489	0.000408823
á	0.620581	0.209587	0.0152632	0.0956069	0.016382	0.0148496	0.00724152	0.00341822	0.00971126	0.00668274	0.000676636
a	0.884888	0.0881243	0.0143516	0.00631873	0.000699095	0.00115815	0.00118533	0.000492925	0.000798795	0.000236885	0.00174656
á	0.0640295	0.552237	0.20325	0.0451536	0.00725673	0.012317	0.0101266	0.00541647	0.00749442	0.000463183	0.092255
b	0.000542994	0.0952743	0.822974	0.0390581	0.0259313	0.00231464	0.00560123	0.00280802	0.00213904	0.00134813	0.00200821
h	0.0063783	0.0841158	0.658986	0.101788	0.0600342	0.0319469	0.0253363	0.00667875	0.00541374	0.000313134	0.0190092
ώ	0.00243088	0.0548542	0.871127	0.0373444	0.0200719	0.00297247	0.00593393	0.00227381	0.000675412	0.00031596	0.00200003
ώ	0.00832636	0.0405541	0.324093	0.127406	0.151292	0.0846805	0.101932	0.0443002	0.0187954	0.0256378	0.0729835
s	0.0577739	0.0581986	0.0646675	0.282606	0.21888	0.198839	0.0470464	0.0159404	0.0149302	0.0049378	0.0361798
i	0.000655187	0.00773943	0.30341	0.30917	0.220846	0.0741177	0.035704	0.0149024	0.0107009	0.00408606	0.018668
o	0.0759204	0.0342691	0.0281437	0.123475	0.141638	0.406039	0.131157	0.0178687	0.0112121	0.00225667	0.0280207
s	7.2249e-05	0.00110082	0.00653579	0.0280262	0.219652	0.107797	0.466771	0.0938416	0.0168712	0.0515482	0.00778453
á	9.96093e-05	0.00203292	0.0239243	0.066559	0.185057	0.122113	0.402911	0.0820895	0.0298165	0.0496486	0.0357487
m	0.000168676	0.000537669	0.00805566	0.0332785	0.0656482	0.158229	0.286953	0.0651183	0.0399941	0.0370917	0.304925
b	0.000531526	0.000796333	0.00362596	0.091065	0.063285	0.419824	0.279408	0.0466603	0.075573	0.0013125	0.0179182
e	0.000619602	0.00114633	0.00739183	0.105686	0.0428401	0.252516	0.25916	0.108796	0.0348194	0.00491188	0.182114
o	9.73939e-05	0.000829574	0.00317208	0.0207586	0.022393	0.205809	0.259273	0.289264	0.148298	0.00991601	0.04019
y	2.15204e-05	0.000457716	0.00153021	0.00737522	0.011367	0.0170793	0.11714	0.376728	0.219283	0.230267	0.0187518
í	0.000159329	0.00115301	0.00794711	0.0268306	0.0217874	0.0555978	0.119727	0.198478	0.315611	0.16435	0.0883587
í	4.58836e-05	0.000328395	0.00268974	0.00619108	0.00898971	0.0541879	0.156794	0.24597	0.222026	0.102692	0.200086
r	2.38472e-05	0.000244818	0.00124052	0.00271202	0.00264828	0.042261	0.0956785	0.295124	0.473597	0.0262369	0.0602329
á	7.88088e-05	0.000261719	0.00291489	0.0150558	0.0104454	0.0865126	0.0742018	0.168341	0.191893	0.0382338	0.412061
o	0.00082015	0.000257852	0.00139227	0.00477286	0.00395416	0.0176925	0.0258159	0.143766	0.300313	0.292425	0.20879
t	1.10477e-05	0.000260295	0.000557428	0.00220364	0.00207266	0.00189599	0.0114147	0.0432417	0.0856036	0.827571	0.0251679
s	5.76169e-06	0.0001275	0.0022792	0.00364035	0.00610889	0.00618859	0.0217742	0.0914618	0.0817256	0.736067	0.0506215
i	2.51244e-06	1.19811e-05	0.000877006	0.00110834	0.00143003	0.00502643	0.0103331	0.0680293	0.0336677	0.83132	0.0481931
i	4.99384e-05	2.86544e-05	0.000473189	0.000534169	0.000346295	0.00468078	0.0159527	0.0864425	0.115689	0.315472	0.460331
n	1.21399e-05	0.000215098	0.00137491	0.00404049	0.00251123	0.0100868	0.0162555	0.0592211	0.19588	0.0939907	0.616412
a	0.000687167	0.000651766	0.00344713	0.017772	0.0111528	0.0332262	0.031634	0.0496523	0.13877	0.104615	0.608391
</S>	4.36169e-05	4.9777e-05	0.000428969	0.00117464	0.00124256	0.00635745	0.00736683	0.0306897	0.115853	0.02341	0.813384
