 	nous	avons	bu	ce	vin	ensemble	</S>
b	0.853825	0.137203	0.00794384	0.000786671	0.000156415	6.37858e-05	2.10246e-05
í	0.914595	0.0727992	0.00441758	0.00492429	0.00115133	0.0013999	0.00071215
s	0.997136	0.00209274	0.000409084	6.90816e-05	3.60869e-05	0.000252685	4.42614e-06
í	0.883076	0.0459398	0.0431014	0.0126063	0.00155059	0.0104199	0.00330633
l	0.101403	0.580701	0.0839749	0.0314777	0.0186411	0.016163	0.16764
é	0.0124838	0.119376	0.262364	0.144216	0.134406	0.034751	0.292403
n	0.00273266	0.093004	0.877276	0.00909699	0.00995635	0.00136849	0.00656554
y	0.00169165	0.041379	0.934823	0.0110605	0.00692587	0.00101755	0.0031021
w	0.00324124	0.0345508	0.908776	0.0386945	0.0088043	0.000520264	0.00541321
é	0.00207034	0.0283867	0.942759	0.0186623	0.00233537	0.000410939	0.00537543
e	0.0322465	0.218897	0.349183	0.241165	0.0690639	0.0111742	0.0782705
a	0.00786712	0.0173102	0.00708466	0.838679	0.114413	0.00380611	0.0108399
l	0.00254208	0.0147324	0.00664334	0.476612	0.408881	0.0417605	0.0488279
ω	0.000158679	0.00312509	0.000991807	0.186685	0.743247	0.0105094	0.0552832
i	1.72187e-05	0.000908446	0.00155046	0.126269	0.718804	0.0795814	0.0728692
m	2.1995e-05	0.000548256	0.000617426	0.0595405	0.394834	0.310219	0.234219
έ	0.00343274	0.000460915	4.87643e-05	0.00811542	0.0153916	0.653375	0.319176
ε	3.02831e-05	6.59596e-05	7.40911e-06	0.0110695	0.0200655	0.806465	0.162296
e	1.54421e-05	0.000212982	0.000179227	0.00669682	0.0714158	0.660804	0.260675
m	1.12077e-05	0.000349588	0.000228941	0.013059	0.0580378	0.565367	0.362947
b	0.000227132	0.000724821	6.2057e-05	0.0118198	0.0247658	0.701466	0.260934
v	2.41542e-05	3.29019e-05	2.30649e-05	0.0012352	0.00447986	0.91323	0.0809747
a	0.000191482	0.000144405	4.50926e-05	0.00475131	0.00395401	0.862318	0.128595
a	0.00100062	0.000248613	2.78325e-05	0.00347982	0.0014807	0.0798626	0.9139
i	0.000129078	0.00194865	0.000827596	0.0909763	0.0500909	0.194058	0.66197
</S>	0.000149008	0.00149874	0.00097301	0.0490155	0.0569231	0.154824	0.736616
