 	les	militaires	ont	laissé	passer	la	voiture	du	chef	</S>
a	0.894846	0.0668075	0.0152637	0.00267221	0.00171231	0.010118	0.00422524	0.00288577	0.00144983	1.97058e-05
m	0.0209211	0.960495	0.00280661	0.00451831	0.00244203	0.000859017	0.00184852	0.000535963	0.00526085	0.00031228
b	0.0189782	0.935708	0.0083929	0.00342211	0.00835606	0.000421762	0.000601816	0.000262495	0.000156159	0.0237005
ω	0.00695707	0.984913	0.000553052	0.00032231	0.00410169	0.000401475	0.00134156	6.53598e-05	0.000281812	0.00106229
r	0.01935	0.962311	0.00644853	0.000205628	0.00604387	0.000455193	0.00113401	0.00015554	0.000833376	0.00306317
i	0.136327	0.636227	0.0138215	0.011382	0.0260469	0.0164982	0.0233105	0.00780354	0.0180108	0.110572
á	0.0249904	0.00399518	0.645321	0.306072	0.00712289	0.00223291	0.00109055	0.00174069	0.000118507	0.00731622
l	0.00340355	0.000583276	0.0486033	0.600805	0.277517	0.0333931	0.0210089	0.0025261	0.00364592	0.00851403
e	0.00149422	0.000280333	0.0171001	0.545188	0.388857	0.0197079	0.00601223	0.0031933	0.00232565	0.015841
s	0.0415439	0.00217678	0.0436489	0.168175	0.65782	0.0323541	0.0259063	0.00449223	0.00141245	0.0224697
i	0.0134488	0.000731347	0.0226472	0.117986	0.603419	0.0668693	0.145484	0.00838321	0.00592693	0.0151039
i	0.0397084	0.000802324	0.211825	0.334644	0.0920163	0.213128	0.0266862	0.032676	0.00180301	0.0467105
o	0.00395973	0.00129161	0.0223312	0.0339071	0.1174	0.526049	0.173062	0.0584858	0.016158	0.0473558
t	0.00306439	0.00296273	0.0014649	0.0032989	0.131544	0.148486	0.597065	0.0287287	0.0715134	0.0118725
ω	9.5228e-05	0.000194294	8.97644e-05	0.000455936	0.0292719	0.0349504	0.871243	0.00613027	0.0498648	0.00770443
m	1.8341e-05	0.000266245	0.000176326	0.000347441	0.0113863	0.0165063	0.929513	0.00430973	0.0303506	0.00712561
b	0.00058345	0.000654872	0.000499304	6.10061e-05	0.00372631	0.0436606	0.694456	0.132942	0.0234705	0.0999456
í	0.000378374	0.00220233	0.0006207	0.000630143	0.0680101	0.0232255	0.241878	0.0227877	0.019155	0.621112
l	0.00284341	0.00124976	0.00270242	0.00160444	0.00407853	0.135908	0.154667	0.264729	0.0336466	0.398571
i	0.00227246	0.0171365	0.00127552	0.00072058	0.0079446	0.136459	0.360903	0.176467	0.0843334	0.212489
m	0.00043837	9.1917e-05	0.00284788	0.00250868	0.00145475	0.0802103	0.00783338	0.751047	0.0334002	0.120168
ó	0.00712388	0.00112728	0.00271821	0.000127947	0.000544454	0.0291327	0.01257	0.328076	0.0299667	0.588613
k	0.00294291	0.000776707	0.00295275	0.000972147	0.00115165	0.0347578	0.0142944	0.289293	0.572911	0.079948
o	0.000374308	0.000332311	0.000236606	9.95614e-05	0.000765341	0.0164725	0.00634584	0.0393666	0.905354	0.0306527
n	0.000368067	0.000271976	0.000105949	0.000413707	0.00422241	0.0232187	0.090122	0.0244086	0.816749	0.04012
d	0.000691595	0.000320401	9.13257e-05	3.49582e-05	0.00477027	0.0040076	0.0483024	0.0205126	0.833539	0.0877296
z	0.00106308	0.000361272	0.000148677	0.000114965	0.00121521	0.00610955	0.0378894	0.0216892	0.849955	0.0814539
i	0.00263537	0.000401919	0.000118147	7.66175e-05	0.000780898	0.00818094	0.0623386	0.0327829	0.755691	0.136994
</S>	0.00450832	0.00040714	0.00280298	0.0018879	0.00122905	0.0160032	0.00301576	0.0901892	0.0978418	0.782115
