 	cette	belle	fille	s'	est	maquillée	</S>
e	0.379575	0.578325	0.018876	0.00914734	0.01175	0.00139759	0.000929419
s	0.483302	0.431746	0.0215659	0.00807901	0.0265546	0.0241804	0.0045722
w	0.315178	0.646816	0.025612	0.00286989	0.00336022	0.00258515	0.0035779
ε	0.625269	0.229957	0.123016	0.00746689	0.00422709	0.00333157	0.00673152
n	0.302309	0.465932	0.00770626	0.037129	0.0136766	0.0358157	0.137432
g	0.422218	0.299254	0.00348042	0.0613657	0.0218169	0.104506	0.0873598
ε	0.39889	0.447747	0.0178224	0.0365957	0.00613702	0.0441902	0.0486173
l	0.313685	0.224063	0.0266217	0.26962	0.112715	0.0114164	0.0418783
ε	0.30474	0.140097	0.014323	0.111526	0.0690169	0.0118309	0.348466
y	0.313692	0.111888	0.0458099	0.269505	0.0588971	0.0136821	0.186526
o	0.332409	0.19891	0.0841866	0.273387	0.0565914	0.012988	0.0415277
y	0.4517	0.148294	0.037278	0.255195	0.0375951	0.0111118	0.0588259
ú	0.35719	0.362311	0.0516511	0.130187	0.044484	0.0252385	0.0289388
r	0.0924567	0.0573879	0.0102468	0.300484	0.132588	0.0573751	0.349462
u	0.436675	0.347843	0.00409527	0.0888609	0.0520527	0.0340248	0.0364483
y	0.0192296	0.0358407	0.0135006	0.536078	0.342841	0.0132048	0.0393055
é	0.231605	0.176689	0.0682621	0.282698	0.149468	0.0484553	0.0428226
é	0.0435478	0.03777	0.00800711	0.331366	0.4228	0.0545394	0.10197
m	0.0176319	0.0157852	0.00314043	0.119453	0.626009	0.102946	0.115035
i	0.0074724	0.00490911	0.00319086	0.0986271	0.348211	0.188231	0.349358
k	0.0101968	0.0101635	0.00179326	0.0418765	0.261134	0.39862	0.276216
y	0.000793278	0.00275201	0.000206825	0.0149111	0.129386	0.492335	0.359615
έ	0.0112334	0.0129524	0.000782319	0.0451048	0.112779	0.711349	0.1058
m	0.00216298	0.00815929	0.000174568	0.0675927	0.139946	0.591947	0.190017
b	0.00119685	0.0016843	0.000210452	0.085001	0.076275	0.350408	0.485225
έ	0.00858255	0.0296269	0.00146135	0.180678	0.151094	0.384065	0.244493
o	0.0113589	0.00879535	0.00054253	0.0906189	0.180596	0.154797	0.553291
p	0.023898	0.0254968	0.00190765	0.0329216	0.150475	0.342492	0.422809
f	0.00585669	0.0187091	0.000712309	0.020941	0.136978	0.402812	0.413991
u	0.0684147	0.0728023	0.000960039	0.0242355	0.102593	0.374359	0.356636
a	0.0478023	0.0253272	0.000688138	0.0247228	0.076108	0.506645	0.318706
</S>	0.00995065	0.00640488	0.000312663	0.0465543	0.106352	0.0891332	0.741292
