 	nous	faisons	l'	élevage	des	cabris	</S>
b	0.848213	0.0767166	0.00735185	0.00988005	0.018074	0.0383574	0.00140707
í	0.882287	0.0181962	0.0112714	0.0311058	0.0165753	0.0403249	0.000238948
s	0.972277	0.00683029	0.00327532	0.00458512	0.00265868	0.00957236	0.000801
í	0.652022	0.0813868	0.0595533	0.0257634	0.0506788	0.106782	0.0238138
l	0.12861	0.17765	0.0610942	0.0424705	0.0505533	0.00405378	0.535568
é	0.0381668	0.217515	0.18994	0.0755318	0.0496431	0.00454806	0.424655
e	0.0724962	0.742242	0.117117	0.0114027	0.0277575	0.00888672	0.0200971
t	0.00440177	0.818468	0.11431	0.0243949	0.00831442	0.00403806	0.0260728
ú	0.0088125	0.819896	0.123765	0.0278793	0.00549154	0.00168215	0.0124734
á	0.00702997	0.681052	0.214527	0.0418506	0.0244906	0.000843649	0.0302064
i	0.065871	0.130934	0.478649	0.157535	0.13517	0.0127344	0.0191073
b	0.0150255	0.0516432	0.364219	0.47871	0.0529773	0.0160753	0.0213494
v	0.0328513	0.00227852	0.0753489	0.856613	0.02197	0.00747372	0.00346451
a	0.0108715	0.0022507	0.0601917	0.869995	0.0286403	0.0139856	0.0140648
b	0.0126362	0.00905572	0.177072	0.48833	0.22499	0.00680247	0.0811132
á	0.167634	0.00750065	0.144745	0.35727	0.184403	0.0065905	0.131858
a	0.107522	0.00380776	0.120469	0.176493	0.470277	0.0119853	0.109445
m	0.00278635	0.0114042	0.139699	0.347751	0.266771	0.142019	0.08957
b	0.00162084	0.000351599	0.00886363	0.00176161	0.0578773	0.922747	0.0067777
ó	2.11437e-05	6.45586e-05	0.00107247	0.00216596	0.00119005	0.992173	0.00331283
s	0.0002795	0.000282516	0.00640003	0.00938472	0.00634003	0.958741	0.0185726
i	0.000247468	0.00960286	0.0463458	0.0380392	0.0794126	0.612852	0.2135
</S>	0.00179066	0.00450195	0.0161524	0.0149431	0.116288	0.0848522	0.761471
