 	la	poursuite	des	oiseaux	est	difficile	</S>
o	0.507262	0.363773	0.0978233	0.022093	0.0067911	0.0013501	0.000907679
t	0.127558	0.809073	0.0175235	0.0162245	0.0136259	0.0101798	0.00581503
ú	0.0543406	0.815243	0.0228855	0.0446846	0.0146678	0.0354254	0.012753
ú	0.0958461	0.743965	0.02843	0.0144059	0.0303315	0.0262381	0.0607833
r	0.394511	0.248454	0.115332	0.00265875	0.0284601	0.00533498	0.205249
á	0.439479	0.287676	0.121671	0.00717731	0.00802699	0.0109901	0.124979
m	0.192503	0.146234	0.457059	0.13773	0.0297437	0.0133757	0.0233534
á	0.487161	0.0335513	0.164754	0.0269369	0.174433	0.0197195	0.0934436
n	0.19177	0.0572587	0.56632	0.0785593	0.0365588	0.045695	0.023838
y	0.0232907	0.00170813	0.123868	0.790729	0.00895729	0.0145915	0.0368554
ω	0.00414452	0.00230476	0.036834	0.903741	0.00532335	0.0332875	0.0143653
s	0.00228111	0.00166963	0.0101912	0.950122	0.00391737	0.018091	0.013728
í	0.016674	0.0183887	0.0719379	0.0778551	0.121188	0.083988	0.609968
ó	0.0269091	0.0106853	0.282432	0.0357903	0.385293	0.0937704	0.16512
d	0.011737	0.00660564	0.0155497	0.0255426	0.500369	0.352427	0.0877695
í	0.0041725	0.000546338	0.002682	0.000883496	0.148178	0.138996	0.704542
l	0.00924695	0.00215596	0.102412	0.00632564	0.229858	0.27543	0.374573
a	0.00414097	0.00208752	0.0138168	0.00622457	0.0960081	0.477081	0.400641
k	0.00513935	0.00212057	0.0416784	0.0302646	0.0583333	0.555969	0.306495
y	0.00282214	0.0355314	0.0112901	0.0123606	0.0512231	0.773377	0.113396
έ	0.00456287	0.0273498	0.0239292	0.0282017	0.0117638	0.814609	0.0895837
r	0.00115027	0.00518503	0.00908268	0.0328702	0.0245225	0.559112	0.368077
e	0.0035085	0.0124786	0.0682825	0.0746024	0.0490328	0.582984	0.209111
</S>	0.00351868	0.00261989	0.0143084	0.00208063	0.0697981	0.194276	0.713398
