 	l'	écolier	s'	est	trompé	dans	le	calcul	de	l'	argent	</S>
m	0.5256	0.423137	0.0282131	0.00452019	0.000568842	0.00310015	0.00498525	0.00620978	0.00237042	0.00103391	0.000227598	3.29774e-05
w	0.0712769	0.681902	0.18166	0.0271335	0.00775934	0.00301415	0.00380811	0.0119527	0.00332446	0.00204604	0.00195862	0.00416395
á	0.106548	0.737142	0.110493	0.00918341	0.00922314	0.00326643	0.0030412	0.00215006	0.000727537	0.000337412	0.0178625	2.6066e-05
n	0.668837	0.142795	0.0354053	0.00419458	0.00168224	0.00181165	0.00223503	0.00471489	0.00212582	0.0010301	0.116432	0.0187367
a	0.104733	0.527869	0.159749	0.0446034	0.00663023	0.00934102	0.00860385	0.00932225	0.0121059	0.00492576	0.0106385	0.101479
y	0.358841	0.366962	0.128103	0.0742174	0.00387475	0.0167979	0.0127494	0.00857482	0.0103642	0.0101116	0.000832455	0.00857103
a	0.350702	0.291124	0.144746	0.0773739	0.0247787	0.0265307	0.0205956	0.0076747	0.0182798	0.0221512	0.00202656	0.0140161
l	0.402121	0.393305	0.135957	0.0381123	0.0025382	0.00677625	0.00448504	0.00373191	0.00284944	0.00437748	0.00116565	0.00458155
ε	0.210911	0.489693	0.113863	0.0715714	0.016626	0.0318595	0.0145984	0.00575257	0.00878795	0.0108805	0.000912559	0.0245442
k	0.139245	0.131864	0.140714	0.131169	0.101873	0.0441633	0.0473758	0.0323636	0.0506236	0.0477267	0.00378391	0.129098
ώ	0.0766338	0.118471	0.324076	0.148545	0.16223	0.0247772	0.0203499	0.0328102	0.043315	0.00393476	0.00127331	0.0435836
ώ	0.0975198	0.0739536	0.179584	0.105644	0.041805	0.0593502	0.0968532	0.120222	0.087174	0.0501462	0.0270232	0.0607242
l	0.0240345	0.0457238	0.171623	0.393646	0.0428375	0.133327	0.0375546	0.0255394	0.0428598	0.018907	0.000410228	0.063537
i	0.0261358	0.0750991	0.195464	0.232607	0.0599612	0.0866376	0.0302683	0.0307928	0.0486269	0.0165992	0.0010045	0.196804
á	0.0592883	0.0567197	0.179652	0.275364	0.0334641	0.17527	0.0763134	0.0717207	0.0238394	0.0214639	0.00340107	0.0235034
m	0.00352297	0.00770616	0.0602798	0.317297	0.2413	0.245445	0.0584236	0.0208311	0.0189518	0.00801957	0.000327703	0.0178951
i	0.00139851	0.00139502	0.0385105	0.181131	0.327568	0.12156	0.0944729	0.166784	0.0436261	0.0121181	0.00204273	0.0093921
p	0.000538223	0.000262636	0.0038558	0.0343738	0.844945	0.0493983	0.0231089	0.0171102	0.0121364	0.00165631	0.000170315	0.0124439
é	0.000304254	0.000501225	0.00591358	0.0373919	0.760543	0.0397756	0.0371835	0.0518082	0.0320388	0.00145351	0.000181055	0.032905
s	0.00117485	0.00107796	0.0127842	0.10206	0.236727	0.198261	0.156635	0.123773	0.0830427	0.0107658	0.00300351	0.070695
í	0.00133344	0.000354316	0.00232427	0.0140263	0.048084	0.401554	0.286113	0.114426	0.0789729	0.0116299	0.00157844	0.0396033
n	0.00100261	0.00216197	0.0204216	0.0448902	0.00669194	0.170113	0.187789	0.429198	0.0951852	0.0235708	0.00446628	0.0145094
á	0.00491437	0.0139939	0.00935067	0.0116633	0.00188544	0.145536	0.265896	0.378897	0.0740533	0.031611	0.0193997	0.0427995
s	0.00060292	0.000786973	0.00385693	0.0121543	0.00251045	0.104231	0.17681	0.426068	0.163269	0.0908312	0.0062405	0.0126385
í	0.00582966	0.00142166	0.00408654	0.00961695	0.00906262	0.122893	0.137823	0.22104	0.223602	0.149253	0.0108822	0.104488
b	0.00890773	0.00111359	0.00303092	0.00533731	0.00067035	0.0309279	0.0842277	0.462485	0.143519	0.206513	0.0370667	0.0162004
a	0.00454618	0.0029246	0.00390037	0.00358116	0.00214266	0.0182142	0.0611364	0.438654	0.247727	0.12557	0.0616739	0.0299295
a	0.000201968	8.59861e-05	0.000493786	0.0010344	0.000802976	0.0188032	0.0484069	0.345082	0.232372	0.0990037	0.222366	0.0313461
l	0.000261185	0.000267366	0.00284702	0.00716229	0.000756062	0.0308385	0.0370788	0.0660276	0.305323	0.383046	0.0148563	0.151536
á	0.0015349	0.000446284	0.00208998	0.00451836	0.00326475	0.020833	0.0176007	0.0380102	0.103674	0.119563	0.0205296	0.667935
m	0.00681419	0.00381924	0.0111744	0.0177375	0.00125945	0.0290505	0.0263877	0.0779211	0.10176	0.457426	0.160499	0.106152
b	0.000624448	0.00134411	0.00581658	0.00703236	0.00557266	0.0136351	0.0314852	0.110288	0.0887919	0.256824	0.328625	0.14996
ώ	9.44459e-05	0.000126105	0.00060309	0.00049201	0.00411497	0.0027708	0.0146536	0.02932	0.0465206	0.0402644	0.82908	0.0319595
n	3.26839e-05	1.46169e-05	0.000112418	0.000276026	0.000973623	0.00135894	0.00906526	0.0182653	0.0258006	0.0135709	0.917322	0.0132079
g	0.00112008	0.00107582	0.000876515	0.000995172	0.00880403	0.0152656	0.0728438	0.13138	0.303629	0.170165	0.102291	0.191554
ω	0.000413914	0.000384574	0.000236184	0.000569943	0.00157306	0.013866	0.0797512	0.0923165	0.149251	0.165251	0.426128	0.0702594
</S>	0.000665843	0.000523387	0.00137922	0.00308771	0.000847541	0.0167286	0.0252151	0.035787	0.15663	0.16674	0.00847197	0.583924
