 	ngala	n'	est	plus	triste	</S>
n	0.508673	0.193215	0.0444801	0.147353	0.100244	0.00603566
g	0.999182	0.000361003	4.3176e-05	0.000152238	0.000243746	1.75645e-05
a	0.984877	0.00716358	0.00120412	0.000802529	0.00557354	0.000378844
l	0.544922	0.218119	0.0498756	0.025319	0.11617	0.045594
a	0.783322	0.0543091	0.0130235	0.0129047	0.046984	0.0894571
a	0.0991338	0.465262	0.204984	0.0832923	0.0399342	0.107393
d	0.0195977	0.387423	0.44188	0.032411	0.00486849	0.11382
í	0.00969585	0.488931	0.41805	0.0293871	0.00133051	0.052606
o	0.00377604	0.278998	0.365436	0.156403	0.0272483	0.168139
b	0.000155026	0.0917433	0.42928	0.287663	0.1525	0.038659
v	0.000153037	0.108036	0.589892	0.132677	0.0498508	0.119391
ú	0.00012774	0.13507	0.384674	0.262327	0.164819	0.0529822
r	0.00541818	0.0219977	0.090157	0.440212	0.348338	0.0938777
á	0.00393038	0.102335	0.14975	0.268016	0.307762	0.168207
o	0.00125796	0.0816754	0.0655421	0.227341	0.390203	0.233981
d	0.000542822	0.0498861	0.133167	0.281834	0.119761	0.414808
z	0.000272025	0.0185186	0.0802956	0.201858	0.0329935	0.666062
e	0.00281728	0.0507632	0.139482	0.117139	0.0268058	0.662992
e	0.0011897	0.0371523	0.0933446	0.113686	0.0469471	0.707681
m	2.28884e-05	0.0166438	0.0249599	0.047285	0.0457822	0.865306
á	0.000114961	0.0289149	0.0918505	0.143454	0.0309555	0.70471
l	0.00122835	0.00791373	0.0120038	0.090355	0.583118	0.305381
a	0.000156119	0.0119755	0.0276709	0.0473349	0.159496	0.753367
n	0.00103225	0.0196863	0.00907842	0.0939479	0.587254	0.289001
y	0.00453786	0.00389735	0.00222312	0.00910497	0.911455	0.0687814
i	0.0156577	0.00525446	0.00375604	0.0123125	0.881243	0.0817761
n	4.88815e-05	0.00328247	0.00537557	0.0245126	0.457237	0.509543
g	0.000123552	0.00528958	0.0163688	0.0243778	0.0440464	0.909794
a	5.51602e-05	0.00154421	0.0078287	0.0404796	0.148959	0.801133
k	0.000979294	0.0236947	0.027789	0.0781057	0.253404	0.616027
a	0.0006453	0.0101746	0.0615501	0.393263	0.140904	0.393463
á	0.000637418	0.0043028	0.00849214	0.0456805	0.138204	0.802684
</S>	0.000357184	0.0275241	0.0295853	0.0518774	0.0950727	0.795583
