 	tu	dis	des	bêtises	</S>
w	0.993891	0.00117312	0.00240557	0.00226603	0.000264694
a	0.969434	0.00601677	0.0172426	0.00602075	0.00128553
l	0.504836	0.362991	0.0695265	0.00511618	0.0575306
á	0.165061	0.0689167	0.106161	0.0234754	0.636385
a	0.403357	0.0971061	0.058941	0.0601047	0.380492
s	0.0118495	0.957204	0.0226257	0.00176839	0.00655258
ε	0.0030887	0.984696	0.00878237	0.000728193	0.00270523
r	0.0031194	0.926559	0.036194	0.00734867	0.026779
έ	0.0857565	0.643173	0.176885	0.0169244	0.0772616
o	0.187953	0.428679	0.331459	0.0385078	0.0134015
d	0.00963512	0.420509	0.415518	0.135225	0.0191132
í	0.000829265	0.628615	0.234299	0.0918731	0.0443842
b	0.0025499	0.235334	0.496899	0.126651	0.138565
h	0.0156485	0.0680008	0.519425	0.243791	0.153134
i	0.0023172	0.0454536	0.17334	0.337491	0.441398
l	0.000759022	0.0132508	0.131229	0.35368	0.501081
i	0.00176134	0.0248979	0.0872027	0.476225	0.409913
</S>	0.00173508	0.012479	0.0970557	0.57198	0.31675
