 	la	maladie	de	ma	femme	me	dépasse	</S>
i	0.389582	0.515298	0.07483	0.00952172	0.00825354	0.00142342	0.000657635	0.000433665
k	0.0366773	0.94802	0.00491948	0.000188317	0.00288423	0.00043376	0.00552512	0.00135162
ω	0.00779466	0.976818	0.00727595	3.74736e-05	9.83478e-05	6.46392e-05	0.00708324	0.000827349
n	0.00840832	0.975986	0.0118488	0.000708938	0.000458204	0.00146615	0.000815024	0.000308198
í	0.204476	0.635073	0.0559667	0.0023586	0.00278014	0.00575027	0.00793996	0.085655
l	0.319989	0.106707	0.420318	0.0336636	0.0292867	0.0101346	0.00560577	0.0742957
á	0.130509	0.0216589	0.0873943	0.11571	0.0102265	0.0829883	0.0133992	0.538113
m	0.24463	0.00645852	0.117954	0.547346	0.0432854	0.0301004	0.00194538	0.00827997
w	0.020304	0.0007355	0.0222902	0.122896	0.777968	0.0490028	0.000336774	0.00646637
á	0.00425107	0.00136239	0.0328527	0.00821284	0.902965	0.0213906	0.00379224	0.0251733
s	0.206586	0.0425647	0.0651519	0.168951	0.480288	0.0251037	0.00166756	0.00968687
í	0.084287	0.0112388	0.06789	0.384067	0.289414	0.0549518	0.00391872	0.104233
í	0.0939145	0.0221761	0.135194	0.299793	0.11715	0.28334	0.0135858	0.034848
m	0.0226357	0.00401178	0.0781237	0.0881597	0.0681409	0.33669	0.29069	0.111548
i	0.010669	0.000648943	0.0319562	0.0953221	0.248108	0.234585	0.127716	0.250995
b	0.00773845	0.00709012	0.011479	0.0170312	0.0629192	0.107965	0.567345	0.218431
h	0.000602295	0.00253757	0.00303636	0.00238404	0.0111713	0.011312	0.905083	0.0638736
a	0.000791603	0.00315022	0.00211817	0.00057073	0.0103962	0.00286395	0.907353	0.0727558
n	0.00138005	0.00100726	0.00679799	0.00201382	0.0144612	0.0106013	0.766386	0.197352
g	0.00681003	0.0163865	0.0150609	0.0152444	0.00288713	0.0255837	0.641474	0.276553
á	0.0329921	0.0819203	0.146742	0.0450052	0.00922016	0.0612492	0.230475	0.392396
l	0.00793088	0.00417453	0.0279954	0.0393107	0.00617509	0.257766	0.300246	0.356402
a	0.00738599	0.00316463	0.0289189	0.0458876	0.00500096	0.33395	0.143128	0.432564
n	0.0216885	0.0105582	0.032825	0.116157	0.0196068	0.312996	0.223967	0.262201
g	0.00295028	0.000606648	0.00310142	0.247564	0.0017589	0.70341	0.00893421	0.0316744
á	0.00115068	0.00137396	0.00555219	0.0720087	0.00388635	0.81094	0.018086	0.087002
</S>	0.0041946	0.00255375	0.0135605	0.0139877	0.00624245	0.140037	0.22926	0.590164
