 	la	mère	l'	a	frappé	parce	qu'	il	abîme	ses	vêtements	</S>
n	0.776458	0.0791687	0.00981775	0.0172674	0.0847146	0.0124303	0.00804081	0.00694427	0.00100757	0.00343602	0.000597123	0.000117397
g	0.0872414	0.90861	0.00311775	0.000368332	2.69463e-05	0.000222571	9.35493e-05	9.02649e-05	0.000160079	4.6222e-05	1.96694e-05	3.52542e-06
ó	0.0224058	0.970543	0.00323927	0.000638924	0.000166577	0.000414816	0.000344407	0.000391885	0.0012498	5.13049e-05	0.000520926	3.33881e-05
o	0.0184666	0.979256	0.00131613	0.000190678	9.7382e-05	0.000137632	8.89562e-05	6.77253e-05	0.000265112	1.6729e-05	8.53331e-05	1.13614e-05
á	0.163255	0.00945986	0.25254	0.29959	0.124956	0.107952	0.0261984	0.00553659	0.00108544	0.00448217	0.00071409	0.00422986
b	0.0561857	0.085965	0.201448	0.306325	0.213783	0.0214402	0.028101	0.0134641	0.023716	0.00777019	0.0247479	0.0170537
έ	0.00268153	0.00238243	0.116738	0.21862	0.216141	0.0674081	0.177961	0.0976183	0.0261314	0.0148299	0.03823	0.0212582
r	0.071208	0.00224699	0.21174	0.178831	0.061354	0.0971498	0.186632	0.121427	0.0166421	0.0136267	0.0100718	0.0290716
i	0.0113063	0.000479025	0.0611579	0.139418	0.198421	0.192092	0.20455	0.0861868	0.0288555	0.0514485	0.00521576	0.0208685
w	0.00462514	0.00126092	0.0571225	0.0503144	0.0252404	0.366745	0.242489	0.194834	0.0255248	0.014265	0.00258575	0.0149938
a	0.0446337	0.0006673	0.0435889	0.0645273	0.0178828	0.414879	0.17221	0.151702	0.0257117	0.0321757	0.00662851	0.0253935
t	0.00646143	8.64862e-05	0.0369284	0.0357456	0.0309233	0.314848	0.293989	0.23022	0.00850571	0.0170507	0.00348005	0.0217618
s	0.00266175	0.000290056	0.0165935	0.0395038	0.105406	0.219671	0.341354	0.144971	0.077403	0.022759	0.00952644	0.0198598
i	0.000579912	2.59954e-05	0.00718906	0.0285603	0.0962517	0.123385	0.253158	0.154784	0.271846	0.0217256	0.0137147	0.0287798
n	0.00185713	0.000111093	0.0165776	0.0328604	0.0258062	0.217626	0.176863	0.207881	0.0978162	0.00648951	0.0199307	0.196181
a	0.00111165	4.1374e-05	0.0132481	0.0138545	0.00133898	0.0817902	0.20168	0.389492	0.186733	0.0200412	0.0175869	0.073082
w	0.0121106	5.18644e-05	0.0128249	0.0176415	0.0035452	0.0894213	0.181931	0.377734	0.116706	0.121708	0.0204008	0.0459254
a	0.00477488	9.64575e-05	0.00568684	0.0223021	0.0229239	0.211815	0.283464	0.150638	0.0689933	0.119854	0.0194935	0.0899575
l	0.00181483	5.87237e-05	0.00216597	0.0035311	0.006624	0.0743244	0.0738319	0.111749	0.0976696	0.559909	0.0186906	0.0496304
á	0.000753716	0.000554452	0.0253846	0.0183898	0.00294647	0.0271058	0.0424864	0.119843	0.0585671	0.166131	0.0826941	0.455143
a	0.00104848	0.00095602	0.0133597	0.00914206	0.00219766	0.0180384	0.0406492	0.142027	0.205992	0.341186	0.168459	0.0569445
s	0.000137756	0.000176709	0.014784	0.00790105	0.00549648	0.00238088	0.00853248	0.0250473	0.342993	0.0824338	0.49417	0.0159465
u	1.80916e-05	1.58877e-05	0.00185624	0.000775942	0.000234995	0.000172909	0.00170819	0.0117118	0.671492	0.0122974	0.292952	0.00676533
m	0.000154674	0.000312036	0.000773089	0.000556149	5.76419e-05	0.000843523	0.00654593	0.0265566	0.877603	0.0236894	0.0436005	0.0193073
b	0.0068627	1.46858e-05	0.00156596	0.00298354	0.000679291	0.00867907	0.0196313	0.0247721	0.627972	0.107734	0.03431	0.164796
ú	0.00457922	1.04393e-06	0.00594106	0.00734015	0.00378528	0.0409532	0.0732756	0.140331	0.170054	0.0415898	0.0495588	0.462591
s	0.00219612	2.3327e-05	0.00138279	0.00147035	0.000579094	0.00292932	0.00794343	0.0126011	0.0774463	0.265647	0.300543	0.327238
á	0.000242468	1.83112e-06	0.00100785	0.00228019	0.00027327	0.00291045	0.00878791	0.0195699	0.099847	0.143706	0.384929	0.336444
i	0.00064214	6.18659e-05	0.00225593	0.00284933	0.000524271	0.00852309	0.00378857	0.00451172	0.0377555	0.288113	0.581462	0.0695121
k	7.3332e-05	4.26653e-05	0.00340894	0.00266973	0.00257614	0.00193945	0.00484885	0.0117212	0.0283567	0.0521734	0.696312	0.195878
á	2.62467e-05	1.01808e-05	0.00205983	0.00468965	0.0527841	0.00140944	0.00533767	0.0074257	0.0272542	0.0661722	0.678328	0.154503
n	0.00137109	1.09407e-05	0.00268175	0.00845398	0.0731657	0.00391747	0.0078162	0.00897279	0.0766245	0.0889254	0.594881	0.13318
d	0.000265512	4.92619e-06	0.000545843	0.00164762	0.00827046	0.00150659	0.00463982	0.00563224	0.063281	0.0426837	0.511306	0.360216
á	0.00313598	4.31474e-05	0.011883	0.0140867	0.0118318	0.0229531	0.0188979	0.0291781	0.0347806	0.0899567	0.383776	0.379477
</S>	0.0178237	5.47181e-05	0.007947	0.0106716	0.0102034	0.0125737	0.0292545	0.0338795	0.0431991	0.115661	0.233237	0.485495
