 	le	fait	d'	assurer	l'	intermédiaire	entre	deux	amants	est	une	mauvaise	tâche	</S>
o	0.543257	0.357215	0.0428852	0.0123082	0.0179191	0.00172248	0.0165928	0.00306069	0.000439712	0.00105956	0.000721326	0.00254599	0.000182391	9.00551e-05
t	0.0519583	0.215973	0.0705325	0.576942	0.0265021	0.0214258	0.0058763	0.00683585	0.0102775	0.00347375	0.00387846	0.000866093	0.0032633	0.00219497
s	0.00263257	0.0228219	0.00442292	0.946804	0.00379779	0.00711655	0.00630598	0.00217044	0.00202385	0.000348345	0.00057168	1.76528e-05	0.000485883	0.000480161
w	0.0347622	0.0980123	0.0434805	0.769992	0.0248635	0.0139603	0.00977711	0.00166631	0.00101727	0.000112356	0.00126705	0.000531316	0.000210669	0.000346816
ω	0.0820776	0.141574	0.164819	0.450265	0.0749335	0.0219737	0.0192886	0.00602079	0.00144295	0.00278132	0.0060709	0.00103888	0.00110928	0.0266043
ω	0.0770155	0.0376816	0.219268	0.179882	0.33925	0.0290719	0.0270618	0.00596359	0.00195196	0.00486857	0.00495917	0.0122073	0.0143042	0.0465146
n	0.00806624	0.0061925	0.141017	0.0188562	0.436068	0.213382	0.117381	0.0246129	0.00794684	0.00585235	0.0040243	0.00869727	0.00120211	0.00670099
y	0.00350029	0.00296962	0.0304861	0.0132984	0.186909	0.592873	0.0653371	0.0422938	0.0450151	0.00478358	0.00530304	0.00119039	0.00031844	0.00572149
i	0.000713195	0.000756378	0.015024	0.0514094	0.170172	0.593904	0.121629	0.0215866	0.0156613	0.00123853	0.00465691	0.000190367	9.10254e-05	0.00296768
ó	0.000435151	0.000532063	0.0352404	0.0507704	0.217689	0.424561	0.134749	0.0441477	0.0454894	0.00591471	0.00900883	0.004649	0.00352386	0.0232901
d	0.000874115	0.00046795	0.00632642	0.0060199	0.0585239	0.381557	0.0956142	0.232754	0.106241	0.0366886	0.0298416	0.0172552	0.00745179	0.0203845
í	8.66716e-05	5.76761e-05	0.000318342	0.000917062	0.0099917	0.371516	0.0283963	0.267073	0.166212	0.0273003	0.0148362	0.00165229	0.00553211	0.106111
i	0.000504255	8.60115e-05	0.00293323	0.00109112	0.0182831	0.0612396	0.0360683	0.191068	0.263574	0.137796	0.072879	0.0941661	0.0429708	0.0773405
s	0.000995116	0.00100331	0.00233218	0.00951558	0.0115256	0.119701	0.140624	0.289005	0.140074	0.0378797	0.0858027	0.0331575	0.0735411	0.054843
á	0.000406668	0.000243355	0.00205937	0.00919315	0.00726448	0.132713	0.0497872	0.181155	0.333084	0.0526971	0.0812346	0.0265379	0.0387006	0.0849238
l	0.000981813	0.000149354	0.00238033	0.0018083	0.00689954	0.0226094	0.0537803	0.177921	0.139664	0.0702098	0.140934	0.027968	0.0875457	0.267148
a	0.000877113	0.000659589	0.00185136	0.00308436	0.0138407	0.0609443	0.131631	0.204775	0.201778	0.0373529	0.161068	0.0580299	0.0356248	0.0884836
i	0.000195627	6.75349e-05	0.00114846	0.0013229	0.00694896	0.0177981	0.0350295	0.126433	0.139851	0.108923	0.0865646	0.174093	0.0627916	0.238834
b	0.000769259	0.000481609	0.00177404	0.0107567	0.00543324	0.0263011	0.0195991	0.0916249	0.0896395	0.107138	0.185906	0.168438	0.18093	0.111209
é	0.00211741	0.00097935	0.0019384	0.000209136	0.00175736	0.00133109	0.00692731	0.00879533	0.0022643	0.00972787	0.016613	0.0925983	0.849561	0.00518002
</S>	4.48361e-05	1.86109e-05	9.94018e-05	6.51489e-05	0.00013913	0.000497941	0.00190481	0.00351048	0.00146274	0.00658137	0.0182397	0.0328689	0.789616	0.144951
