 	la	mère	a	gardé	le	manioc	dans	le	panier	de	pêche	</S>
n	0.890385	0.0799076	0.0211534	0.000426137	0.00278309	0.00137231	0.00109055	0.000843374	0.00108917	0.000789895	0.000126461	3.27835e-05
g	0.265342	0.729996	0.00438433	3.01978e-05	9.39122e-05	2.18461e-06	1.88151e-05	1.55933e-05	5.41768e-05	5.65936e-05	2.1955e-06	4.09585e-06
ó	0.0499766	0.933487	0.0113768	0.00151251	0.00163618	5.77219e-05	0.000144576	0.000332428	0.00126168	0.00014677	5.67388e-05	1.05185e-05
o	0.0962475	0.856847	0.00927121	0.0280873	0.00276284	0.000682067	0.000196023	0.000536837	0.00288203	0.000783696	0.00104263	0.000660856
á	0.0635425	0.0843258	0.643657	0.11748	0.0380251	0.00534251	0.0119656	0.0038258	0.00294719	0.0124591	0.00032267	0.0161071
b	0.00343989	0.0166148	0.0542556	0.855794	0.0284218	0.0218692	0.00414443	0.00374272	0.00253388	0.00164101	0.00175551	0.00578755
ó	0.00194742	0.000120777	0.00328663	0.953997	0.0126551	0.0154136	0.00543515	0.00259028	0.00083221	0.000775173	0.000353242	0.00259352
m	0.00473825	0.00168366	0.0113761	0.923014	0.025622	0.00792875	0.00824543	0.00587784	0.00573975	0.00128515	0.00060778	0.00388121
b	0.105561	0.00446362	0.0564278	0.3291	0.148369	0.00887466	0.192996	0.0696139	0.0347303	0.0303748	0.000902006	0.0185861
i	0.00891288	0.000395626	0.031756	0.178973	0.173211	0.154329	0.191923	0.101964	0.039656	0.027934	0.0063861	0.0845592
e	0.0197841	0.00785217	0.112782	0.00307179	0.359479	0.103266	0.266763	0.0552286	0.0211013	0.0306085	0.00328864	0.0167745
k	0.000758113	0.000351803	0.00515847	0.0114791	0.214267	0.358052	0.107027	0.147911	0.0850256	0.0123121	0.0452644	0.0123936
ώ	6.8688e-05	3.15504e-06	0.000274107	0.00219274	0.0307431	0.881666	0.00794066	0.0228376	0.0133438	0.000414072	0.0382141	0.00230152
ώ	0.00013211	7.06158e-05	0.00127626	0.000812943	0.140674	0.586935	0.0405516	0.08018	0.0966055	0.00803349	0.0279276	0.0168013
s	0.0015632	2.63933e-05	0.00279692	0.000224038	0.0631238	0.0193101	0.469634	0.167204	0.0934498	0.166575	0.0058737	0.0102196
á	0.00122227	3.42244e-05	0.000656158	0.00101017	0.0201667	0.0103829	0.156796	0.265608	0.206026	0.125995	0.0394211	0.172683
l	0.013883	0.00181966	0.00597362	0.000380536	0.00960779	0.00165167	0.138489	0.261548	0.195995	0.240451	0.10043	0.0297696
e	0.0046356	0.000101928	0.00285689	0.00165231	0.0149553	0.00426809	0.121385	0.249304	0.232237	0.147421	0.10856	0.112624
n	0.000234243	6.19933e-06	0.000646313	0.000339628	0.00676919	0.00528226	0.060926	0.186219	0.226227	0.115971	0.326463	0.0709158
g	0.000432324	5.81252e-05	0.000358857	0.00157531	0.00933543	0.000746684	0.0397447	0.143366	0.495384	0.165874	0.0372264	0.105898
ó	0.000219026	0.00113628	0.000689145	0.000741152	0.00664811	0.00186532	0.0094116	0.0784287	0.556155	0.118603	0.149024	0.0770782
l	0.000115376	0.000127505	9.63392e-05	0.00158747	0.00592857	0.00152286	0.0148372	0.0628779	0.2487	0.0956131	0.287994	0.2806
ó	0.000253128	1.78326e-05	2.95295e-05	0.00039436	0.002942	0.00257256	0.0124643	0.0668942	0.241768	0.0710015	0.256798	0.344864
</S>	0.000287586	1.50499e-05	0.000146034	0.000579417	0.00270183	0.00261174	0.010489	0.0292117	0.0991277	0.106173	0.503527	0.24513
