 	il	est	arrivé	au	village	</S>
w	0.801416	0.179778	0.0133821	0.00361888	0.00156219	0.000243254
a	0.850971	0.123312	0.00560444	0.0193023	0.000497897	0.000312181
á	0.154318	0.609969	0.18402	0.0455124	0.000767937	0.00541317
m	0.0387971	0.399187	0.447673	0.0861007	0.00438284	0.0238594
i	0.0160795	0.127606	0.331371	0.357432	0.00786257	0.159649
p	0.00686077	0.0572114	0.620098	0.264916	0.013219	0.0376957
f	0.00576683	0.0748346	0.630898	0.0945108	0.145834	0.048156
á	0.00430376	0.0653658	0.602885	0.173368	0.124416	0.0296615
p	0.035464	0.0685925	0.0809944	0.343006	0.449505	0.0224378
o	0.00195492	0.017513	0.10616	0.0406491	0.789989	0.043734
o	0.000228409	0.00377968	0.0195837	0.00364023	0.96663	0.00613804
</S>	0.00485207	0.0193463	0.0540774	0.144381	0.24809	0.529253
