 	la	bière	est	â	point	</S>
a	0.62589	0.350323	0.0214007	0.00223631	0.00010793	4.23402e-05
l	0.0329286	0.89983	0.0554231	0.00675322	0.00340065	0.00166445
ω	0.022875	0.865678	0.0440065	0.0188208	0.00143767	0.0471816
i	0.0328172	0.875816	0.0542609	0.0108103	0.0018884	0.0244075
á	0.189671	0.0172594	0.724247	0.0160905	0.00625769	0.0464745
b	0.021092	0.0134538	0.788066	0.100115	0.0158288	0.0614447
h	0.0229275	0.105921	0.131878	0.672099	0.0270343	0.0401392
i	0.0144872	0.0110846	0.118185	0.799181	0.0190892	0.0379722
m	0.040618	0.00348795	0.261141	0.534123	0.0420999	0.11853
á	0.0623211	0.00362065	0.196546	0.47246	0.00879753	0.256254
m	0.0476757	0.0037102	0.262632	0.350471	0.168292	0.167218
b	0.0128479	0.00145534	0.133656	0.380173	0.0231204	0.448747
v	0.000835954	0.00251943	0.00945226	0.868204	0.0445596	0.0744285
a	0.00210799	0.00129927	0.0071244	0.66161	0.0108355	0.317023
l	0.0016995	0.000250751	0.0161642	0.323006	0.0538391	0.605041
a	0.0155229	0.00129407	0.05306	0.30237	0.0374128	0.59034
ω	0.00792836	0.00179933	0.163573	0.0986442	0.137167	0.590888
n	0.00361204	0.00387179	0.119031	0.097211	0.512597	0.263678
y	0.0612098	0.0565104	0.0546613	0.0743606	0.0301739	0.723084
w	0.153441	0.023304	0.03916	0.0526017	0.0225278	0.708965
á	0.0697096	0.00213415	0.0740313	0.115249	0.00924057	0.729635
a	0.00127956	3.442e-05	0.0119993	0.0256786	0.00805412	0.952954
</S>	0.0123024	0.000902534	0.083134	0.0600194	0.0293765	0.814265
