 	la	manière	dont	il	est	toujours	présent	là	où	on	cuisine	exprime	sa	avidité	</S>
e	0.662177	0.223528	0.0157976	0.0245937	0.0112988	0.0111474	0.00767188	0.00457777	0.00613258	0.0112321	0.0107424	0.00539904	0.00211849	0.000225169	0.00335806
k	0.00130277	0.000945504	0.000807693	0.00767485	0.0710751	0.122413	0.210097	0.0569546	0.0894974	0.160605	0.209174	0.0070823	0.0462801	0.010957	0.00513364
y	0.00477352	0.000318712	0.0028216	0.0126227	0.0848361	0.103507	0.212801	0.0397205	0.0546665	0.104596	0.335446	0.0146639	0.0080602	0.0153395	0.00582659
έ	0.000231936	0.000229676	0.007797	0.00122706	0.0106794	0.0449849	0.421255	0.0853121	0.0463372	0.0580186	0.285461	0.0112432	0.0149634	0.00613423	0.00612515
l	0.0227521	0.0231385	0.089253	0.025998	0.0400495	0.0945246	0.161823	0.147168	0.144373	0.109516	0.0724488	0.0125584	0.0339791	0.00360462	0.0188141
í	0.0192695	0.0108476	0.0120572	0.0343092	0.0401714	0.0611904	0.0511335	0.0384711	0.153379	0.169156	0.0879372	0.0154392	0.0658727	0.00809763	0.232669
í	0.0265897	0.0113887	0.0187645	0.0830436	0.146314	0.27394	0.0871918	0.0908339	0.0588046	0.0591704	0.0235887	0.0452174	0.0478033	0.00520945	0.0221396
l	0.0270461	0.00894389	0.0290638	0.0359767	0.065572	0.173651	0.333334	0.0965389	0.0350002	0.034088	0.0519138	0.0125328	0.0223522	0.0120273	0.0619592
í	0.0369754	0.0233864	0.0583635	0.105915	0.115908	0.11158	0.128416	0.0437236	0.049986	0.0230847	0.00293601	0.0238661	0.0270948	0.00805806	0.240707
y	0.0351036	0.0644482	0.365317	0.132273	0.110502	0.0704302	0.0726218	0.0346631	0.0165849	0.0133408	0.00395389	0.0337486	0.0260222	0.00379803	0.0171918
é	0.0196072	0.0265393	0.230964	0.0777988	0.0956919	0.0411652	0.129009	0.0425031	0.0260394	0.0172254	0.0105848	0.0387873	0.0270518	0.109772	0.107261
é	0.0232745	0.0330903	0.208947	0.200836	0.117295	0.0668559	0.0878316	0.0517846	0.022947	0.017303	0.0114609	0.030615	0.0188954	0.0162253	0.0926385
k	0.00106333	0.00059716	0.00222513	0.015575	0.0856072	0.125548	0.559829	0.0790661	0.0317587	0.0195561	0.0119724	0.0130285	0.0111223	0.00738949	0.035662
y	0.000288609	3.48408e-05	0.000449287	0.000881101	0.0042261	0.0248286	0.861467	0.0432988	0.0117688	0.0112257	0.0338579	0.00130247	0.000764649	0.000702014	0.00490407
