 	saupoudre	ce	repas	d'	un	peu	de	piment	</S>
m	0.608504	0.14844	0.028339	0.0610963	0.0587542	0.0659895	0.0234667	0.00174689	0.00366359
w	0.696166	0.0304615	0.0315826	0.0597737	0.0297567	0.0257067	0.0375754	0.0064281	0.0825497
a	0.971514	0.00643395	0.00584078	0.00403969	0.00519392	0.00198151	0.00139508	0.00281069	0.000790112
n	0.693197	0.0787921	0.0120475	0.0192814	0.0152503	0.00774037	0.00562861	0.00808703	0.159976
y	0.566717	0.234799	0.00498078	0.0162011	0.0106405	0.0043702	0.00759198	0.00834469	0.146354
á	0.549544	0.330421	0.00338864	0.0121654	0.0109623	0.00549291	0.00313696	0.00568063	0.079208
á	0.0414793	0.540893	0.252309	0.0490915	0.0201986	0.0345615	0.0278883	0.00284059	0.0307384
b	0.0295283	0.3778	0.106278	0.180519	0.0664283	0.0365006	0.0944349	0.0451196	0.06339
e	0.0413042	0.0366889	0.120824	0.181254	0.276376	0.174327	0.0873642	0.0241267	0.057734
á	0.0474606	0.0591467	0.398774	0.125586	0.120682	0.1057	0.0609926	0.0219122	0.0597462
n	0.00158611	0.0234782	0.0499892	0.21857	0.150583	0.103823	0.277511	0.0966841	0.0777748
d	0.00311103	0.027987	0.00737908	0.141487	0.0831835	0.0315281	0.233339	0.357996	0.113989
ó	0.00207939	0.0124613	0.00504348	0.0768929	0.0899228	0.0248801	0.0722582	0.66844	0.0480221
n	0.00334096	0.0205242	0.00312909	0.0700629	0.0960557	0.0179286	0.0555327	0.678533	0.0548925
g	0.00995211	0.0186935	0.00452926	0.112438	0.154555	0.0663799	0.0618854	0.470082	0.101485
ó	0.0115456	0.021405	0.00685054	0.0232466	0.0338072	0.0178317	0.0216588	0.839442	0.0242129
s	0.00274992	0.0546295	0.0225018	0.134957	0.136441	0.136945	0.125434	0.201179	0.185163
á	0.00382512	0.0259014	0.0163351	0.0979991	0.118264	0.173109	0.109996	0.129316	0.325255
b	0.000485283	0.0112055	0.0238308	0.0833656	0.0606974	0.137114	0.424328	0.14336	0.115613
e	0.00279415	0.0149557	0.169374	0.140399	0.0815502	0.135419	0.390446	0.0467587	0.0183043
a	0.00201231	0.00383959	0.0559588	0.0620121	0.0817933	0.225129	0.215314	0.11605	0.237891
b	0.000514603	0.00899963	0.00816728	0.0493216	0.0386937	0.104765	0.25441	0.0967019	0.438427
í	0.00776812	0.0381853	0.0502145	0.129233	0.0941505	0.187901	0.314535	0.0281522	0.149861
i	0.000433585	0.00591334	0.0195387	0.0378238	0.0309447	0.0849287	0.303467	0.0616285	0.455322
</S>	0.00704152	0.00329478	0.00164086	0.0288319	0.048718	0.0499785	0.0942142	0.144477	0.621804
