 	fais	lui	sentir	les	odeurs	du	plat	que	tu	as	préparé	</S>
m	0.833128	0.0820643	0.00820976	0.0447692	0.0085173	0.0167622	0.000818719	0.00131687	0.00162937	0.00247927	0.000182576	0.000122082
ó	0.050655	0.324294	0.327078	0.124881	0.0123533	0.0143611	0.00411434	0.00749379	0.0137299	0.053293	0.0064675	0.0612789
b	0.57607	0.161115	0.119117	0.049542	0.028006	0.0200634	0.0277014	0.00529513	0.00113893	0.000807446	0.00458056	0.00656308
ó	0.152402	0.161738	0.102284	0.153925	0.0178731	0.0599805	0.212657	0.0597008	0.00784412	0.0136934	0.0274614	0.0304396
n	0.213129	0.201628	0.131584	0.159136	0.0304265	0.0475729	0.0587883	0.0233961	0.00333513	0.00623661	0.0154887	0.10928
d	0.266974	0.26501	0.137722	0.0702955	0.0193291	0.0306038	0.0498602	0.01653	0.0101014	0.0149865	0.00969151	0.108897
í	0.0616372	0.260909	0.539144	0.0189415	0.00497362	0.00831746	0.0390267	0.0180978	0.00730979	0.00373094	0.00625569	0.0316562
s	0.0514089	0.291472	0.143607	0.384222	0.0110087	0.0416942	0.00818869	0.0245177	0.011791	0.0153871	0.00329782	0.0134049
á	0.0264376	0.280452	0.204044	0.196372	0.0227341	0.0835982	0.0259343	0.0578139	0.0198268	0.018475	0.00844996	0.0558614
w	0.0207902	0.108574	0.190037	0.178341	0.137156	0.0716704	0.0634018	0.0811396	0.0605769	0.0448748	0.0290397	0.0143988
á	0.039182	0.148238	0.279254	0.0643477	0.0188482	0.0844972	0.142539	0.10544	0.0325843	0.0225	0.0172397	0.0453307
a	0.0148541	0.205677	0.0712059	0.193493	0.0593548	0.0636599	0.0368938	0.0855775	0.0359206	0.0325907	0.0138926	0.18688
f	0.0108403	0.0217368	0.0685849	0.424417	0.299212	0.0780235	0.0303651	0.0162813	0.00696492	0.00771451	0.0101865	0.0256727
ú	0.0242076	0.0309788	0.0719783	0.115471	0.412723	0.0871446	0.143951	0.0290433	0.00171124	0.00143133	0.0143607	0.0669987
s	0.000822094	0.0022648	0.00839303	0.0351458	0.899949	0.0370385	0.00531046	0.000635359	4.20603e-05	3.20624e-05	0.00066023	0.00970647
u	0.0128616	0.00872691	0.0261896	0.0326563	0.775052	0.0947344	0.016369	0.00850924	0.00149323	0.00125457	0.00274991	0.0194038
m	0.000434076	0.00700021	0.017587	0.164341	0.155678	0.556903	0.0422994	0.0431501	0.00349125	0.00159081	0.00174438	0.00578031
é	0.000340411	0.00825757	0.0335668	0.0507979	0.0381044	0.504406	0.191439	0.117281	0.00690321	0.00733237	0.0038386	0.0377322
l	0.00472452	0.0155998	0.0230702	0.108163	0.0853313	0.254662	0.323594	0.102509	0.0149775	0.00611469	0.0355593	0.0256945
á	0.00362184	0.00968432	0.0131659	0.053527	0.0133041	0.0766974	0.174035	0.139846	0.0669081	0.0406021	0.105682	0.302926
m	0.00122732	0.00576224	0.0106571	0.0433846	0.021763	0.12441	0.321268	0.248844	0.0373972	0.040524	0.099966	0.0447965
b	0.000412746	0.01122	0.00755784	0.0472516	0.0291689	0.387905	0.314594	0.117271	0.00685562	0.00612357	0.0129922	0.0586473
o	0.000180018	0.00399566	0.0199353	0.0307298	0.0392233	0.180074	0.542536	0.0884989	0.00389003	0.00300479	0.0125532	0.075379
y	0.000810115	0.00377126	0.0196061	0.0180276	0.0736514	0.108673	0.505216	0.0632731	0.00172171	0.00137839	0.0409129	0.162958
é	0.000715967	0.00393441	0.0176194	0.0137979	0.0255219	0.227729	0.412812	0.144782	0.0187763	0.00448593	0.0663733	0.0634518
é	0.000274235	0.00132214	0.0021467	0.00815609	0.00254454	0.0453468	0.0319826	0.248845	0.157834	0.175359	0.129744	0.196446
k	0.00464027	0.0101303	0.00615247	0.0304515	0.0152527	0.0194308	0.0158785	0.0560926	0.069085	0.119746	0.513632	0.139507
y	0.00314737	0.00250124	0.00363357	0.0191999	0.0588384	0.01825	0.0662876	0.0711489	0.0206721	0.0192928	0.325557	0.391471
é	0.00301639	0.00346299	0.00500117	0.00964361	0.174485	0.0312161	0.0535312	0.132723	0.0350489	0.0269824	0.226313	0.298576
n	0.000338573	0.00107525	0.00106631	0.00539132	0.0176968	0.00811978	0.00924483	0.137967	0.0835432	0.0760783	0.190246	0.469233
ω	0.00062634	0.00175817	0.0104252	0.00201221	0.0020646	0.00457173	0.0174012	0.0655529	0.212671	0.239235	0.27563	0.168052
</S>	7.68754e-05	0.000611056	0.00133907	0.00393679	0.000548018	0.0239537	0.0228734	0.101836	0.0726343	0.178522	0.131942	0.461726
