 	les	champignons	poussent	d'	eux-mêmes	</S>
a	0.726804	0.265036	0.00207398	0.00498083	0.00103791	6.74322e-05
k	0.0868455	0.838647	0.0709917	0.00131359	0.00092972	0.00127294
o	0.00752881	0.516792	0.47215	0.00057314	0.00180409	0.00115229
m	0.00735374	0.788605	0.193522	0.00406129	0.000446387	0.00601176
b	0.257233	0.361726	0.310694	0.0358787	0.00330908	0.0311585
o	0.316165	0.371096	0.244448	0.0263967	0.00606121	0.0358331
m	0.395494	0.154827	0.245441	0.152297	0.00808678	0.0438556
á	0.734165	0.035355	0.0874499	0.0955392	0.020466	0.0270249
a	0.707068	0.033552	0.0482119	0.10493	0.0689822	0.0372561
t	0.125116	0.0270465	0.157933	0.404101	0.0806872	0.205116
ω	0.00807899	0.0151441	0.842941	0.0458224	0.0257795	0.0622343
ώ	0.0117147	0.117168	0.572203	0.202108	0.023669	0.0731373
m	0.0601852	0.00383255	0.00231893	0.611005	0.189241	0.133418
á	0.0280965	0.00427937	0.00464241	0.0998601	0.684009	0.179113
a	0.0181406	0.00261246	0.000944835	0.0577594	0.856712	0.0638305
m	0.0115869	0.00696835	0.00562454	0.0711777	0.70749	0.197153
έ	0.00809047	0.00866213	0.00172582	0.0263586	0.824491	0.130672
n	0.0024352	0.00298406	0.00383235	0.135675	0.370557	0.484517
έ	0.0201681	0.0108896	0.00286394	0.121575	0.396519	0.447985
</S>	0.0204773	0.00205806	0.000947345	0.157005	0.0865974	0.732914
