 	l'	autre	commerce	concerne	les	poulets	et	un	autre	les	manioc	</S>
o	0.548172	0.310384	0.0632419	0.0306557	0.0101906	0.00113127	0.0206466	0.00400309	0.00334929	0.0076473	0.00038481	0.000193763
m	0.0805468	0.225235	0.60085	0.00653601	0.00807771	0.0168053	0.00563434	0.00864338	0.00926794	0.0144106	0.0162564	0.00773627
b	0.0447931	0.160188	0.753842	0.0283432	0.00142613	0.00106149	0.000220713	0.00132195	0.00119434	0.000532545	3.54894e-05	0.00704089
ó	0.00793416	0.0197152	0.934128	0.0178611	0.00239808	0.00124701	0.000788583	0.00450886	0.00462848	0.00155215	0.00019056	0.00504732
n	0.105046	0.0501704	0.796639	0.0251573	0.00246486	0.00169803	0.000313849	0.00401851	0.0029691	0.00118889	6.526e-05	0.0102694
g	0.140681	0.115772	0.692587	0.00773287	0.00428367	0.00808003	0.00110255	0.00586258	0.00269091	0.00148925	0.00105255	0.0186652
o	0.202796	0.182209	0.600477	0.00617762	0.00115516	0.00194793	0.00057715	0.00107716	0.00106928	0.000499794	0.000209706	0.00180473
m	0.215807	0.211425	0.0836769	0.348148	0.0705131	0.00976852	0.0198315	0.0107638	0.0103512	0.006973	0.000566302	0.0121759
u	0.569096	0.205081	0.0491011	0.104019	0.0379086	0.00465462	0.0079375	0.00598117	0.00366944	0.00404149	0.000308722	0.00820218
n	0.344806	0.253504	0.0352533	0.283466	0.0538637	0.00150544	0.00341139	0.00752131	0.00360889	0.00440476	0.000622166	0.00803326
á	0.0355501	0.74867	0.153081	0.0219716	0.00545652	0.00185032	0.0016602	0.00666577	0.0107726	0.00314787	0.00044862	0.0107257
m	0.10044	0.125917	0.0211553	0.336199	0.225811	0.0861599	0.0197958	0.0233317	0.0167429	0.017041	0.00363641	0.0237699
á	0.0986054	0.22865	0.120068	0.43369	0.0544822	0.0132583	0.0054924	0.0191343	0.007528	0.00434448	8.19951e-05	0.0146647
a	0.132851	0.0957724	0.00562239	0.362674	0.249321	0.0550249	0.0278741	0.0312916	0.0130939	0.0101755	0.00265479	0.0136443
t	0.0194432	0.00417154	0.000425378	0.244674	0.414563	0.186714	0.0441861	0.0285123	0.0209002	0.0106532	0.00464609	0.0211107
s	0.00491768	0.00367964	0.000503989	0.0615154	0.528309	0.249412	0.0581332	0.0435582	0.0213388	0.00710358	0.00810183	0.0134264
ó	0.00266897	0.000741864	0.000330047	0.0473241	0.261076	0.483336	0.102655	0.047278	0.0230293	0.0089124	0.00778289	0.0148655
s	0.00892443	0.0155447	0.00162332	0.0596836	0.134196	0.486678	0.146257	0.037606	0.0454488	0.0225181	0.0125977	0.0289219
ó	0.00772945	0.0150489	0.00207119	0.0392987	0.107196	0.533545	0.0737366	0.082169	0.0632273	0.0185415	0.0163048	0.0411315
o	0.00385808	0.00399147	0.00254353	0.0952037	0.0885987	0.0998622	0.366322	0.154202	0.102236	0.0374128	0.0103584	0.0354116
s	0.00472743	0.00208886	0.000448328	0.0265167	0.119466	0.297563	0.202105	0.158436	0.1337	0.0237545	0.0256856	0.00550878
ú	0.00285711	0.00975761	0.00086742	0.00863799	0.0834829	0.357548	0.0433013	0.141295	0.310117	0.0135904	0.00710224	0.0214429
s	0.00135505	0.00344453	0.000200107	0.0132031	0.0616291	0.143075	0.0614382	0.219622	0.455841	0.0154668	0.00173913	0.0229856
u	0.00184828	0.022917	9.70747e-05	0.0110276	0.111566	0.162295	0.0733541	0.277517	0.234171	0.0505679	0.0170587	0.0375793
m	0.000818225	0.00136537	9.63926e-06	0.00359845	0.017078	0.0112449	0.120445	0.246235	0.37118	0.178836	0.0139601	0.0352294
á	0.0111958	0.0221981	0.00209966	0.0280206	0.0778743	0.0281284	0.103436	0.204934	0.110263	0.122211	0.0489248	0.240715
i	0.00206002	0.0021934	0.00126372	0.00677955	0.00907694	0.00545568	0.069086	0.137856	0.148508	0.255816	0.301367	0.0605368
k	0.000788379	0.00015785	4.37267e-05	0.002962	0.00637706	0.0053652	0.0204503	0.10112	0.116538	0.194909	0.449552	0.101737
ώ	7.23265e-05	2.65655e-05	6.48217e-05	0.000232177	0.00265297	0.0111416	0.0108238	0.0154467	0.0122023	0.0133136	0.91845	0.0155735
ώ	8.97024e-05	0.000122351	0.000245292	0.000221098	0.00162531	0.0136241	0.0217818	0.0191081	0.00953516	0.0260298	0.860511	0.0471066
</S>	0.000713504	0.000832539	5.51727e-05	0.00121123	0.00356337	0.00125929	0.02557	0.069034	0.114393	0.35325	0.215371	0.214747
