 	l'	aigle	plane	</S>
m	0.769927	0.228612	0.00132066	0.000140667
b	0.117137	0.756784	0.0044986	0.121581
e	0.21305	0.777683	0.00827623	0.00099108
m	0.151523	0.776914	0.00932926	0.0622341
b	0.377575	0.251218	0.0174281	0.353779
e	0.309301	0.614815	0.0123983	0.063486
l	0.330621	0.298273	0.195541	0.175565
á	0.175346	0.0524205	0.0991171	0.673116
a	0.671532	0.158261	0.0892703	0.080937
p	0.0244176	0.120515	0.645268	0.209798
ε	0.000935089	0.00350919	0.887158	0.108398
b	0.213631	0.154831	0.267906	0.363632
h	0.367338	0.166898	0.212977	0.252787
ε	0.0244729	0.016856	0.657987	0.300684
</S>	0.0156462	0.0173388	0.0481762	0.918839
