 	mon	oncle	m'	avait	appris	à	déchirer	la	liane	elo	</S>
n	0.725792	0.186729	0.0365115	0.0268801	0.0119682	0.00561114	0.00133297	0.00398742	0.00103043	0.000110812	4.69909e-05
g	0.418075	0.537731	0.0417283	0.000606712	0.00121451	0.000251935	1.96661e-05	0.00011825	0.000242643	3.06624e-06	8.80192e-06
ó	0.199164	0.773745	0.024593	0.00108981	0.000779966	0.000297756	5.42968e-05	4.93059e-05	0.0001711	4.61752e-05	9.67338e-06
l	0.0460034	0.901226	0.0474027	0.00182522	0.000657669	0.000373629	6.23821e-05	0.000104605	0.00180695	0.000193875	0.000343607
ó	0.15222	0.679143	0.0561327	0.0449116	0.0383558	0.00911463	0.0063738	0.00477202	0.00219918	0.000962994	0.00581417
m	0.0710397	0.538042	0.153719	0.14306	0.0545877	0.0133801	0.0045455	0.00724386	0.00267946	0.00224024	0.00946243
i	0.736916	0.130653	0.0186621	0.0657288	0.0165475	0.0138751	0.00144688	0.00504993	0.00283757	0.00288834	0.00539513
á	0.310394	0.0322714	0.152125	0.366117	0.0485034	0.029773	0.00255433	0.00946116	0.00237984	0.00235872	0.0440618
y	0.0253528	0.0306226	0.0331665	0.385915	0.354715	0.0884424	0.0161578	0.013736	0.00542782	0.0104025	0.0360617
é	0.52256	0.0175491	0.0822227	0.167707	0.158071	0.0115876	0.00536622	0.00292675	0.0115467	0.00335654	0.0171068
s	0.372222	0.00461222	0.0623472	0.179652	0.208738	0.0436278	0.0391504	0.0202467	0.00833904	0.00694416	0.0541197
á	0.348486	0.00423953	0.0818649	0.233184	0.273313	0.0159819	0.00885051	0.00774567	0.00680783	0.00303376	0.016493
á	0.299215	0.00598931	0.295783	0.276156	0.0610813	0.0166388	0.00544557	0.00596684	0.00628956	0.00482685	0.0226073
n	0.0299748	0.00148368	0.412981	0.235052	0.203065	0.0973502	0.00418045	0.00411954	0.00484002	0.000979289	0.00597424
g	0.0583303	0.00189156	0.76865	0.0490918	0.0472572	0.0213682	0.00111743	0.00691228	0.0161247	0.000773291	0.0284831
á	0.222888	0.0673757	0.534498	0.0509798	0.0338827	0.01664	0.00352872	0.00411968	0.0544843	0.00267046	0.00893256
i	0.00431458	0.000420007	0.0922133	0.159154	0.179176	0.328016	0.0935471	0.0602546	0.0323121	0.0233491	0.0272436
p	0.00037599	0.000302017	0.00861553	0.0323129	0.101332	0.222625	0.554816	0.0289998	0.00913846	0.0315586	0.00992389
a	8.97306e-06	1.83865e-05	0.000923715	0.00845211	0.0179304	0.0316499	0.895462	0.0180439	0.00275102	0.022474	0.00228556
s	4.79864e-05	2.78589e-05	0.00238289	0.0119206	0.0488257	0.0640021	0.816686	0.0349723	0.00416594	0.00682227	0.0101465
a	0.000919935	3.19914e-05	0.00649924	0.013165	0.052178	0.0762984	0.733993	0.065447	0.0157159	0.0118561	0.023895
a	0.000674326	0.000116023	0.041416	0.0466234	0.127023	0.168305	0.209781	0.144293	0.107951	0.084403	0.0694141
l	0.000801077	0.000127701	0.0201072	0.0233328	0.103172	0.187986	0.098643	0.231684	0.081032	0.115031	0.138083
é	0.000578655	5.54259e-05	0.00970754	0.0136058	0.0662717	0.0735459	0.0837475	0.133181	0.0488847	0.289777	0.280645
l	0.000185778	4.19141e-05	0.00929413	0.00461403	0.0117951	0.0209965	0.0442445	0.0905735	0.120695	0.618897	0.0786622
ώ	0.000390984	2.92047e-05	0.00583369	0.00437394	0.00944452	0.0108206	0.0532882	0.08791	0.0286551	0.703587	0.0956667
ω	3.81246e-05	3.80438e-06	0.000711502	0.000582628	0.00279787	0.00250145	0.00237782	0.0111147	0.0307115	0.92634	0.0228212
</S>	0.00123619	4.19153e-05	0.00293167	0.00234155	0.00677858	0.0162856	0.0149183	0.222923	0.168226	0.394076	0.170241
