 	le	safoutier	que	j'	ai	planté	a	poussé	</S>
o	0.946755	0.0340899	0.00992331	0.00581185	0.00300728	7.24912e-05	0.000192885	9.46161e-05	5.28155e-05
s	0.0335266	0.945905	0.00117824	0.000609052	0.00138732	0.0100178	0.00248152	0.00424977	0.000644887
á	0.210089	0.763104	0.00301367	0.00127435	0.000477846	0.0205186	0.000638453	0.000612794	0.000271368
á	0.116075	0.748878	0.0042772	0.00696315	0.0029299	0.1029	0.00381301	0.00226049	0.0119043
b	0.253343	0.0937499	0.283198	0.151963	0.0658379	0.0283844	0.0311789	0.00176968	0.0905756
ó	0.21593	0.0162123	0.50271	0.0436251	0.0655918	0.00992147	0.0218333	0.00672187	0.117454
ó	0.0961296	0.0118228	0.594331	0.171342	0.0656615	0.0104209	0.01095	0.00168221	0.0376594
s	0.00442004	0.00395258	0.147663	0.0294492	0.0636325	0.60415	0.0913168	0.0279666	0.0274487
i	0.00250581	0.00515305	0.0133269	0.011415	0.0205698	0.886184	0.0154586	0.00358385	0.0418024
í	0.0222338	0.00438541	0.0385021	0.0119367	0.00931821	0.832665	0.00662469	0.00611169	0.0682226
n	0.00628572	0.000399388	0.175013	0.402987	0.340453	0.028847	0.0378935	0.00333277	0.00478862
g	0.012104	0.000154064	0.0202475	0.654012	0.289415	0.0151269	0.0026683	0.000116629	0.00615607
á	0.00809684	0.000749357	0.014709	0.586871	0.351211	0.0269287	0.00698755	0.000355866	0.00409062
ó	0.0181099	0.000185743	0.442584	0.254277	0.208051	0.00648402	0.0391276	0.0156072	0.0155734
n	0.00233413	0.00323984	0.00388529	0.00110657	0.00969132	0.359958	0.265223	0.338203	0.0163589
a	0.002081	0.000660033	0.00286996	0.0960317	0.483497	0.193149	0.1612	0.0111288	0.0493829
m	0.0010162	0.000291595	0.077161	0.0358872	0.032844	0.125616	0.216904	0.134998	0.375282
i	0.0395539	0.000597501	0.0577399	0.00919429	0.0153746	0.0331189	0.0329214	0.0470348	0.764465
</S>	0.0107873	0.00012686	0.0539041	0.051198	0.0508507	0.0161421	0.0813156	0.0620476	0.673628
