 	il	bat	son	fils	</S>
w	0.990038	0.00395038	0.00540714	0.000519946	8.49658e-05
a	0.954678	0.00288098	0.0385897	0.00369297	0.000158237
l	0.515195	0.260244	0.1185	0.0221332	0.0839272
á	0.140321	0.0904277	0.0758512	0.140705	0.552695
a	0.311627	0.0716425	0.155326	0.162622	0.298782
b	0.019304	0.95724	0.00501743	0.00306879	0.0153695
έ	0.0472818	0.936423	0.00598219	0.00310796	0.00720481
r	0.00663408	0.786308	0.00958359	0.00478284	0.192691
έ	0.228157	0.462743	0.245288	0.00217911	0.061632
m	0.0322255	0.283797	0.625639	0.0207916	0.0375464
w	0.00271477	0.00407724	0.00878672	0.980761	0.00365975
á	0.0113717	0.0253974	0.00733666	0.954455	0.0014389
n	0.0124068	0.000955865	0.0308355	0.954181	0.00162057
a	0.0493144	0.0372723	0.0157057	0.848589	0.0491181
</S>	0.0554567	0.125948	0.63846	0.0565644	0.123571
