 	le	protoptère	que	nous	avons	mangé	hier	avait	la	chair	dure	</S>
n	0.373189	0.45644	0.113213	0.0219553	0.019477	0.00259817	0.000647692	0.00479363	0.00709271	0.000207427	0.000316609	7.00317e-05
y	0.338978	0.635968	0.014977	0.00418804	0.00433164	0.000507311	1.9135e-05	0.000304504	0.00062149	1.19506e-05	6.95917e-05	2.29324e-05
ω	0.0339924	0.90345	0.0161228	0.0096783	0.00650828	0.0121437	0.00279961	0.00509022	0.00759395	0.000533896	0.00158846	0.000497997
m	0.0297178	0.913919	0.0319533	0.00824391	0.00197215	0.000387416	0.000402469	0.00132946	0.00145612	0.00174374	0.000146089	0.00872893
b	0.207952	0.357551	0.221274	0.00143604	0.0158656	0.0119564	0.0240065	0.0244073	0.0134539	0.0129083	0.00548332	0.103706
ώ	0.114297	0.460995	0.275896	0.00330631	0.0039684	0.00213603	0.00222573	0.00906159	0.00726257	0.00740613	0.00732083	0.106124
y	0.165104	0.0324428	0.680086	0.0065114	0.0721957	0.0158392	0.00787445	0.00549572	0.00479521	0.00174368	0.000222875	0.00768918
e	0.387998	0.154491	0.284171	0.0146015	0.0438477	0.0697705	0.00698866	0.00686613	0.0130924	0.00272994	0.00110638	0.0143372
e	0.378174	0.0244327	0.404418	0.0488981	0.0634997	0.0462763	0.00611883	0.0036345	0.0110421	0.000958914	0.00140747	0.0111392
d	0.0105166	0.00534316	0.0144569	0.0292141	0.268532	0.334467	0.247672	0.0408543	0.00850603	0.0230593	0.00255355	0.0148249
z	0.00180763	7.60962e-05	0.00161097	0.00219716	0.0988314	0.805747	0.0492842	0.0132569	0.003682	0.012607	0.00120827	0.00969181
é	0.0257918	0.00118473	0.00470329	0.00433286	0.0716019	0.858623	0.0187866	0.00466777	0.00254202	0.00437047	0.0014972	0.00189855
b	0.00659597	0.000502854	0.0329258	0.06495	0.133104	0.433087	0.0562041	0.0709915	0.0293206	0.0204971	0.0107807	0.14104
í	0.0104152	0.00517203	0.0280471	0.634222	0.0735818	0.0581788	0.0387057	0.058154	0.0421455	0.00697357	0.0156417	0.0287628
s	0.00634912	0.00193196	0.0283733	0.853699	0.0263193	0.0103142	0.0121934	0.00926574	0.00733051	0.000957086	0.0109955	0.0322706
í	0.0130621	0.00515789	0.0408202	0.132048	0.197332	0.257533	0.044468	0.0946325	0.0631946	0.0164905	0.0298933	0.105368
l	0.00228637	0.00137643	0.0131025	0.147399	0.0722393	0.066596	0.214414	0.266168	0.0751044	0.0369641	0.0147597	0.0895912
a	0.00457722	0.00456588	0.0223117	0.058499	0.160802	0.0772565	0.0474787	0.26472	0.0791522	0.046203	0.00920275	0.225231
p	0.0175994	0.00312956	0.00765891	0.0214052	0.0393388	0.0511923	0.326221	0.208112	0.118898	0.107218	0.0293572	0.0698709
ó	0.000218232	0.000222567	0.000232683	0.00149124	0.00314101	0.00822462	0.927669	0.0276102	0.00983595	0.0179642	0.00175692	0.00163298
a	0.000202838	0.000320609	0.00127882	0.00112744	0.00330621	0.00773187	0.74902	0.100946	0.0800192	0.0354289	0.00222809	0.0183898
á	0.00169722	0.000763967	0.00970124	0.00571291	0.0103282	0.00317015	0.0103826	0.305732	0.480513	0.120401	0.0180304	0.0335674
d	0.00195773	0.000396904	0.00297549	0.00353089	0.0234734	0.0139116	0.00504484	0.0722544	0.102931	0.60273	0.134917	0.0358766
z	0.00124379	6.23259e-05	0.0008522	0.00158278	0.0101719	0.00806924	0.00208054	0.154013	0.0610627	0.367281	0.0482971	0.345283
e	0.00778219	0.000512251	0.00123385	0.000769524	0.0127651	0.0591618	0.0158732	0.0672961	0.220827	0.393761	0.130104	0.0899139
m	0.0070762	0.000362878	0.00210166	0.00647869	0.0102945	0.00985167	0.014003	0.127899	0.21591	0.204726	0.235293	0.166003
b	0.00384473	0.000470658	0.00178886	0.00115601	0.00425371	0.00377867	0.0026857	0.0439257	0.102373	0.134426	0.384572	0.316725
ó	0.000580917	0.0001391	0.000195635	0.000552293	0.000317359	0.000276424	0.000447817	0.0135034	0.024434	0.055619	0.65232	0.251614
m	0.000278159	9.30883e-05	0.000270015	0.00031962	0.00100919	0.000876844	0.00346703	0.0305572	0.0393184	0.0968209	0.489416	0.337574
b	0.00232868	0.000168885	0.000412358	0.000187972	0.00113412	0.00103288	0.000504752	0.013234	0.0198635	0.0699242	0.574989	0.31622
a	0.00423298	0.00193761	0.00287327	0.0027774	0.000686472	0.000187984	0.000180639	0.0100854	0.0194154	0.0168655	0.714516	0.226241
</S>	0.00155389	0.000623455	0.00189978	0.000459033	0.00120685	0.000756586	0.00618568	0.0216137	0.0620497	0.0471904	0.241316	0.615145
