 	pourquoi	tu	ne	fais	que	m'	accuser	</S>
n	0.768638	0.156049	0.0336489	0.019582	0.0134585	0.00686683	0.00115289	0.000602988
ω	0.501233	0.423388	0.0072333	0.00374264	0.00444604	0.0581212	0.00153194	0.000304476
l	0.431517	0.396706	0.0965013	0.0175276	0.0134146	0.0243203	0.0104564	0.00955629
ó	0.02113	0.036897	0.0463538	0.0351667	0.0284917	0.0347246	0.00919813	0.788038
o	0.300811	0.281394	0.15464	0.037848	0.0396564	0.0629446	0.00473013	0.117976
t	0.00423157	0.041872	0.792773	0.102141	0.0180183	0.00312094	0.021575	0.0162685
i	0.00675341	0.0191168	0.711413	0.156017	0.0309454	0.00294256	0.0220608	0.0507511
á	0.00521699	0.0309473	0.604641	0.223935	0.050348	0.00440514	0.0313515	0.0491555
k	0.0447874	0.131045	0.29938	0.316896	0.13267	0.0506136	0.00813841	0.0164705
á	0.0154031	0.0252405	0.155674	0.604326	0.102498	0.00839892	0.0478741	0.0405857
a	0.0316596	0.0496756	0.21512	0.459806	0.0706369	0.0109652	0.0190605	0.143077
m	0.00985739	0.0372347	0.133961	0.295759	0.376748	0.116687	0.00616597	0.0235865
í	0.0086921	0.014772	0.110708	0.0549523	0.431523	0.128915	0.0139719	0.236466
k	0.0207309	0.0303909	0.110957	0.178316	0.274465	0.190432	0.066698	0.12801
w	0.00130158	0.00118834	0.0292207	0.395627	0.164151	0.00981768	0.296739	0.101955
ε	0.00921297	0.00436098	0.0466136	0.398038	0.256016	0.0297864	0.149484	0.106489
r	0.00113133	0.00279225	0.0388287	0.195497	0.261879	0.0254655	0.264057	0.210349
ε	0.000804855	0.00151364	0.0229768	0.21005	0.146253	0.0312105	0.254384	0.332807
l	0.00311414	0.00799581	0.0245302	0.0487521	0.268241	0.456629	0.0550417	0.135696
á	0.0262574	0.0119292	0.0256078	0.0557807	0.120216	0.355103	0.0847115	0.320394
n	0.00708768	0.0198316	0.0229574	0.0253465	0.105809	0.714808	0.0456233	0.0585365
g	0.0390916	0.0245345	0.00315135	0.00662187	0.0226222	0.850739	0.0150868	0.0381524
á	0.00582018	0.0251775	0.00330517	0.0076882	0.0314009	0.67614	0.0487607	0.201708
t	0.00314019	0.00496449	0.0116206	0.0240815	0.129943	0.317272	0.089779	0.419199
s	0.00531103	0.0022654	0.0212222	0.0859369	0.122977	0.0937562	0.528032	0.1405
í	0.000157139	0.00027298	0.00588822	0.0371027	0.059729	0.0370164	0.496046	0.363787
n	0.00185914	0.00237039	0.007736	0.0244521	0.0666635	0.0966532	0.250937	0.549329
a	0.00103598	0.00167704	0.00395776	0.00888979	0.0189074	0.100981	0.156868	0.707683
n	0.00232651	0.00447084	0.00998952	0.020795	0.0870164	0.298705	0.0480643	0.528633
d	0.00764736	0.00923319	0.0052181	0.010146	0.0236447	0.268359	0.0933128	0.582439
e	0.00312498	0.00642082	0.00209253	0.00572109	0.00938875	0.21957	0.130047	0.623635
</S>	7.56655e-05	0.000494995	0.00174423	0.00719866	0.0166209	0.0498647	0.0558216	0.868179
