 	jette	ce	morceau	de	manioc	endurci	dans	la	poubelle	</S>
b	0.795229	0.0579625	0.0201931	0.0326103	0.0327042	0.00960585	0.0222872	0.0263981	0.00287851	0.000130788
v	0.795196	0.0593612	0.0293013	0.0791139	0.00651895	0.00834582	0.0127857	0.00892671	0.000354927	9.51305e-05
á	0.82578	0.0622274	0.0401361	0.00936306	0.00585072	0.0167323	0.032788	0.00335172	0.000276947	0.0034938
á	0.552228	0.0482792	0.028863	0.0185786	0.00628031	0.010342	0.00556187	0.001493	0.00052245	0.327851
p	0.188134	0.515899	0.0881394	0.0479513	0.0122578	0.0194113	0.035072	0.013872	0.00339028	0.0758729
a	0.078143	0.363175	0.246857	0.0805124	0.151923	0.0447362	0.00801878	0.00412355	0.00158407	0.0209269
a	0.0601577	0.482394	0.232542	0.0967729	0.0370008	0.028446	0.0179111	0.00409948	0.00232054	0.0383559
l	0.020224	0.306403	0.344549	0.198938	0.0360503	0.0314435	0.0306009	0.00772813	0.000591334	0.0234713
í	0.0156274	0.211456	0.218502	0.158056	0.0185058	0.0596991	0.0658587	0.0180153	0.00618484	0.228095
y	0.0413929	0.241403	0.275572	0.170245	0.0642176	0.0427736	0.0441844	0.0215105	0.00745003	0.0912505
e	0.00441709	0.270086	0.371463	0.0684714	0.0203532	0.0444231	0.0867202	0.0238524	0.0344654	0.075748
k	0.000736699	0.0918125	0.313446	0.217686	0.0301822	0.0545641	0.0687208	0.0383833	0.0430994	0.141369
ώ	0.000592553	0.0262817	0.126077	0.0413339	0.744587	0.0414109	0.00754476	0.00296776	0.000385041	0.00881966
ώ	0.00219921	0.0119306	0.0898227	0.0658688	0.735279	0.0551643	0.0143079	0.00704249	0.000928878	0.0174564
w	0.000313464	0.00891864	0.0336086	0.20674	0.0969694	0.373654	0.203161	0.0659177	0.00214873	0.00856852
ú	0.00369319	0.0133133	0.0356573	0.113892	0.0871415	0.411547	0.14473	0.109157	0.00689451	0.0739751
u	4.67376e-05	0.00173409	0.011368	0.125272	0.0291028	0.274897	0.287324	0.200354	0.0370162	0.0328853
s	8.54054e-05	0.00265468	0.0128375	0.0797709	0.0650757	0.191996	0.163428	0.229216	0.0558148	0.199122
á	1.38842e-05	0.00361007	0.00965126	0.01279	0.00140201	0.068905	0.293687	0.335206	0.198401	0.0763347
d	0.000191745	0.00101359	0.00316747	0.011329	0.00178112	0.0357242	0.0656942	0.16656	0.555909	0.158629
z	4.09557e-06	0.000140775	0.000271182	0.000274662	5.74939e-05	0.00150286	0.00968318	0.0101773	0.961739	0.0161492
a	2.22814e-06	0.000155731	0.000295908	0.000276601	6.0439e-05	0.00144183	0.00524423	0.00768784	0.973746	0.0110895
l	2.98566e-05	0.001747	0.00260473	0.00448859	0.00105841	0.0334976	0.061246	0.0721968	0.493488	0.329643
a	0.000160629	0.0052536	0.0122841	0.00719963	0.00141054	0.0271574	0.102088	0.146859	0.330114	0.367473
l	4.69036e-05	0.00326146	0.00447836	0.00662207	0.00283433	0.0149755	0.0558616	0.0880864	0.168587	0.655246
a	0.000732509	0.0116848	0.029386	0.0219733	0.0135365	0.0284371	0.0438828	0.0764497	0.217484	0.556434
</S>	0.000345409	0.00527913	0.00745766	0.027563	0.00309132	0.0201148	0.046181	0.171246	0.353352	0.365369
