 	les	jeunes	ont	refusé	d'	aller	enterrer	mademoiselle	angondo	parce	qu'	elle	prononçait	des	malédictions	à	leur	endroit	de	son	vivant	</S>
a	0.413871	0.554511	0.0201924	0.00279683	0.00482791	0.000425686	0.00205243	0.000639683	0.000100501	6.524e-05	3.12128e-05	0.000165328	8.93174e-05	4.44206e-05	1.20359e-05	6.65004e-05	5.3185e-05	1.84969e-05	7.95891e-06	7.54883e-06	1.72543e-05	3.19673e-06
p	0.0758423	0.8193	0.0589902	0.017574	0.0111523	0.0063082	0.002383	0.000870309	0.00096351	0.000560842	0.000390519	0.00192618	0.00061376	0.000370772	0.000422331	0.000354881	0.000294357	0.000169798	0.000378377	0.000517946	0.00036235	0.000253964
f	0.0263455	0.75495	0.0764304	0.0141491	0.0143647	0.020078	0.0452232	0.00861501	0.00243226	0.00583718	0.00449935	0.0034489	0.00284098	0.00190896	0.00965754	0.0027548	0.00130842	0.00128186	0.000843302	0.00048557	0.000297324	0.00224735
é	0.0699038	0.727604	0.0859663	0.0434472	0.0190843	0.0086905	0.0150041	0.0043696	0.00202415	0.00228926	0.0020042	0.00118044	0.00120182	0.000948034	0.00712333	0.00152903	0.000596461	0.00149731	0.0021072	0.00142817	0.000301349	0.00170001
é	0.182066	0.633592	0.106143	0.0148887	0.0116082	0.00226034	0.00653339	0.00273795	0.00335172	0.00254112	0.00187658	0.00210425	0.00114485	0.00171804	0.00189584	0.00200427	0.00128527	0.00227677	0.00246222	0.00230503	0.00113487	0.0140691
b	0.140978	0.0977137	0.600191	0.0573257	0.024343	0.00219467	0.00185801	0.000813534	0.00217962	0.0102407	0.00399841	0.00494402	0.000267638	0.00296146	0.00155957	0.00381277	0.00230205	0.00540849	0.00616866	0.00728374	0.000962102	0.0224936
á	0.108962	0.134175	0.189764	0.0874067	0.0343185	0.00717509	0.0262295	0.0359142	0.0311267	0.0128494	0.0387062	0.0435917	0.0149528	0.0176329	0.0174583	0.017417	0.0180919	0.0195382	0.0161095	0.0121011	0.0618193	0.0546605
b	0.106104	0.0978039	0.4016	0.168395	0.0394075	0.0135152	0.0137864	0.00989725	0.00659674	0.0070711	0.0110677	0.0220993	0.00525685	0.0128542	0.0101173	0.00982198	0.0220439	0.00878887	0.00991565	0.00690535	0.00571125	0.0112401
a	0.0764346	0.212435	0.121219	0.204291	0.0719336	0.00770337	0.0202334	0.084522	0.039888	0.00351688	0.0109415	0.0185722	0.00332127	0.00585377	0.014332	0.00813757	0.0198517	0.00372394	0.00359509	0.0018407	0.063856	0.00379684
a	0.427669	0.321645	0.0652381	0.0500962	0.0188545	0.0054689	0.00480357	0.0472913	0.0121324	0.000553039	0.00310714	0.00827716	0.00109593	0.0019188	0.00233869	0.00240239	0.012676	0.00148204	0.00143853	0.000566675	0.00879155	0.0021536
á	0.00624087	0.00351785	0.164048	0.352651	0.329909	0.0385564	0.0122355	0.00577502	0.00722652	0.00764298	0.00744223	0.00560774	0.000267551	0.00237386	0.00265392	0.00394138	0.00312955	0.00668459	0.00772599	0.00807399	0.00220724	0.0220889
t	0.0014786	0.00214748	0.0236702	0.435686	0.298413	0.114959	0.0487566	0.00883545	0.0179075	0.00476292	0.00519166	0.00198367	0.000416313	0.00123735	0.00201831	0.00134846	0.000617469	0.0023331	0.00410477	0.00550251	0.00205216	0.016578
ó	0.000420071	0.000945208	0.0293511	0.374489	0.233176	0.133873	0.120267	0.0102386	0.00924755	0.0109619	0.0102653	0.00307103	0.00123123	0.0027432	0.0176094	0.00441695	0.00192824	0.0061911	0.00966285	0.00729335	0.000640791	0.0119772
n	0.00481115	0.00246016	0.0280227	0.193628	0.401571	0.101726	0.160787	0.00723653	0.00266242	0.00814201	0.00874424	0.00441167	0.00490714	0.00274917	0.0109722	0.00431506	0.00222653	0.00604168	0.00971764	0.00796789	0.000718127	0.0261827
i	0.0152516	0.0123325	0.0525075	0.20886	0.19551	0.166437	0.170799	0.0299248	0.00850283	0.00820927	0.00988089	0.0130558	0.00500619	0.00681519	0.0111278	0.00824137	0.00686812	0.00885168	0.0113959	0.00788857	0.00287293	0.0396613
o	0.0322246	0.0158162	0.084211	0.0740879	0.185662	0.0843511	0.225605	0.0962839	0.0197894	0.0236448	0.014888	0.0297239	0.00722188	0.0177921	0.00614045	0.0157383	0.0265038	0.00813117	0.00891262	0.0110192	0.00413774	0.00811512
