 	le	pêcheur	est	en	train	de	chercher	sa	machette	qui	est	tombée	dans	l'	eau	</S>
o	0.733529	0.162371	0.0540963	0.0169758	0.00409328	0.00663475	0.00221167	0.009983	0.003294	0.00173478	0.000560994	0.000818966	0.00128896	0.00229344	9.69215e-05	1.70327e-05
l	0.100035	0.844119	0.0209974	0.00387894	0.00203733	0.00111122	0.00147765	0.00103657	0.00989927	0.000966236	0.000719652	0.00328084	0.00347965	0.00175329	0.00042906	0.00477822
ώ	0.0220908	0.940785	0.00101202	0.000362491	0.00760805	0.000928351	0.00330413	0.00069602	0.0100437	0.00101734	0.000458674	0.00358338	0.00409629	0.000696349	0.000490667	0.00282673
b	0.013735	0.800374	0.0162694	0.00737063	0.0812578	0.00194721	0.00329639	0.00206675	0.0326251	0.00976799	0.00243329	0.0111019	0.00673901	0.00219361	0.00121034	0.00761189
h	0.109694	0.125986	0.171077	0.090042	0.0240509	0.0608062	0.0420419	0.0223148	0.0193782	0.0202841	0.0186257	0.0598081	0.0638458	0.0315854	0.00562285	0.134837
i	0.333571	0.199606	0.10379	0.0841938	0.0937785	0.0325051	0.0144625	0.0254065	0.00814562	0.0114291	0.00790564	0.0137129	0.0153668	0.0132497	0.0013805	0.0414961
b	0.0852619	0.0154143	0.366368	0.217801	0.0609709	0.100766	0.0580521	0.0355552	0.0032538	0.010577	0.0109165	0.00663553	0.0051762	0.00699793	0.001245	0.0150088
ó	0.257624	0.00813983	0.0450205	0.156684	0.121394	0.0884957	0.0305016	0.0230192	0.0108963	0.0122656	0.0110498	0.0223851	0.026214	0.0466572	0.0137276	0.125926
l	0.130119	0.0118406	0.0650496	0.269101	0.366056	0.0385966	0.0442466	0.0264321	0.00648664	0.0107725	0.0048613	0.004159	0.00641285	0.00962291	0.00238365	0.00385995
á	0.017754	0.00393699	0.035051	0.032859	0.0118532	0.151453	0.0920981	0.0248437	0.0177006	0.0311902	0.0380992	0.0346183	0.0544419	0.0413025	0.0463567	0.366441
