 	ce	petit	enfant	tousse	beaucoup	</S>
m	0.317055	0.659935	0.0203299	0.00194021	0.000535505	0.000204222
w	0.0156575	0.131454	0.84393	0.000491404	0.00032505	0.00814156
á	0.0147006	0.0380214	0.947039	7.32605e-05	0.000134297	3.1352e-05
n	0.129114	0.446722	0.419853	0.000592442	0.000166459	0.00355204
a	0.0258763	0.266614	0.619183	0.000709898	0.00165482	0.085962
n	0.281045	0.676268	0.0207508	0.00855078	0.00510867	0.00827707
d	0.188117	0.633315	0.0700593	0.00776555	0.0105771	0.0901666
z	0.18496	0.710911	0.061579	0.00623228	0.00818541	0.0281328
é	0.510399	0.381568	0.0521563	0.00272381	0.0203281	0.0328252
s	0.430523	0.233341	0.0532479	0.0622766	0.0565234	0.164088
i	0.351547	0.486196	0.0848406	0.017453	0.00978662	0.0501769
w	0.255922	0.304497	0.182422	0.199127	0.0235571	0.0344755
ó	0.210153	0.280579	0.0523113	0.226935	0.0421702	0.187851
l	0.0680941	0.0151204	0.00930484	0.727012	0.0379925	0.142477
á	0.034016	0.0137789	0.0164428	0.266229	0.0641819	0.605351
a	0.0663051	0.0297153	0.0294675	0.431701	0.230566	0.212244
k	0.0126735	0.00743804	0.0110528	0.783605	0.133019	0.0522119
ω	0.00052438	0.000239498	0.00091477	0.826692	0.0730833	0.098546
r	0.00129222	0.000758708	0.00114674	0.659164	0.216514	0.121125
ώ	0.0137551	0.0062591	0.00802736	0.4124	0.191546	0.368012
o	0.0076179	0.0075083	0.00101799	0.114253	0.570805	0.298798
y	0.00280694	0.0015486	0.00207479	0.040121	0.766651	0.186797
í	0.0272447	0.00651544	0.00149027	0.0344612	0.705814	0.224475
í	0.00413875	0.00140478	0.00158062	0.0120308	0.154965	0.82588
</S>	0.0110765	0.00319548	0.00143099	0.0549201	0.271517	0.65786
