 	dans	le	district	de	boundji	on	ne	trouve	plus	de	lieu	sacré	kwebhe	</S>
m	0.40235	0.277141	0.0595133	0.0789142	0.00358293	0.0127032	0.00811827	0.00772029	0.0409394	0.0829507	0.0247498	0.000861668	0.000346538	0.000107819
b	0.0653298	0.234065	0.342657	0.137494	0.0851795	0.0275151	0.0183774	0.0141572	0.0165211	0.0185359	0.0241159	0.00470258	0.000656191	0.0106931
o	0.044813	0.254035	0.571029	0.0264883	0.0890833	0.00129318	0.000711425	0.000941284	0.00274265	0.0031155	0.0037403	0.00139118	0.00019833	0.000417705
n	0.00636966	0.044896	0.922646	0.00446654	0.0172649	0.00026182	0.000250317	0.000445944	0.000816424	0.000487475	0.00034366	0.00118838	9.33127e-05	0.000469477
d	0.039117	0.0691119	0.790854	0.0117964	0.0325366	0.0014004	0.00190136	0.00937634	0.0132699	0.00405606	0.00320776	0.0142548	0.00168899	0.00742854
z	0.0188018	0.0393438	0.823974	0.0172366	0.0264222	0.00104872	0.000620321	0.00143328	0.00272597	0.00214114	0.00303407	0.0567713	0.000884157	0.00556298
i	0.0376778	0.069228	0.66427	0.0218495	0.0254284	0.00240834	0.0019934	0.00482634	0.00698123	0.0045346	0.00748614	0.111732	0.00235644	0.0392274
á	0.16052	0.0441575	0.0142048	0.638076	0.018721	0.0458707	0.0165175	0.00824342	0.00607533	0.00441785	0.0143924	0.00863024	0.00108154	0.0190921
b	0.280933	0.0375787	0.0151006	0.135014	0.145162	0.11385	0.0794913	0.0639224	0.0184841	0.00505634	0.023214	0.040223	0.00479415	0.037176
h	0.0638628	0.0337345	0.0197354	0.0494382	0.252772	0.185606	0.132115	0.0672843	0.0550522	0.0362257	0.0776515	0.0133197	0.00553524	0.00766823
i	0.091546	0.0289405	0.0325349	0.0657131	0.134304	0.193952	0.126583	0.0804733	0.0715706	0.0507497	0.0829132	0.0287903	0.00325393	0.00867481
k	0.0262805	0.00608893	0.00927653	0.0710646	0.127243	0.102985	0.0768052	0.0693835	0.0541658	0.0691383	0.142352	0.147187	0.0471609	0.0508688
w	0.00160523	0.000998347	0.00616516	0.00732645	0.0958571	0.0445099	0.0318152	0.0702045	0.0927611	0.033602	0.0829061	0.432583	0.0877866	0.0118794
e	0.000149345	0.000249482	0.00272482	0.0106493	0.0318557	0.0299035	0.0123095	0.0163964	0.0317478	0.0886771	0.342883	0.363154	0.050478	0.018822
b	0.000414898	0.000204426	0.00116587	0.0132803	0.0670155	0.0410285	0.0255564	0.0343426	0.0380807	0.111204	0.266356	0.243274	0.126968	0.0311087
h	0.00409612	0.00122614	0.00300238	0.0214201	0.0828073	0.0497999	0.0370868	0.0290385	0.0371177	0.234405	0.298023	0.0747091	0.0299521	0.0973166
é	0.010437	0.00125944	0.00731304	0.0173315	0.320836	0.0288554	0.0239202	0.0355885	0.0497124	0.100493	0.129999	0.0730974	0.0531882	0.147969
k	0.00101487	0.000895648	0.000849636	0.00961653	0.0123311	0.0925129	0.194063	0.165352	0.137196	0.0716096	0.0651502	0.0448513	0.141904	0.0626537
a	0.00291385	0.00177945	0.00267835	0.00410776	0.00554923	0.0457166	0.08471	0.0834843	0.0921755	0.0374223	0.0296359	0.186358	0.265618	0.157851
á	0.000589888	0.000267786	0.00133654	0.00312333	0.00730717	0.0600255	0.0871639	0.0586032	0.084068	0.131744	0.0540564	0.0357099	0.20852	0.267485
</S>	0.00361301	0.00088884	0.000281962	0.00630449	0.0023103	0.025015	0.0515378	0.0223427	0.0179113	0.0123592	0.00357244	0.000737811	0.00603994	0.847085
