 	la	maladie	de	ma	femme	me	dépasse	</S>
i	0.536417	0.366141	0.0834912	0.0111667	0.00185742	0.000702064	0.000156496	6.88611e-05
k	0.0587006	0.923618	0.0127788	0.00153256	0.00077503	0.000175006	0.00184962	0.000570585
ω	0.00205733	0.993471	0.00344774	8.53552e-05	8.97478e-06	1.32526e-05	0.000698955	0.00021705
n	0.00506274	0.979864	0.011842	0.000633947	4.33027e-05	0.000963797	0.00109443	0.000495751
í	0.216686	0.654636	0.0624048	0.0106219	0.00168722	0.00393528	0.0123183	0.0377099
l	0.470943	0.165197	0.272894	0.0199366	0.0102164	0.00493448	0.00378906	0.0520898
á	0.181392	0.0355329	0.136878	0.139554	0.0225176	0.0962493	0.0169874	0.37089
m	0.304671	0.0127778	0.182058	0.315696	0.139594	0.0290152	0.00236751	0.013821
w	0.00468927	4.76371e-05	0.00464896	0.0591758	0.921213	0.00868379	0.00010658	0.00143454
á	0.00434344	0.00330762	0.0228509	0.0358506	0.886437	0.0218611	0.00986952	0.0154799
s	0.249168	0.00184148	0.0570558	0.579235	0.0828925	0.0253414	0.000281393	0.00418497
í	0.0351568	0.00474234	0.14227	0.47915	0.068056	0.128287	0.0044776	0.137861
í	0.0143986	0.00213117	0.277654	0.265532	0.0632491	0.295662	0.0274811	0.053892
m	0.0241543	0.0280826	0.16875	0.177131	0.097443	0.216067	0.216612	0.0717601
i	0.0106895	0.000813249	0.0349983	0.15014	0.150912	0.270347	0.207924	0.174176
b	0.00676396	0.00638032	0.0165284	0.0196234	0.0612717	0.0749509	0.659591	0.154891
h	0.00120572	0.00545096	0.00430353	0.00603803	0.00985474	0.0165659	0.857697	0.0988845
a	0.00139718	0.00929393	0.00382117	0.00412896	0.00488658	0.00652666	0.904819	0.0651268
n	0.000935565	0.00575628	0.0126424	0.00617066	0.00640903	0.0485735	0.871068	0.0484444
g	0.0131817	0.0171823	0.0216367	0.0321773	0.00706031	0.0561112	0.530023	0.322628
á	0.0123579	0.0157801	0.0287336	0.0306988	0.00406716	0.0592817	0.351485	0.497596
l	0.00413359	0.00235167	0.0189799	0.0335863	0.00328514	0.375193	0.288601	0.27387
a	0.0101113	0.00428116	0.0389155	0.0523021	0.00117448	0.315324	0.176237	0.401655
n	0.0210312	0.00646159	0.0632399	0.115616	0.00748249	0.228649	0.2765	0.28102
g	0.00758268	0.00116791	0.0126646	0.217246	0.00538067	0.606824	0.0576743	0.0914604
á	0.0012261	0.000669791	0.00994045	0.198197	0.00838883	0.628983	0.064565	0.0880295
</S>	0.00723305	0.00213036	0.0130855	0.0160112	0.00137434	0.132318	0.20542	0.622427
