 	unes	casseroles	de	maman	s'	est	cassée	</S>
m	0.93744	0.0179804	0.0180079	0.0205689	0.00222209	0.00220998	0.00152026	5.0082e-05
b	0.818344	0.0325801	0.063694	0.00286289	0.0349388	0.0184551	0.00751062	0.0216142
é	0.974767	0.00785518	0.00921241	0.00370241	0.00208147	0.000626007	0.00154581	0.000209701
á	0.930801	0.0162042	0.0101194	0.000227736	0.0130376	0.0043269	0.00542425	0.0198584
e	0.41752	0.1983	0.143535	0.0100311	0.0835999	0.0701281	0.00375399	0.0731324
p	0.080735	0.843539	0.0125674	0.006558	0.0190988	0.0107629	0.00900568	0.017733
ω	0.00497069	0.979149	0.00456163	9.74015e-05	0.00348991	0.00112191	0.00145426	0.00515531
ώ	0.0284161	0.86852	0.0732154	0.00405048	0.00793222	0.00471642	0.0024159	0.0107335
s	0.0146772	0.0658162	0.879418	0.0182295	0.00840036	0.00939581	0.000591851	0.00347123
á	0.0152038	0.415527	0.318018	0.0689554	0.0322629	0.0169757	0.00515363	0.127903
a	0.00216407	0.0209607	0.813439	0.0935693	0.0337659	0.00970872	0.00652937	0.0198624
m	0.0304525	0.123007	0.235285	0.243772	0.186484	0.0999981	0.0366251	0.0443763
b	0.00823087	0.00913319	0.0846058	0.0203706	0.568437	0.138183	0.0286056	0.142434
é	0.0934109	0.0163215	0.033913	0.00806575	0.56327	0.0467163	0.134641	0.103661
á	0.0184068	0.0138252	0.0245811	0.00136653	0.516768	0.123123	0.0687491	0.23318
á	0.00643167	0.00721937	0.124093	0.0256295	0.429486	0.319464	0.0167817	0.0708947
m	0.0144083	0.00955982	0.00934565	0.0159748	0.224577	0.538217	0.0798321	0.108084
a	0.00268454	0.000797215	0.00310653	0.00109387	0.295867	0.437092	0.0844351	0.174924
á	0.00526594	0.00850587	0.00183762	0.00181961	0.136181	0.201464	0.513882	0.131044
é	0.00216623	0.00423466	0.00145718	0.000972605	0.155965	0.615064	0.0785263	0.141614
m	0.00208919	0.00722956	0.00273667	0.0023469	0.124428	0.592025	0.0550467	0.214098
i	0.00420885	0.0014847	0.00321382	0.000455867	0.150985	0.532543	0.137569	0.16954
b	0.00318346	0.00253017	0.000478814	0.000166331	0.0576342	0.20821	0.514853	0.212944
o	0.00114499	0.00471743	0.000328226	9.47231e-06	0.0206533	0.047125	0.893607	0.0324152
n	0.00103999	0.0100712	0.000155638	7.64601e-05	0.021007	0.0328485	0.808899	0.125902
d	0.000810874	0.00294123	0.000133084	1.72073e-05	0.0129712	0.0151873	0.742445	0.225494
z	0.000726313	0.00333607	0.000660074	0.000184499	0.0389777	0.0281051	0.756023	0.171988
i	0.000162319	0.00203249	0.000640483	8.74554e-05	0.0282837	0.00954796	0.728462	0.230784
m	0.00132364	0.00363354	0.004258	0.000405618	0.0731054	0.119057	0.161088	0.637129
a	0.00358367	0.000973627	0.00406315	3.8296e-05	0.123803	0.240912	0.0688669	0.55776
</S>	0.00499083	0.00462333	0.00876007	0.000895928	0.040511	0.0810174	0.0992995	0.759902
