 	je	suis	en	train	de	me	battre	pour	construire	ma	maison	</S>
n	0.767471	0.0812232	0.0979375	0.0284985	0.0119293	0.00216284	0.00323858	0.000962772	0.00025218	0.00625064	4.18895e-05	3.17873e-05
g	0.872312	0.0512352	0.0141037	0.000520527	0.0016086	0.0129953	0.00220277	0.000324103	0.00045551	0.0432304	0.000974062	3.76033e-05
á	0.733076	0.186009	0.0363076	0.00130519	0.00103871	0.0107036	0.00114747	0.000520553	0.00142482	0.0051419	0.0232831	4.12111e-05
b	0.0623985	0.225293	0.401907	0.0664155	0.0307496	0.0295793	0.0146126	0.0124651	0.00369112	0.0327846	0.00209052	0.118013
ó	0.090479	0.0901387	0.0930489	0.432123	0.0291352	0.0234138	0.0440029	0.0602782	0.0799217	0.00349793	0.00499788	0.0489625
l	0.0226468	0.084385	0.295242	0.44218	0.0475213	0.0199457	0.0358435	0.0178088	0.000947004	0.0080087	0.0018418	0.0236294
í	0.403806	0.205918	0.073308	0.0744357	0.0722075	0.0422925	0.0331341	0.0299749	0.00159197	0.0144481	0.00759321	0.0412902
i	0.126156	0.184512	0.146643	0.180474	0.181214	0.068961	0.0496414	0.030648	0.00229832	0.00695364	0.00492923	0.0175703
f	0.00889085	0.0680997	0.108555	0.286376	0.232684	0.0950481	0.0623673	0.0597386	0.0296977	0.000905444	0.0034484	0.044189
u	0.000252629	0.0485665	0.0667542	0.301803	0.30449	0.0616092	0.0843463	0.0658084	0.0391757	4.25327e-05	0.000125471	0.0270255
n	0.00191344	0.0348134	0.0903777	0.131465	0.346418	0.126181	0.120837	0.0448971	0.0544285	0.000766442	0.000792558	0.0471091
g	0.00386187	0.0300507	0.0220677	0.00974282	0.418475	0.241442	0.154939	0.0549024	0.0494328	0.00250616	0.0023383	0.010241
á	0.0146417	0.0316937	0.0445491	0.0407853	0.364879	0.272423	0.135016	0.0309444	0.0329971	0.0155278	0.00362101	0.0129224
l	0.00183546	0.00422977	0.00533661	0.00518248	0.131184	0.206669	0.304992	0.235244	0.0561845	0.0295745	0.0154584	0.00410863
o	0.0038876	0.00303561	0.00220502	0.00374263	0.05919	0.098664	0.173864	0.328136	0.209455	0.020456	0.0339354	0.0634286
t	0.00173757	0.00304227	0.00203922	0.00191971	0.0738917	0.0850555	0.107604	0.227745	0.426734	0.00626902	0.0161519	0.0478099
ó	2.99809e-05	0.000455609	0.00131419	0.000868829	0.028548	0.00807412	0.0295668	0.122881	0.79629	0.00046317	0.000789896	0.0107185
n	5.54989e-05	0.000973793	0.00549347	0.0101701	0.0439037	0.0198506	0.0710391	0.160595	0.649554	0.0019176	0.00216668	0.0342805
g	0.000212857	0.00492957	0.0122374	0.0069892	0.0585963	0.0266052	0.139094	0.165216	0.519696	0.00325723	0.0043203	0.0588458
á	0.0014903	0.00420231	0.0104535	0.00582055	0.0576799	0.0443145	0.0643329	0.0602191	0.605157	0.029088	0.0474454	0.0697961
n	0.000801302	0.00347355	0.00337356	0.00258838	0.0228378	0.0311172	0.095026	0.241008	0.164911	0.269753	0.0849389	0.0801723
d	0.00570011	0.000914973	0.000676342	0.000240404	0.00128059	0.0142057	0.010729	0.015182	0.077877	0.294244	0.537785	0.0411645
é	0.00104314	0.000371823	0.000322611	0.000103951	0.000484695	0.0067416	0.00427235	0.00967052	0.252125	0.359681	0.32368	0.0415025
e	0.00012176	0.00061024	0.00198758	0.00129449	0.00615016	0.0129748	0.0380661	0.0648172	0.307547	0.173918	0.174095	0.218418
</S>	0.000207058	0.00127753	0.00185903	0.000831033	0.00532385	0.00389258	0.0222963	0.0614861	0.0990062	0.307972	0.088001	0.407847
