 	la	nuit	une	chauve-souris	chante	derrière	notre	maison	</S>
e	0.662133	0.276917	0.048488	0.00762869	0.000867945	0.00206648	0.00179621	5.65967e-05	4.54463e-05
k	0.0411304	0.938762	0.0133098	0.00526642	0.000932944	0.000215782	6.96406e-05	4.30895e-05	0.000269818
í	0.00407382	0.960984	0.010747	0.0222955	0.000968241	0.0001693	0.000219943	9.66148e-05	0.000445883
ω	0.0111849	0.88226	0.0475806	0.0501373	0.00234398	0.00070729	0.00150112	0.000808916	0.00347567
y	0.223005	0.0684814	0.605163	0.0935992	0.00391848	0.000318057	0.00138159	0.000138061	0.00399546
é	0.260923	0.0627575	0.417314	0.0844514	0.0418116	0.0104638	0.0320858	0.0025266	0.0876658
e	0.17803	0.0191395	0.4923	0.152641	0.0517469	0.0210065	0.0251295	0.0127413	0.0472663
b	0.0100704	0.0231433	0.103232	0.578059	0.26308	0.00354988	0.000446109	0.000981996	0.0174372
h	0.00644279	0.0060251	0.0465405	0.854302	0.0792268	0.000273184	0.000855785	8.87627e-05	0.00624464
ώ	0.00522615	0.00740007	0.0318551	0.921373	0.0294261	0.000558387	0.000323142	0.000170134	0.00366763
ώ	0.0218631	0.0042383	0.254021	0.564582	0.0733515	0.0215041	0.00743158	0.0043017	0.048707
ó	0.0465706	0.00253683	0.373232	0.262339	0.219108	0.0455765	0.0202587	0.00452371	0.025855
n	0.00821349	0.00192395	0.0334054	0.0399189	0.776561	0.0956744	0.0144421	0.0209179	0.0089432
g	0.00595291	0.000272482	0.00976507	0.00147983	0.0669598	0.736314	0.00482725	0.144603	0.0298256
ω	8.07923e-05	2.93251e-05	0.00130057	0.00098114	0.0273153	0.957482	0.00093187	0.0112782	0.0006012
n	3.4401e-05	4.60334e-05	0.00153409	0.000770197	0.00492295	0.962292	0.000646357	0.0270377	0.00271639
g	0.00331091	0.00156412	0.0255752	0.0058793	0.191496	0.464566	0.00687964	0.0420901	0.258639
ω	0.0017388	0.000269992	0.00563364	0.00246695	0.0450316	0.777129	0.0105906	0.0793699	0.0777695
y	0.0117653	0.000809909	0.048041	0.0091292	0.132458	0.323686	0.299492	0.0623637	0.112255
á	0.0833729	0.00380191	0.0527152	0.00712621	0.0701256	0.215073	0.353988	0.0869605	0.126837
n	0.00822212	0.00264877	0.0137882	0.00261847	0.0253449	0.0394642	0.652276	0.23961	0.0160272
d	0.000193718	9.95438e-06	0.000202054	6.15099e-05	0.00150581	0.398618	0.0161374	0.57885	0.00442174
é	0.000391325	7.32164e-05	0.000529735	0.000132913	0.00403016	0.30927	0.0390748	0.585654	0.0608435
e	7.22983e-05	0.000401194	0.00193967	0.000660486	0.0371647	0.385854	0.0310968	0.25128	0.29153
y	0.00150842	0.000525376	0.00679903	0.00202363	0.00913622	0.0857893	0.337733	0.0683629	0.488122
á	0.00618296	0.000449837	0.0181029	0.00353885	0.0165942	0.143131	0.406989	0.24043	0.164581
b	0.00141224	0.00226153	0.01177	0.00291785	0.017887	0.0151974	0.667529	0.12774	0.153285
í	0.00372538	0.00426052	0.0108801	0.0117149	0.0100422	0.0116963	0.663873	0.0732504	0.210558
s	0.00297429	0.0016221	0.00280513	0.00429799	0.005369	0.0125541	0.700824	0.0712401	0.198313
í	0.000390517	0.000534837	0.000772793	0.00243335	0.00154308	0.0229113	0.174535	0.339723	0.457156
l	0.00151302	0.00031167	0.00498297	0.00230224	0.0068535	0.0186562	0.118274	0.085313	0.761793
a	0.00255561	0.000742241	0.00524973	0.00316447	0.0147854	0.0286333	0.0845192	0.152768	0.707582
k	0.00106269	0.00112122	0.00999269	0.00258657	0.0136459	0.0343284	0.152049	0.0864916	0.698722
ó	0.00177136	0.0164979	0.0231993	0.0542918	0.0791105	0.0552331	0.0965419	0.0940409	0.579313
l	0.000246473	0.00169284	0.00140878	0.00525852	0.0197692	0.0252292	0.0217746	0.0453326	0.879288
i	0.000353538	0.00502274	0.00286062	0.00862323	0.012424	0.0827057	0.0383919	0.0835387	0.76608
</S>	0.00164264	0.00287853	0.0128143	0.0101993	0.00963198	0.0491938	0.303804	0.0729219	0.536914
